Bird, MEX, 1de46640-3af7-4775-b2eb-17a5b3710166, 100, 14863, No update data, 9g3qx215ybbu
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 98, 14529, No update data, 9g3qx2zsvb71
Bird, MEX, a027955f-3471-418c-9c66-26191f050f19, 100, 14062, No update data, 9g3qx2zsqs6x
Bird, MEX, 4bdf4808-a01f-4f4f-b4fd-d8f5e192cad1, 98, 13746, No update data, 9g3qx21hjhks
Bird, MEX, 4bdd6ec9-f06c-4393-b7fb-1a12edd7eae6, 85, 12358, No update data, 9g3qx28e5fug
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 97, 14362, No update data, 9g3qx215qxfs
Bird, MEX, 37a65a7a-c132-487f-a7bf-2fbd50f82239, 100, 14062, No update data, 9g3qx2zsrpuj
Bird, MEX, 19e2a7fa-ea4c-4521-afcb-290f3edb2688, 100, 14062, No update data, 9g3qx2ztndfe
Bird, MEX, 7aadc36b-4d78-44ff-ab7a-003ab654269d, 72, 9638, No update data, 9g3qx2ptm3dv
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 71, 9480, No update data, 9g3qx2zuqymg
Bird, MEX, e16d5b52-9ca1-47a8-af79-8cf248993a3e, 78, 10586, No update data, 9g3qx2zvq49k
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 99, 13904, No update data, 9g3qx2zvqymg
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 98, 10266, No update data, 9g3qx8bh8r5c
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 89, 12324, No update data, 9g3qx2zvpvxm
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 100, 14062, No update data, 9g3qx2zzfyg6
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 62, 8058, No update data, 9g3qx2zyrmrm
Bird, MEX, 70473e10-4335-4ba5-b0f4-70273f60327e, 33, 3476, No update data, 9g3qx20t5x98
Bird, MEX, 788616d6-9208-418d-8388-f1084bc84ee7, 93, 13694, No update data, 9g3qx8bn6pgv
Bird, MEX, a6dbbfa9-aac9-4ca6-a1c4-ae131ca613ff, 100, 14062, No update data, 9g3qx8bn4gg3
Bird, MEX, 7698dc2a-c1c9-46a3-958e-1329429632c5, 85, 11692, No update data, 9g3qx3pff07c
Bird, MEX, 6ea3f822-f297-4b9f-88f6-b29e1ebd742f, 93, 13694, No update data, 9g3qx8bne9cb
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 97, 14362, No update data, 9g3qx8bpc2m3
Bird, MEX, 8cecfe6c-790f-4cba-a768-503288c6a2ca, 100, 14863, No update data, 9g3qx8bnebv5
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 98, 14529, No update data, 9g3qx3pfkmqm
Bird, MEX, 79d291b2-69b0-43ec-9896-0d8abf12e3d6, 97, 14362, No update data, 9g3qx3pfgb85
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 99, 13904, No update data, 9g3qx8bpehbk
Bird, MEX, 13ad7556-d6e6-48db-9a9b-845655ee7da2, 100, 14062, No update data, 9g3qx8bnm3xy
Bird, MEX, bcd776c2-5216-4152-9cc8-6ad858a8a132, 98, 14529, No update data, 9g3qx3pfujgh
Bird, MEX, 5df399cc-f0db-4352-af98-42b0243cb1de, 100, 14863, No update data, 9g3qx8bnmz71
Bird, MEX, def394a3-a092-443a-b6ba-c5621fa758de, 98, 14529, No update data, 9g3qx3pfus53
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 89, 12324, No update data, 9g3qx20qs0w3
Bird, MEX, dbd9bfe2-324c-4c64-a50a-ac74fd5f7ae8, 97, 14362, No update data, 9g3qx8bpu6nm
Bird, MEX, cd95f935-c48d-4388-a01c-e47fdd6bfdf9, 67, 8848, No update data, 9g3qx82x1hdq
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 73, 10354, No update data, 9g3qx303n2kk
Bird, MEX, 9e1d484b-82f8-4381-a62c-2a2863a4a212, 96, 14195, No update data, 9g3qx20m54y6
Bird, MEX, fd261ac8-0bb0-4a07-b864-034a00ba74f9, 96, 14195, No update data, 9g3qx20m6dvj
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 98, 14529, No update data, 9g3qx20mc6v0
Bird, MEX, 9c0c4e8f-39c4-46bb-ab59-31a62571b6af, 97, 14362, No update data, 9g3qx20m4s8n
Bird, MEX, cb60115d-829f-477a-9748-ed12db54bf3f, 97, 14362, No update data, 9g3qx20mbz7v
Bird, MEX, f269b87e-e85b-449f-95c0-681aca0493c6, 74, 9954, No update data, 9g3qx3r66j5u
Bird, MEX, cdfe60ad-148d-47a9-8d80-60c74a90f219, 97, 14362, No update data, 9g3qx20m0zgc
Bird, MEX, f77a1a96-0f11-456b-a1e9-3133c60c3472, 63, 8684, No update data, 9g3qx3r66g72
Bird, MEX, d925bbc3-4cb5-46f5-908a-228eb14db61e, 98, 14529, No update data, 9g3qx20jzk2f
Bird, MEX, 29dab93b-b29c-4df8-8c2c-c80516f3113d, 96, 14195, No update data, 9g3qx20m0mgw
Bird, MEX, 056c7b09-5886-4692-9f7b-91c5963ebf1a, 97, 14362, No update data, 9g3qx20kbugv
Bird, MEX, b9e2ff33-aa00-4fc0-8744-f33a9e54896b, 73, 9796, No update data, 9g3qx3r67t1u
Bird, MEX, 4f35da3d-4e02-4333-b2e5-a724f76790ef, 97, 14362, No update data, 9g3qx20jyfmw
Bird, MEX, 618a964d-c267-428a-80b2-917627bae44e, 96, 14195, No update data, 9g3qx2092k7w
Bird, MEX, 2ad49c35-0948-47ef-ba26-a3670c6f620b, 97, 14362, No update data, 9g3qx20jrqzn
Bird, MEX, ecf28973-86e1-40f1-ad9c-56069619a0ae, 100, 14062, No update data, 9g3qx208dhug
Bird, MEX, 2604aa07-f3ee-49bc-8a38-d69f285f884c, 98, 14529, No update data, 9g3qx2089gq9
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 100, 14062, No update data, 9g3qrre9df77
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 100, 14062, No update data, 9g3qrre9e12m
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 100, 14062, No update data, 9g3qx2085h2h
Bird, MEX, 0cdfd437-d38b-4028-8876-59013b326a95, 94, 13861, No update data, 9g3qx203r3bz
Bird, MEX, 7243bfa2-a54e-425e-8a2a-c12e260e9910, 100, 14062, No update data, 9g3qx20895d5
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 74, 9954, No update data, 9g3qx32cn9ds
Bird, MEX, 4bc913cf-67e2-4dae-962f-cea4a4a32c20, 100, 14863, No update data, 9g3qx208172q
Bird, MEX, 0c6723af-3c09-47fa-8968-9f3c1630aa84, 100, 14863, No update data, 9g3qrrbxcgqs
