Bird, MEX, a428309e-32dd-4b83-8d2e-1898ddc18a04, 88, 12859, No update data, 9g3qx3m1kfxs
Bird, MEX, 4c72ff0e-855e-475c-96b5-bd46d93de265, 69, 9686, No update data, 9g3qx3m1q19q
Bird, MEX, 891fc6a9-d894-4669-a06a-d0e2a7c8db33, 84, 11534, No update data, 9g3qx2r1xhs1
Bird, MEX, 65472654-4473-4cc4-996b-542b6491960e, 43, 3776, No update data, 9g3qx2r634fm
Bird, MEX, 1bd33212-824d-4683-97ca-9f9efbc02fdf, 47, 5688, No update data, 9g3qx2r63ege
Bird, MEX, ee015284-7f04-441f-9cab-83f6f1b20782, 58, 7426, No update data, 9g3qx2r3cubw
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 87, 12692, No update data, 9g3qx2z6x3c0
Bird, MEX, 683b932a-0d00-4706-a621-ea4bfa7b5a62, 66, 9185, No update data, 9g3qx2z6xm1n
Bird, MEX, 8f7a80cf-58df-44d7-8e43-126c46767b06, 82, 11857, No update data, 9g3qx2z6x9hk
Bird, MEX, d87f509f-00e0-4db7-9fb7-05d5135af9db, 33, 3674, No update data, 9g3qx28bv26c
Bird, MEX, 9af2155c-55f9-44a2-8155-4f195560a4d6, 82, 11218, No update data, 9g3qx3nqfger
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 51, 6320, No update data, 9g3qx3m6xzrk
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m7j4k8
Bird, MEX, 603ced0c-f75b-4487-a293-0e439014454a, 24, 2171, No update data, 9g3qx3kkd45e
Bird, MEX, 0f1178ca-63e7-4f0f-92e6-c99a4faec8e2, 78, 10586, No update data, 9g3qx3mdcfnv
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m7e2ge
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m7kqwm
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
