Bird, MEX, 23241c65-d956-44f7-a2b6-5797da3274c9, 97, 13588, No update data, 9g3qx26hky9k
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx26hhm8h
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 76, 10855, No update data, 9g3qx2y2rrr3
Bird, MEX, 84e563f6-c259-4665-be50-8ff8d96531ea, 75, 10688, No update data, 9g3qx3j9hdg7
Bird, MEX, bc7e5c99-423a-4b8f-b11e-ccde9eace72b, 79, 10744, No update data, 9g3qx2qw6cem
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 51, 6680, No update data, 9g3qx2y92dxh
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 90, 13193, No update data, 9g3qx2yk6qfp
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 57, 7268, No update data, 9g3qx2622syc
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 94, 13114, No update data, 9g3qx2621n60
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 91, 12640, No update data, 9g3qx260wxfx
Bird, MEX, 952eb472-e465-44b0-b521-10d99ac12b5a, 62, 8058, No update data, 9g3qx2qwytdd
Bird, MEX, ada64e01-8761-45b0-95e5-a0924c65e0f1, 48, 6179, No update data, 9g3qrrurcwg9
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 100, 14062, No update data, 9g3qx34c9b0r
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 100, 14062, No update data, 9g3qx34c24ts
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 87, 12008, No update data, 9g3qx34cgjq2
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 100, 14062, No update data, 9g3qx34c25bs
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 100, 14062, No update data, 9g3qx349qcmu
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 99, 13904, No update data, 9g3qx349rh7z
Bird, MEX, 868f6e66-2df0-42a7-8734-9e6f0103ab2d, 83, 11376, No update data, 9g3qx2qy8jjt
Bird, MEX, 6f84f04d-339c-4ccf-9c5b-825181fa849e, 83, 11376, No update data, 9g3qx29szm8f
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 87, 12008, No update data, 9g3qx2fr6d8h
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 88, 12166, No update data, 9g3qx2fr13j2
Bird, MEX, e1bd83dc-c8ba-4ead-b6c3-faf05146ddac, 83, 12024, No update data, 9g3qx2nrzm91
Bird, MEX, 32023f53-8c76-46da-b262-1fff9ec4ee30, 94, 13861, No update data, 9g3qx2fr9v0q
Bird, MEX, 67c0e372-e02f-485b-a4b2-4d263b5d6677, 94, 13114, No update data, 9g3qx3n46nev
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 92, 12798, No update data, 9g3qx340ymk2
Bird, MEX, 4f20f1b7-1fbb-4f31-b332-1706dfd875e2, 72, 10187, No update data, 9g3qx3jqq9rs
Bird, MEX, 45c6c3de-0c1c-4f91-acb3-8d3b7df04b0a, 67, 9352, No update data, 9g3qx2yv89ph
Bird, MEX, 13c89489-7216-43ff-90a5-d39d15414a4e, 98, 14529, No update data, 9g3qx2yvcbwg
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 56, 7515, No update data, 9g3qx341kqbp
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 81, 11060, No update data, 9g3qx3416fgq
Bird, MEX, ac81f291-d776-4565-8cb7-d063d1926edc, 94, 13861, No update data, 9g3qx2yy50qs
Bird, MEX, 230144db-cd18-492b-b0fa-61d76dc91f64, 34, 3841, No update data, 9g3qx2yy5jwt
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 93, 12956, No update data, 9g3qx233rshj
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 65, 8532, No update data, 9g3qx34zmmpu
Bird, MEX, 0d2663c7-49cf-4138-9feb-5ed7b6143c8f, 88, 12859, No update data, 9g3qx3k9ck27
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 31, 3340, No update data, 9g3qx21wg42n
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 60, 8183, No update data, 9g3qx2c6etpy
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 94, 13114, No update data, 9g3qx2z4z2r3
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 91, 13360, No update data, 9g3qx2z62qgz
Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 91, 13360, No update data, 9g3qx2z61b2s
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 54, 6794, No update data, 9g3qx2z67658
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 96, 13430, No update data, 9g3qx2911y22
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 94, 13114, No update data, 9g3qx2912x8d
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 94, 13114, No update data, 9g3qx231rk2z
Bird, MEX, 84c58f67-767b-43d3-a648-1760f654ddf2, 40, 4843, No update data, 9g3qx3nsh856
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 89, 12324, No update data, 9g3qx21t04jw
Bird, MEX, c5c94c44-4769-4907-9ace-5f0ac2214ea4, 85, 12358, No update data, 9g3qx21mqcvx
Bird, MEX, 1a108a8c-4379-452a-b475-670a843ee147, 100, 14062, No update data, 9g3qx2320nvk
Bird, MEX, 620f49a6-c72c-4e49-942e-2743eade2002, 91, 12640, No update data, 9g3qx21kzm8c
Bird, MEX, b0d07e3c-c87c-4787-920f-ae6bf71741a4, 31, 3340, No update data, 9g3qx28cykk6
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 93, 12956, No update data, 9g3qx3k7y2k6
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 96, 13430, No update data, 9g3qx231sy5e
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 94, 13114, No update data, 9g3qx28cwh91
Bird, MEX, 143d0a31-d8f4-4ad8-9b34-8446412ad3a4, 100, 14062, No update data, 9g3qx230vgkh
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 49, 6004, No update data, 9g3qx2znzf4t
Bird, MEX, c214602d-d67c-4b09-ba99-34b2d47493b0, 98, 13746, No update data, 9g3qx231hfc7
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 94, 13114, No update data, 9g3qx230nmh2
Bird, MEX, dc0b8a8f-1204-481d-88fd-f3f8719f4180, 98, 13746, No update data, 9g3qx230mnuw
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 90, 13193, No update data, 9g3qx2zpreuk
Bird, MEX, f502da9f-2766-4a62-99c5-d09de0e00721, 73, 9796, No update data, 9g3qx21pw8fd
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 83, 11376, No update data, 9g3qx21pp22g
Bird, MEX, cddf1b28-4863-4c52-a305-811b2c47c640, 98, 13746, No update data, 9g3qx230hu3k
Bird, MEX, 63da3376-1319-4d90-826b-e97b58a1183d, 96, 13430, No update data, 9g3qx21nzk2f
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 67, 8848, No update data, 9g3qx2xsrhu1
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 96, 13430, No update data, 9g3qx230h5pu
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 91, 13360, No update data, 9g3qx2zr1gnv
Bird, MEX, 2363cb12-8a83-4bf1-ade2-6ffb6a842db8, 34, 3841, No update data, 9g3qx2zmprz6
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 87, 12692, No update data, 9g3qx2ztbbk1
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 91, 12640, No update data, 9g3qx2zqpzx2
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 91, 12640, No update data, 9g3qx2zt6wtj
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 69, 9686, No update data, 9g3qx2bc2eyg
Bird, MEX, 43c9da9c-a738-402f-a081-1b3aa20ae5f9, 81, 11690, No update data, 9g3qx2zrz6pm
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 16, 790, No update data, 9g3qx2zwgnyd
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 94, 13114, No update data, 9g3qx2zws47h
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 89, 13026, No update data, 9g3qx21hd8v4
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 90, 13193, No update data, 9g3qx21h5mh8
Bird, MEX, 5d8e364f-ed6b-48a9-bea7-b90df1aba21c, 85, 12358, No update data, 9g3qx21hby5v
Bird, MEX, 59b7f5e1-3272-448c-a687-2c6df93ea390, 87, 12692, No update data, 9g3qx21h4hsy
Bird, MEX, 7aadc36b-4d78-44ff-ab7a-003ab654269d, 78, 10586, No update data, 9g3qx2pt5tcy
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 90, 13193, No update data, 9g3qx215dsv5
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 90, 12482, No update data, 9g3qx2zy24md
Bird, MEX, f4cd312d-b1ab-4ccc-840f-b064e4d82842, 60, 8183, No update data, 9g3qx2zxq6uw
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 94, 13114, No update data, 9g3qx2zxnyvu
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 97, 13588, No update data, 9g3qx2zgrfp2
Bird, MEX, cd01213d-9873-4a73-9113-022b45577801, 94, 13861, No update data, 9g3qx2zuzypq
Bird, MEX, e8aeed4d-683e-4f07-aac9-8aa11327775a, 94, 13114, No update data, 9g3qx2zymqrg
Bird, MEX, fda6d7e1-606d-461c-abf9-dd9253eea5a9, 73, 10354, No update data, 9g3qx2zytue4
Bird, MEX, 27ff993f-b5a1-4be3-8819-a74cca67f1b8, 44, 5214, No update data, 9g3qx8bh3y2e
Bird, MEX, 3fad6a97-22d3-46ea-9174-ebe0e8d65c41, 82, 11218, No update data, 9g3qx2zyqyvz
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 93, 12956, No update data, 9g3qx8bh5bbp
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 70, 9322, No update data, 9g3qx8bjfcg7
