Bird, MEX, ef939bca-1443-409b-9f00-02c9ae789515, 55, 6952, No update data, 9g3qrrf7csgt
Bird, MEX, 50af0392-0199-42ed-8d07-16e9a66d4d8f, 60, 7742, No update data, 9g3qrrf5mrfu
Bird, MEX, 2cff7cc7-02e4-4d80-b93b-6a67bececbd6, 70, 9853, No update data, 9g3qx31t930m
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 43, 5344, No update data, 9g3qx2bdytdd
Bird, MEX, e985c43e-54ba-4b55-865a-775022f12231, 90, 13193, No update data, 9g3qx2b27ykg
Bird, MEX, 60dbef3f-c295-4006-ad45-21285bc70999, 70, 9322, No update data, 9g3qx2b2cbwe
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 89, 12324, No update data, 9g3qx8bpsw5k
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 71, 9480, No update data, 9g3qx28pe6ks
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 90, 12482, No update data, 9g3qx20e3k0m
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 88, 12166, No update data, 9g3qx20q52ke
Bird, MEX, 270ff6ba-d5ac-4624-9567-540c62a4f9f9, 48, 5846, No update data, 9g3qrrzt93tr
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 67, 8848, No update data, 9g3qx20mg1y6
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 91, 12640, No update data, 9g3qx207rtsn
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 76, 10270, No update data, 9g3qx20mfsm4
Bird, MEX, b951f39e-9ab6-4d6f-ade7-51065c4246c1, 91, 12640, No update data, 9g3qx900nqus
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 83, 11376, No update data, 9g3qx20mf1hy
Bird, MEX, 043d8399-a8ce-48d1-9fef-18aa9093c138, 83, 12024, No update data, 9g3qrrdn9d7e
Bird, MEX, 97714eec-6fbe-44fb-af67-920191416158, 80, 10902, No update data, 9g3qx2bq8x8t
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 93, 12956, No update data, 9g3qrre96qcv
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 92, 12798, No update data, 9g3qrre96ug2
Bird, MEX, 521db62b-54ac-478a-884b-d6c2cc758bd0, 69, 9686, No update data, 9g3qrrbunzb9
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 36, 4175, No update data, 9g3qx206kpfu
Bird, MEX, b809e99f-9fd2-4e7a-8634-3416733d8ab4, 69, 9686, No update data, 9g3qx32cp57z
Bird, MEX, 2bb785a3-8166-4618-85a0-7ac09c46588d, 78, 10586, No update data, 9g3qrrdk4xmp
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 79, 10744, No update data, 9g3qx3pymmdz
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 55, 6952, No update data, 9g3qx0zu59rc
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 64, 8851, No update data, 9g3qrrc0wyjd
Bird, MEX, d4183b8c-4ee6-4bb9-abc0-bc398088269c, 44, 5214, No update data, 9g3qrr9t7xrb
Bird, MEX, 6a5214dc-0bc4-4590-9c23-10ec263b3c8c, 90, 12482, No update data, 9g3qrr9svsvv
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 70, 9853, No update data, 9g3qx0zdkj4g
Bird, MEX, 828f6ed2-e84c-4aa7-bdaa-1792ff881415, 78, 10586, No update data, 9g3qrrmrmxnp
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 42, 4898, No update data, 9g3qrrmr4g7q
Bird, MEX, cbc4863e-3d13-4094-b792-544f22e6103d, 75, 10112, No update data, 9g3qx399z8un
Bird, MEX, 7007dba4-57be-43c2-997d-6545181a14db, 65, 9018, No update data, 9g3qx83jsbcd
Bird, MEX, 814f30e8-b6c3-4c74-bc9e-947a87022227, 72, 9638, No update data, 9g3qrrwf7yhb
Bird, MEX, e2897b1b-3854-4cb9-8fb8-a223a1ccf0ab, 58, 7426, No update data, 9g3qx3ep8d8x
Bird, MEX, 75d46828-5b54-4f9b-ae74-866da30a3307, 82, 11857, No update data, 9g3qx925urwg
Bird, MEX, e26c615d-d329-47e8-b1f0-73de7cb92643, 47, 6012, No update data, 9g3qrr94y868
Bird, MEX, 8dce9f6e-c2da-435d-acaa-ff78712c65a3, 64, 8374, No update data, 9g3qx3ufw5cr
Bird, MEX, df0bea3b-de96-459e-9be4-2cd6115b4a4f, 62, 8517, No update data, 9g3qx3ufvnue
Bird, MEX, 3defaae1-756f-41c0-9db4-82f7df6628cf, 85, 11692, No update data, 9g3qx89ey7hd
Bird, MEX, e80b2491-fe2e-4e38-8f3a-144bee745513, 49, 6346, No update data, 9g3qrrm3xf43
Bird, MEX, 9c23dcac-0023-4755-9d0e-33e22b95b3bc, 66, 9185, No update data, 9g3qx0qv2n26
Bird, MEX, 6d001d79-821d-469c-903a-548e0f8de908, 61, 8350, No update data, 9g3qrrhr8e8f
Bird, MEX, 2f081237-27fc-4683-bd36-15e86c14e4d8, 85, 12358, No update data, 9g3qrr5zqp91
Bird, MEX, 53fa1d4d-1f37-404f-8cb0-dab509a69fa7, 64, 8374, No update data, 9g3qx8f4gewy
Bird, MEX, 52a38e84-36f3-4a3f-819c-7015e9f2e054, 64, 8374, No update data, 9g3qx8dmbfhj
Bird, MEX, fa2dc693-1248-4bcc-a77c-11e29b10c73a, 90, 12482, No update data, 9g3qrpyykrw4
Bird, MEX, cd6455e4-32ef-4c8d-83bc-1c83e97b2edb, 56, 7515, No update data, 9g3qrpxts56c
Bird, MEX, c724bb63-1df9-414e-99cb-e16545366c4d, 89, 12324, No update data, 9g3qrpyy7j04
Bird, MEX, 124aedcd-59a1-44cd-8ff0-1c0bcdc8b65a, 48, 6179, No update data, 9g3qx658pjsn
Bird, MEX, f162f178-2d3e-4a24-9a96-e5325b5ba732, 89, 12324, No update data, 9g3qrpyvcfy8
Bird, MEX, e9fb1284-340f-47c4-8276-4c8b83c18a73, 67, 8848, No update data, 9g3qrr5uq96d
Bird, MEX, 0185de75-6f72-4a1e-a7e9-697ed31ecb2a, 88, 12166, No update data, 9g3qrpyv66zv
Bird, MEX, ae303c05-feb3-4a63-8980-cc97f36640e3, 72, 10187, No update data, 9g3qrr4vm5s8
Bird, MEX, c4d516b3-6148-433a-9c91-61c9fe5e9024, 51, 6320, No update data, 9g3qrpxsdc7j
Bird, MEX, e8aeed4d-683e-4f07-aac9-8aa11327775a, 89, 12324, No update data, 9g3qrpyx7mhd
Bird, MEX, e7f735cc-9d20-43dc-a863-5ba86879414a, 46, 5530, No update data, 9g3qrx2x2uhh
Bird, MEX, 1ed11453-2cc0-42fc-bf83-b1634471d7a3, 40, 4582, No update data, 9g3qrx2x2dr0
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 76, 10270, No update data, 9g3qrx2x0s2g
Bird, MEX, 71e32e6a-31bb-4767-b6b6-6d3f2f1d3954, 91, 13360, No update data, 9g3qrx2wbhvt
Bird, MEX, b5a8c5a1-be6a-4ac9-a3b3-b2f40f010d14, 84, 11534, No update data, 9g3qrrhd9xgt
Bird, MEX, a4c43537-678b-4778-b8e1-4b442a1241cb, 51, 6680, No update data, 9g3qrr323k0k
Bird, MEX, 0da654ce-3512-4c14-95e0-aee9f42a40b4, 93, 12956, No update data, 9g3qrx2wcyyb
Bird, MEX, cf5a97c6-675d-45bf-8fee-7c3a4ec2a8fa, 90, 13193, No update data, 9g3qrx2w9qtq
Bird, MEX, 79c6d2c3-01b2-4c1a-a7cb-420d3b9f20d9, 89, 13026, No update data, 9g3qrx9k4sj6
Bird, MEX, 03019355-675b-4a75-b7c8-06cde4549311, 39, 4424, No update data, 9g3qrx9kjb50
Bird, MEX, a87c2eb5-b188-484d-b52c-080a9801ef36, 64, 8851, No update data, 9g3qrr24n2k6
Bird, MEX, c8710d9e-9267-49d8-b2e6-e06aea3c8382, 46, 5530, No update data, 9g3qrpyp2bmj
Bird, MEX, 9379d512-181b-4a19-a27b-b3cfe0044d87, 63, 8684, No update data, 9g3qrr21wz2d
Bird, MEX, 067d0ab7-d4e2-44bb-a0ca-1af5b330e21a, 83, 11376, No update data, 9g3qx65j599t
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 71, 9480, No update data, 9g3qrqupjfhm
Bird, MEX, 689ba987-f81a-4bab-9b0d-6e4c421f9500, 43, 5344, No update data, 9g3qrr48e5q2
Bird, MEX, 1edf68d5-b730-48b5-b90a-f83781606aa4, 63, 8684, No update data, 9g3qrqunuzrs
Bird, MEX, a23ae9db-2dd5-41b8-86e5-3a8320d5c3e5, 62, 8517, No update data, 9g3qrqunbveb
Bird, MEX, dd7294ea-f2db-4dec-aa26-fd0ffc6ee3cb, 49, 6004, No update data, 9g3qrprfeuhy
Bird, MEX, 0c389474-6479-4a7a-b421-35c3ec109e67, 73, 10354, No update data, 9g3qrqgwqd68
Bird, MEX, 9548354a-a62d-4d03-bde8-be2bc835ef9e, 35, 4008, No update data, 9g3qrx0q0fu1
Bird, MEX, b6c6c80b-02ce-49b8-904f-558b8df47b8e, 53, 7014, No update data, 9g3qrx0mbwrn
Bird, MEX, 1648cf2d-2f4c-49c7-8a64-5f5e572faf75, 55, 6952, No update data, 9g3qrqvkxrzm
Bird, MEX, 08a52c9e-f028-4629-b12d-949c4a1d1316, 81, 11690, No update data, 9g3qrpvw8x08
Bird, MEX, 3f769216-2eaa-441c-aab5-66d302eb9a26, 57, 7682, No update data, 9g3qrx3z42r4
Bird, MEX, f9065346-2507-4c7c-b781-614af719345d, 81, 11060, No update data, 9g3qrpr619e6
Bird, MEX, a0e76f46-dfdf-455d-82f9-2a40a1c7c788, 64, 8374, No update data, 9g3qrqfsj3zg
Bird, MEX, 323f85b1-a571-4ae7-98ea-b0855f61ba8b, 42, 4898, No update data, 9g3qrpr32eyf
Bird, MEX, 1c1721cf-b582-4e33-9e73-4b374ed44798, 69, 9686, No update data, 9g3qx0jpbhvq
Bird, MEX, 1e05a852-5d85-478f-9947-259933833bdd, 84, 12191, No update data, 9g3qx9d6m0kz
Bird, MEX, 64ee667e-9d69-47ae-946e-fcec8b70139a, 75, 10112, No update data, 9g3qx0kbr3qg
Bird, MEX, 3d714eea-557e-4b43-baa4-3de82296e865, 37, 4342, No update data, 9g3qx8geppg4
Bird, MEX, b99595bf-6379-435a-a133-5de00b63cc58, 69, 9164, No update data, 9g3qrx395j23
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 79, 10744, No update data, 9g3qrx39kj56
Bird, MEX, 8185d0f9-7b12-4f6f-bd05-1ec799b10c79, 71, 9480, No update data, 9g3qrx32n8xu
Bird, MEX, e0058c2b-9a64-4040-aa2f-dbe27da01b0f, 63, 8684, No update data, 9g3qx8ggg9cg
Bird, MEX, d242bd42-9977-4fdb-bc9b-fa4fa0d72978, 76, 10270, No update data, 9g3qrqcs6ev1
Bird, MEX, dbd8b49f-1323-4e0c-83f7-d815dd905c20, 48, 5846, No update data, 9g3qrqbynv29
Bird, MEX, f9937a84-5abe-46da-ae2a-bfe856dfa576, 45, 5372, No update data, 9g3qrqygzfrm
Bird, MEX, b4790cdb-6489-4d10-bb1b-ae5e4358542f, 56, 7515, No update data, 9g3qrx0fuw5k
Bird, MEX, 7992870b-7d0e-4c84-9dff-2165cf57e83d, 87, 12692, No update data, 9g3qrqygpjuh
Bird, MEX, f4cd312d-b1ab-4ccc-840f-b064e4d82842, 90, 13193, No update data, 9g3qrx3bfy5s
Bird, MEX, 7b3c65c1-5349-4c66-830e-ccc9c357934d, 42, 5177, No update data, 9g3qrptr3fys
Bird, MEX, cbd5ab7a-58be-466e-a2b7-5375321faf13, 89, 13026, No update data, 9g3qrqyfwn9m
Bird, MEX, e36ff547-5e96-4fde-928f-b48f0b999273, 83, 11376, No update data, 9g3qrpv0wyjd
Bird, MEX, c25677bf-c6ea-4aa3-80ce-d4cc210ea6a3, 70, 9322, No update data, 9g3qrqsr5r5k
Bird, MEX, c8414d54-6fcb-4519-a711-f49554876e7f, 57, 7268, No update data, 9g3qrx0ft2g1
Bird, MEX, 28647e37-d8b8-4ea0-8f2c-50fee617aa32, 56, 7110, No update data, 9g3qrqyfw532
Bird, MEX, db564f5e-57e2-4180-b5f3-ea41248df890, 47, 5688, No update data, 9g3qrqtxeecs
Bird, MEX, a8a2be27-30e0-45ff-8067-95e9994e144c, 70, 9322, No update data, 9g3qx8sjykuw
Bird, MEX, ca2e0c38-8a25-406c-b88b-48a890636e2e, 26, 2505, No update data, 9g3qrx61g67t
Bird, MEX, a966beb1-069f-49e5-87e2-52a02865e96d, 49, 6346, No update data, 9g3qrptq2fkc
