Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 79, 11356, No update data, 9g3qx265qj3j
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 91, 13360, No update data, 9g3qx26hhp5n
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 54, 6794, No update data, 9g3qx2jvuv1x
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 85, 12358, No update data, 9g3qx265n51j
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 90, 13193, No update data, 9g3qx26h70wr
Bird, MEX, 866b8a89-85c5-482a-b400-15dc07432cb2, 69, 9164, No update data, 9g3qx29vz45v
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 45, 5678, No update data, 9g3qx2h8ybvu
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f190ur
Bird, MEX, 71dc6069-0a3f-4fd1-9fde-e16cfb7acc22, 70, 9853, No update data, 9g3qx29g5jn2
Bird, MEX, ff3bdfbd-13eb-40b5-89ef-29495c0fc6e7, 43, 5344, No update data, 9g3qx34c842s
Bird, MEX, 7bd2f498-2d2e-49be-88d4-7129528eb6f9, 43, 5344, No update data, 9g3qx2fnp55v
Bird, MEX, 2f8e3eca-15ff-4bdf-bb5c-a759fa49d92e, 20, 1503, No update data, 9g3qx2nqgzkv
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 88, 12166, No update data, 9g3qx2fr07g9
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 89, 12324, No update data, 9g3qx2fr9g8k
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 42, 4898, No update data, 9g3qx23fhk2h
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 57, 7268, No update data, 9g3qx23f4zg6
Bird, MEX, cfd29ecf-3251-4c2d-9fd9-e5d47d75f075, 70, 9322, No update data, 9g3qx23f8qex
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 66, 8690, No update data, 9g3qx2nxqwzw
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 45, 5372, No update data, 9g3qx2xh7z84
Bird, MEX, 52eae0a5-4b44-46ce-abc0-a630dbb9ecce, 48, 6179, No update data, 9g3qx2qcjveh
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 87, 12692, No update data, 9g3qx2yvhv9t
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 82, 11857, No update data, 9g3qx2yy4wm1
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 81, 11060, No update data, 9g3qx2z51c29
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 80, 10902, No update data, 9g3qx2z4fh7f
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 89, 13026, No update data, 9g3qx2yydb5r
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 65, 8532, No update data, 9g3qx2z54r4n
Bird, MEX, e697081f-a2a0-4f84-be17-971cd9c4372b, 91, 13360, No update data, 9g3qx2yyhpg4
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 48, 6179, No update data, 9g3qx2yy7w9v
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 84, 11534, No update data, 9g3qx236qfbv
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 93, 12956, No update data, 9g3qx2386dbj
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 40, 4582, No update data, 9g3qx2ct7erb
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 88, 12859, No update data, 9g3qx2yyhyzu
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 97, 13588, No update data, 9g3qx233yjz7
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 85, 11692, No update data, 9g3qx236sgr9
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 85, 11692, No update data, 9g3qx236kth7
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 73, 10354, No update data, 9g3qx236hcr9
Bird, MEX, 84ddb9a4-5b5e-4f45-a119-cfc46066e1e5, 19, 1336, No update data, 9g3qx2zj577x
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 81, 11690, No update data, 9g3qx2yyz9s3
Bird, MEX, 4b53c12d-7109-4678-ab3c-1cbcecb34c17, 87, 12008, No update data, 9g3qx240cdg8
Bird, MEX, d80dd3a9-e8bc-4c1e-ab47-0b0ab0006477, 39, 4424, No update data, 9g3qx3nnpfd3
Bird, MEX, 62d22fd8-7a6b-4028-b99c-f79ab4379a91, 54, 7181, No update data, 9g3qx235u6y0
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 79, 10744, No update data, 9g3qx2912h2x
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 73, 9796, No update data, 9g3qx231p9uj
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 85, 11692, No update data, 9g3qx23p08nc
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 70, 9322, No update data, 9g3qx230zu42
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 90, 13193, No update data, 9g3qx21mvgkh
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 84, 11534, No update data, 9g3qx28cr55z
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 90, 13193, No update data, 9g3qx21muvx9
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 92, 13527, No update data, 9g3qx231t7fv
Bird, MEX, 89bb6295-5b6b-47aa-a41b-be683dd5cd27, 61, 8350, No update data, 9g3qrrfnxffr
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 89, 13026, No update data, 9g3qx231svz9
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 91, 13360, No update data, 9g3qx230wtf9
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 70, 9853, No update data, 9g3qx231sv3r
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 88, 12859, No update data, 9g3qx21r8d2s
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 83, 11376, No update data, 9g3qx21mjukh
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 80, 10902, No update data, 9g3qx230v7xw
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 58, 7426, No update data, 9g3qx2zppk3j
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 90, 13193, No update data, 9g3qx231hssq
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 91, 13360, No update data, 9g3qx230mtty
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 76, 10855, No update data, 9g3qx2zd1pd2
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 60, 7742, No update data, 9g3qx230u9hq
Bird, MEX, 62edfae9-c344-4128-87bc-b3b0b744f33e, 83, 11376, No update data, 9g3qx2349se3
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 99, 13904, No update data, 9g3qx2zr0m7g
Bird, MEX, 40dc89b0-44d3-4c07-878c-3962e0a4cdab, 74, 10521, No update data, 9g3qx2zd92jr
Bird, MEX, 44bc8cfd-6369-4677-89a0-584144e5541c, 85, 11692, No update data, 9g3qx3nr5e30
Bird, MEX, ceb60b2d-0911-4b72-8f83-82999d1023e9, 67, 8848, No update data, 9g3qx36fx2z5
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 54, 7181, No update data, 9g3qx28f6d85
Bird, MEX, a688f574-3cc8-4a1c-b2d2-a0dd24f18974, 83, 11376, No update data, 9g3qx3ntp9k6
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 88, 12166, No update data, 9g3qrryh5tzy
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 89, 13026, No update data, 9g3qx3p0ryzr
Bird, MEX, 5470d1c2-9e87-4469-800a-d2b3dc5abddf, 66, 9185, No update data, 9g3qx2zsbjvs
Bird, MEX, da7dfdac-193a-4418-9773-a104a7da7491, 79, 11356, No update data, 9g3qrryxh853
Bird, MEX, 9c03be33-e196-47dd-abe4-27ecf135ee76, 74, 10521, No update data, 9g3qrryz8w0g
Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 97, 13588, No update data, 9g3qx3m7wkuk
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 66, 8690, No update data, 9g3qx3p291pj
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 94, 13861, No update data, 9g3qx3m7wn3q
Bird, MEX, 208fcbe3-a0f6-409e-9353-79f129875513, 96, 14195, No update data, 9g3qx3m7vbsk
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 88, 12859, No update data, 9g3qx2zt2spj
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 98, 13746, No update data, 9g3qx3m7umw7
Bird, MEX, 28e02f1c-872c-4047-ac4f-17a642222544, 18, 1169, No update data, 9g3qrryz2vh4
Bird, MEX, 0736a316-961b-48ca-a983-aab12362a9d5, 87, 12008, No update data, 9g3qx2ztb77v
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 90, 13193, No update data, 9g3qx2zt9d7s
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 63, 8684, No update data, 9g3qx2zrv3xc
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 90, 9322, No update data, 9g3qx2ztdwtp
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 92, 13527, No update data, 9g3qx2zsscc8
Bird, MEX, b639eb2d-7ed2-497a-9575-570601c41e84, 40, 4582, No update data, 9g3qx31y0uez
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 92, 13527, No update data, 9g3qx2zth321
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 91, 9440, No update data, 9g3qx2zt7t9z
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 90, 13193, No update data, 9g3qx2zsuqnq
Bird, MEX, 7b1f6cd5-3395-41da-902e-75be77687872, 75, 10688, No update data, 9g3qx2zsm6rf
Bird, MEX, c951fa66-4ed6-484d-b192-a4d58f075dc5, 64, 8851, No update data, 9g3qx2ztj4sc
Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 75, 10688, No update data, 9g3qx2zce65d
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 85, 12358, No update data, 9g3qrrswv0sd
Bird, MEX, 6ef92d03-7e04-4973-a7d9-a43a595edd48, 85, 11692, No update data, 9g3qx2zszq1n
Bird, MEX, 32b20728-373e-46e0-bf5d-dedc403e8641, 67, 8848, No update data, 9g3qx3nzu0e5
Bird, MEX, f6cdd7bc-0a64-4ca4-a6b5-04a1120f65a8, 91, 12640, No update data, 9g3qrrsubu7c
