Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 48, 5846, No update data, 9g3qx2kbh6nr
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 39, 4676, No update data, 9g3qx2gh4db5
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 64, 8374, No update data, 9g3qx2f8y7kk
Bird, MEX, bbad18c0-ce9d-4470-8bbf-ef014ecca453, 54, 7181, No update data, 9g3qx2hh997w
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 80, 11523, No update data, 9g3qx2hh3kv2
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 67, 8848, No update data, 9g3qx2hh3d79
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 63, 8216, No update data, 9g3qx2gj01bt
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 79, 11356, No update data, 9g3qx25spwuh
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 58, 7849, No update data, 9g3qx25nkknm
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 74, 10521, No update data, 9g3qx2h59ndp
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 75, 10688, No update data, 9g3qx25gw4cp
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 79, 11356, No update data, 9g3qx2h52j8w
Bird, MEX, 2dc58e40-8f4c-4092-93c7-8c7dbbdd30c6, 99, 14696, No update data, 9g3qx2wr00me
Bird, MEX, a6eb8114-a4d5-41be-94a7-a0867031bc0c, 76, 10855, No update data, 9g3qx266rq8u
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 98, 14529, No update data, 9g3qx26k8jb9
Bird, MEX, 63dc07bc-4457-4af4-ac8d-9685fea614ce, 100, 14863, No update data, 9g3qx2wrge9y
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 98, 14529, No update data, 9g3qx2wrgw1y
Bird, MEX, b79b987e-d2af-4ec5-a1d8-c098047ec0f4, 98, 13746, No update data, 9g3qx2wqmrxg
Bird, MEX, c8bcfb7d-1d1c-444e-8740-47810b5a00c2, 99, 13904, No update data, 9g3qx26hx7r4
Bird, MEX, f3cc446b-8fcd-4676-b0fa-0cff546f3f60, 52, 6847, No update data, 9g3qx25dc56h
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 98, 14529, No update data, 9g3qx26hwcju
Bird, MEX, dbb90cc6-bbb2-42af-bf1b-61e2420a0a4a, 45, 5678, No update data, 9g3qx3j1ymuk
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 98, 13746, No update data, 9g3qx2wrqn9m
Bird, MEX, 740964e8-cb25-4001-abeb-db32d1f1484a, 42, 5177, No update data, 9g3qx2dn680h
Bird, MEX, 270b23d5-cdf9-425e-adfc-9a4cb975fd06, 54, 6794, No update data, 9g3qx2fkw7k6
Bird, MEX, a5324893-9031-43c7-af54-fd5ed0ff7f3a, 98, 13746, No update data, 9g3qx2wrpmp3
Bird, MEX, a6b5d096-e9bc-4484-aaf7-f18638ee9d0d, 85, 11692, No update data, 9g3qx3hfzgxr
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 60, 7742, No update data, 9g3qx2jvyexw
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 46, 5530, No update data, 9g3qx2626t8n
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 100, 14863, No update data, 9g3qx2ykc1z5
Bird, MEX, ae82c1a3-0b5b-41b9-af9e-bb7748e00671, 15, 632, No update data, 9g3qx3j9pqcj
Bird, MEX, 8d0b24af-ab94-4369-9390-7fa8d8dda44d, 100, 14062, No update data, 9g3qx2yk6dm4
Bird, MEX, 0c3b5bb2-5d31-4934-9871-aeae78a5d2fe, 58, 7849, No update data, 9g3qx2yd0nvs
Bird, MEX, f6a55eae-cf59-4c28-8305-591b0a61f7a1, 100, 14062, No update data, 9g3qx2yke1ns
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 100, 14863, No update data, 9g3qx2ykfg7m
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 100, 14062, No update data, 9g3qx2ykkqyr
Bird, MEX, 4b8125d9-7830-427f-8f6f-a808adc7ce2d, 52, 6847, No update data, 9g3qx3jekqq7
Bird, MEX, 92c1b484-7e6b-458a-838c-070795ec1426, 48, 5846, No update data, 9g3qx2ydqeze
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 93, 12956, No update data, 9g3qx2fr2wyz
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 61, 8350, No update data, 9g3qx2yshr80
Bird, MEX, 7fefdb66-6840-4a63-82c8-d0e2ac5d7ac2, 87, 12692, No update data, 9g3qx2fr858s
Bird, MEX, 5a415c43-ccf5-401f-8f80-dfb04f28a18c, 46, 5845, No update data, 9g3qx2q87679
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 39, 4424, No update data, 9g3qx2fr8pj9
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 45, 5678, No update data, 9g3qx2q85wcu
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 76, 10855, No update data, 9g3qx2wyvrzb
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 93, 12956, No update data, 9g3qx2fpwe6d
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 94, 13114, No update data, 9g3qx2fpz0gv
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 72, 9638, No update data, 9g3qx2nxrkrr
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 87, 12008, No update data, 9g3qx21ykb3m
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 43, 5056, No update data, 9g3qx2ctmmrv
Bird, MEX, e62c73b1-9092-42ab-b35f-9d09fcbe7333, 44, 5214, No update data, 9g3qx2cthrw0
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 92, 12798, No update data, 9g3qx239b88d
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 91, 12640, No update data, 9g3qx233xz67
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 83, 12024, No update data, 9g3qx236qhpm
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 90, 12482, No update data, 9g3qx236n7u2
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 89, 12324, No update data, 9g3qx233ynpm
Bird, MEX, ae1acd5e-47c5-44ab-b0f3-c5fbae204d43, 89, 13026, No update data, 9g3qx23pnb0c
Bird, MEX, bb1c86a7-40b3-4697-bde7-a75ce481659e, 74, 9954, No update data, 9g3qx2nddu5r
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 90, 12482, No update data, 9g3qx291j1k9
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 91, 12640, No update data, 9g3qx290ftt4
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 99, 14696, No update data, 9g3qx235qb0u
Bird, MEX, 5e8caee7-0184-406a-8439-a6ac0b774723, 91, 12640, No update data, 9g3qx2919fww
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 91, 12640, No update data, 9g3qx291c0d5
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 87, 12008, No update data, 9g3qx2919h60
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 83, 12024, No update data, 9g3qx2913pd4
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 100, 14863, No update data, 9g3qx2940bgz
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 100, 14863, No update data, 9g3qx28frf63
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 99, 13904, No update data, 9g3qx28fpwuh
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 87, 12008, No update data, 9g3qx21mtemc
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 92, 12798, No update data, 9g3qx28cq7u7
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 89, 12324, No update data, 9g3qx21mmwmf
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 89, 12324, No update data, 9g3qx21mq1cp
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 99, 14696, No update data, 9g3qx231mjhe
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 99, 14696, No update data, 9g3qx231k4gj
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 88, 12166, No update data, 9g3qx3kk5zsc
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 100, 14863, No update data, 9g3qx2317p20
Bird, MEX, daac3331-788c-444e-ac19-9fecabfcefac, 100, 14863, No update data, 9g3qx3mdbnvd
Bird, MEX, 593ffe56-8d8b-4e06-89da-7ed7015103f6, 100, 14062, No update data, 9g3qx3m7s575
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 87, 12008, No update data, 9g3qx2zs5ybh
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 99, 14696, No update data, 9g3qx21k14f4
