Lime, ATL, SAN, high, 20760, 2019-08-13T00:37:19.000Z, dn5bpufr34mt
Lime, ATL, 093, high, 15932, 2019-08-12T17:53:44.000Z, dn5bpv4u8gc5
Lime, ATL, UXT, high, 21001, 2019-08-13T00:33:34.000Z, dn5bpv1z3rzy
Lime, ATL, FFD, high, 21484, 2019-08-13T00:37:52.000Z, dn5bpv1mhp1x
Lime, ATL, HLU, high, 21726, 2019-08-13T00:33:03.000Z, dn5bpv1ms2e4
Lime, ATL, JXX, high, 21967, 2019-08-13T00:35:56.000Z, dn5bpv1mss4e
Bird, MEX, 463a40f1-dbed-4186-bb21-0b9373ac5aec, 89, 13026, No update data, 9g3qx2s5g58q
Bird, MEX, e8e6ff26-364b-4371-88bf-f42ffa00ff05, 88, 12859, No update data, 9g3qx2s5b9yg
Bird, MEX, dbb90cc6-bbb2-42af-bf1b-61e2420a0a4a, 31, 3340, No update data, 9g3qx2s5bx8z
Bird, MEX, 3068356b-477d-492b-a0bc-b41af7d595da, 87, 12692, No update data, 9g3qx2sh05jt
Bird, MEX, 33ac9d70-9e28-4689-9c1c-d75e1efd8b22, 76, 10270, No update data, 9g3qx2sh0jmd
Bird, MEX, a22b8b39-d5cf-473c-a03b-3bc1c5dc4cb7, 89, 13026, No update data, 9g3qx2eup7z1
Bird, MEX, d4b35238-c0ab-4a0f-b0ed-3743711102fa, 46, 5530, No update data, 9g3qx2sm7d39
Bird, MEX, 2695188d-bdf5-4ac9-972d-d0bc17ec4631, 92, 12798, No update data, 9g3qx2krdg76
Bird, MEX, 22d645d8-0daf-41c1-bf14-caf0adb0dab1, 96, 13430, No update data, 9g3qx2sm97bq
Bird, MEX, 9064a702-4085-4953-abb0-7022f0b9ec19, 56, 7515, No update data, 9g3qx2sjxqp5
Bird, MEX, 57a20516-d02b-4145-8c2e-0f9a9c450135, 76, 10855, No update data, 9g3qx2sjtguq
Bird, MEX, 215a9e38-3932-404b-8bb2-2f449c5697ec, 21, 1670, No update data, 9g3qx2kr39gx
Bird, MEX, 6c582eb7-4c3f-46bf-8b84-bd462dd3ed58, 83, 12024, No update data, 9g3qx2smsyxx
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 90, 13193, No update data, 9g3qx2euz1hp
Bird, MEX, f6a55eae-cf59-4c28-8305-591b0a61f7a1, 94, 13114, No update data, 9g3qx2sjvbum
Bird, MEX, a575fba4-a8fd-4919-a8fc-4f4d4f4480d1, 72, 9638, No update data, 9g3qx2sjzesn
Bird, MEX, 9b563fbc-f679-4602-8271-770b76a34bb5, 36, 4175, No update data, 9g3qx2s8k7nr
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 96, 14195, No update data, 9g3qx2sn5srv
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 98, 14529, No update data, 9g3qx2snm6zv
Bird, MEX, 9af95c43-06bf-4cbd-83ca-ba7881c6a2bb, 49, 6004, No update data, 9g3qx2sqqqur
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 97, 13588, No update data, 9g3qx2snwpp3
Bird, MEX, 173f991f-09a7-417d-ab92-9582f3b246e1, 43, 5056, No update data, 9g3qx2sqgm72
Bird, MEX, 6f6d7458-76fd-4ebd-a952-b01e9b149241, 54, 7181, No update data, 9g3qx2edw0pq
Bird, MEX, b3108a58-c55c-46b6-b33b-f3b0aed9b5a1, 96, 14195, No update data, 9g3qx2km842s
Bird, MEX, d683562e-1e81-488e-a1d9-4dcccef032c1, 97, 14362, No update data, 9g3qx2spmzs7
Bird, MEX, 2198fb74-c6f7-46b0-91c1-51195d0d4cb7, 96, 14195, No update data, 9g3qx2spszxt
Bird, MEX, 954abfe8-af67-4c1a-bd54-30dbe18024be, 79, 11356, No update data, 9g3qx2km1y28
Bird, MEX, e4c4eab0-8b33-45fb-93a8-ee7f65202e79, 16, 835, No update data, 9g3qx2khnnzk
Bird, MEX, 933ab2a1-650f-487f-84d9-16ef9179f273, 64, 8851, No update data, 9g3qx2e6h1gj
Bird, MEX, c7e10af2-fc44-4b1b-addc-7075d43d3492, 78, 10586, No update data, 9g3qx27s962k
Bird, MEX, 3b188619-b3c5-4dd7-8a1d-4d6c8ceb6f5a, 100, 14062, No update data, 9g3qx2tkwqey
Bird, MEX, 77839e0f-9388-47d0-9534-56d619ff1adf, 94, 13114, No update data, 9g3qx279kds7
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 78, 11189, No update data, 9g3qx2m1sc3w
Bird, MEX, 8cbb26b9-033b-4764-af04-f8363d263747, 83, 12024, No update data, 9g3qx2m0femh
Bird, MEX, 53fb9905-002a-45fb-be1c-054644b917cc, 78, 11189, No update data, 9g3qx26skshm
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 71, 9480, No update data, 9g3qx2q5ujgh
Bird, MEX, 87d372ec-160f-4323-b9a0-4a6258483749, 94, 13114, No update data, 9g3qx3h3zzpk
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 46, 5845, No update data, 9g3qx25jkycq
Bird, MEX, a448f586-a424-4e6b-9f6f-d6243a7d038e, 63, 8216, No update data, 9g3qx2jk5e3w
Bird, MEX, 0b8ea84b-a83a-4ed3-ad76-271301ca6c72, 54, 6794, No update data, 9g3qx2jkh3bj
Bird, MEX, dfe82747-4922-4b17-af23-9c318f7d9086, 49, 6346, No update data, 9g3qx2dnfwt0
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 45, 5678, No update data, 9g3qx2h9jmpb
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 87, 12692, No update data, 9g3qx26j423g
Bird, MEX, 866b8a89-85c5-482a-b400-15dc07432cb2, 67, 8848, No update data, 9g3qx29vzu42
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 78, 11189, No update data, 9g3qx26hf23c
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 85, 12358, No update data, 9g3qx26hd69y
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 91, 13360, No update data, 9g3qx265g504
Bird, MEX, 71dc6069-0a3f-4fd1-9fde-e16cfb7acc22, 69, 9686, No update data, 9g3qx29gmpsd
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 90, 13193, No update data, 9g3qx26h1v8k
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 54, 6794, No update data, 9g3qx2jvxnh5
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f190ur
Bird, MEX, 2f8e3eca-15ff-4bdf-bb5c-a759fa49d92e, 22, 1837, No update data, 9g3qx2nqgyuc
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 89, 12324, No update data, 9g3qx2frdk9f
Bird, MEX, 7bd2f498-2d2e-49be-88d4-7129528eb6f9, 43, 5344, No update data, 9g3qx2fnzkp0
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 88, 12166, No update data, 9g3qx2fr98ge
Bird, MEX, cfd29ecf-3251-4c2d-9fd9-e5d47d75f075, 70, 9322, No update data, 9g3qx23dy1c4
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 45, 5372, No update data, 9g3qx2xhe35s
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 66, 8690, No update data, 9g3qx2nxq1zx
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 82, 11857, No update data, 9g3qx2yv4244
