Bird, MEX, 50ad6d5b-e418-49e1-bda1-5c26e567985c, 99, 13904, No update data, 9g3qx2tn58zz
Bird, MEX, 0f9be40f-5110-4c2b-bc61-cf3d7ff56f45, 85, 11692, No update data, 9g3qx2e2s454
Bird, MEX, e9bc84ce-d822-429b-a4e2-06a23fb32af0, 100, 14062, No update data, 9g3qx2tjt8nn
Bird, MEX, d964fcfa-6bc4-46a1-852a-ae21f9605e64, 90, 12482, No update data, 9g3qx2tjns6t
Bird, MEX, fc97cd00-b130-485c-9f04-32a39b424f3e, 89, 13026, No update data, 9g3qx2e39rm7
Bird, MEX, 8abd70f2-cf7e-4ae5-b2f2-68e9c6a104ee, 100, 14062, No update data, 9g3qx2uchkwr
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 69, 9164, No update data, 9g3qx2g9xwkj
Bird, MEX, 75d857c7-321b-4a91-8aaa-13d402bc0160, 85, 11692, No update data, 9g3qx2e0prx0
Bird, MEX, bc662e2f-2a1c-4b3e-ba04-9d7f48168aad, 99, 13904, No update data, 9g3qx27r2wbw
Bird, MEX, d0beaa38-2e9d-4588-85dc-2955ca62c8e9, 100, 14062, No update data, 9g3qx2tq2fgv
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 98, 13746, No update data, 9g3qx27kyqhq
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 96, 13430, No update data, 9g3qx2tkk7nr
Bird, MEX, 1f42bf4e-c091-4157-9c4c-3c8ed5ac679e, 70, 9853, No update data, 9g3qx27mcjd4
Bird, MEX, f20525b5-1737-460f-8b30-90e72d066e88, 72, 9638, No update data, 9g3qx27m62cb
Bird, MEX, b1ff650c-6003-4fca-a3cc-7c57811323dc, 99, 13904, No update data, 9g3qx2ufsgrd
Bird, MEX, ed62c122-709b-44b9-a89d-9bc4d1b4a968, 98, 13746, No update data, 9g3qx27jyp3j
Bird, MEX, eea7f1af-6508-49e0-a355-2c02fbd3397c, 81, 11060, No update data, 9g3qx27jy5xq
Bird, MEX, 6a34c69c-838f-4822-9415-33c89c733302, 74, 10521, No update data, 9g3qx27jr22y
Bird, MEX, 298a1add-4986-4b60-ba76-635f0a3fa5a4, 62, 8517, No update data, 9g3qx27jqrs6
Bird, MEX, b1919dbe-36c1-4f6d-a5c3-244c01ccc48e, 55, 7348, No update data, 9g3qx27jq5pr
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 48, 6179, No update data, 9g3qx2t9gk7d
Bird, MEX, 0b614b84-c92a-442b-93ab-89c83b29851d, 97, 14362, No update data, 9g3qx26zw7k6
Bird, MEX, 3e84f037-6dff-40ea-9bcc-160006d1c792, 49, 6004, No update data, 9g3qx2gsrv6m
Bird, MEX, 8a763c77-a051-49a6-b521-aab12d1356fc, 94, 13861, No update data, 9g3qx2ttm9qh
Bird, MEX, dfa95489-d2c7-4dfc-b38e-bf6560efa249, 93, 13694, No update data, 9g3qx2ttqwzx
Bird, MEX, dde59b6d-fc71-4638-817a-3565f11e95f1, 100, 14062, No update data, 9g3qx26vyedw
Bird, MEX, c93a1da1-691d-40bd-8ee0-133d5d1f6cf6, 94, 13861, No update data, 9g3qx2ttp61p
Bird, MEX, d5f4bf5a-6224-40a3-a97c-c4ecf8b087ee, 84, 12191, No update data, 9g3qx2tsz9s1
Bird, MEX, 69e80f2f-3a81-498f-8a8e-a9c4ccf6a046, 78, 10586, No update data, 9g3qx275etzc
Bird, MEX, 0ecc8f6f-3c73-48cf-87d5-c9313c95846a, 56, 7515, No update data, 9g3qx2g1ufz9
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 94, 13861, No update data, 9g3qx2twp8k5
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 93, 13694, No update data, 9g3qx2txq0z8
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 97, 14362, No update data, 9g3qx2tvc706
Bird, MEX, 8a3932c9-c6e3-4dea-8ab7-fb64ba198716, 64, 8374, No update data, 9g3qx2gyjbkk
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 98, 13746, No update data, 9g3qx2txrb4k
Bird, MEX, 918711a0-139b-4a6c-b897-6e34e57fb43f, 74, 9954, No update data, 9g3qx2hqpv66
Bird, MEX, ed432de5-1245-4d4c-862c-1c442d1de163, 58, 7849, No update data, 9g3qx25vz6z0
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 55, 7348, No update data, 9g3qx2fgwx49
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 55, 6952, No update data, 9g3qx2hvm5ue
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 71, 9480, No update data, 9g3qx2fuzbd7
Bird, MEX, 429e6f17-9093-40a1-9f51-9f1e9f4478e0, 28, 2839, No update data, 9g3qx26ch6np
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 92, 13527, No update data, 9g3qx2h5gjye
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 94, 13861, No update data, 9g3qx2h5gukf
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 75, 10688, No update data, 9g3qx25npth0
Bird, MEX, bbad18c0-ce9d-4470-8bbf-ef014ecca453, 69, 9686, No update data, 9g3qx2h5bsqf
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 76, 10270, No update data, 9g3qx2h5sqqm
Bird, MEX, 90fcf690-2c86-4779-afa6-b075ebf97510, 93, 13694, No update data, 9g3qx2y19rm7
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 92, 13527, No update data, 9g3qx2h5892y
Bird, MEX, 035cd50f-e02d-4335-8faf-eaeb79643a9a, 31, 3340, No update data, 9g3qx269mxq0
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 94, 13861, No update data, 9g3qx25gw0c4
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 97, 14362, No update data, 9g3qx25grvdq
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 97, 13588, No update data, 9g3qx2y4ht53
Bird, MEX, 0b53acc7-3441-4553-be41-2f5fee18b2bc, 71, 9480, No update data, 9g3qx2y0xbpq
Bird, MEX, 78c6fa08-c4a3-447f-b30a-ff4cc23c31e0, 35, 4008, No update data, 9g3qx2j5v9w0
Bird, MEX, 4a5de99c-8d11-47f4-bec2-d3b9fecab8a0, 96, 14195, No update data, 9g3qx2y2h4e1
Bird, MEX, 91d27b27-39c8-4300-ae4f-56102b634f9c, 67, 8848, No update data, 9g3qx2y2hj51
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 83, 11376, No update data, 9g3qx24xe81w
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 87, 12008, No update data, 9g3qx24xcg06
Bird, MEX, c8b73a33-06a6-4e4f-a205-917bcc5eb2e6, 18, 1169, No update data, 9g3qx2y2m7fg
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 51, 6320, No update data, 9g3qx24wsvz9
Bird, MEX, 5f452180-93ff-41e8-8fdb-2ff54f5a18d2, 76, 10270, No update data, 9g3qx2653fbm
Bird, MEX, 7a7a5026-b63b-47f7-b579-9a9eb71d3eec, 96, 14195, No update data, 9g3qx260vgkh
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 94, 13114, No update data, 9g3qx34c3k2r
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 94, 13114, No update data, 9g3qx34c2fgy
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 94, 13114, No update data, 9g3qx34c2dwu
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 93, 12956, No update data, 9g3qx34c2u5y
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 90, 12482, No update data, 9g3qx34c2s0w
Bird, MEX, 5d76e6e5-dc02-419b-9e48-06a9964b8d69, 84, 11534, No update data, 9g3qx23cqzjv
Bird, MEX, 8005ba09-2c01-4116-8492-59df98519338, 33, 3674, No update data, 9g3qx2ycgd1v
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 80, 10902, No update data, 9g3qx2nxyj93
