Bird, MEX, ae4a4a0d-29ae-4189-a1e3-6188d45a1bb6, 63, 8216, No update data, 9g3qx2g1sb1r
Bird, MEX, ca814a63-1b00-4c7c-913d-52f65a23cde1, 85, 12358, No update data, 9g3qx2twmmpg
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 56, 7110, No update data, 9g3qx2ttwxdt
Bird, MEX, 0d6229f3-2709-4009-9926-86d8e2e5b821, 48, 5846, No update data, 9g3qx275dcg2
Bird, MEX, fc7e8f5a-73f8-4b6c-b6c5-d8d746b0d1e3, 89, 12324, No update data, 9g3qx2tyb9pp
Bird, MEX, f01152c9-7e35-4ad7-a5de-d5050dcfdf6d, 89, 12324, No update data, 9g3qx26uhu9q
Bird, MEX, df2e677d-248c-46c7-a7ae-5e387ff54e32, 91, 12640, No update data, 9g3qx26ghrnn
Bird, MEX, ed432de5-1245-4d4c-862c-1c442d1de163, 74, 10521, No update data, 9g3qx25y50br
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 67, 8848, No update data, 9g3qx26ffej4
Bird, MEX, 393e0a99-f760-4503-8063-16b3b88054f4, 89, 13026, No update data, 9g3qx26ff73u
Bird, MEX, 439e90c5-769c-4396-8d23-419bf5019251, 88, 12166, No update data, 9g3qx26ce8zf
Bird, MEX, 76d3e90c-8802-45c6-97ca-785bd6a664e3, 75, 10112, No update data, 9g3qx26ccv22
Bird, MEX, dbb9b3cf-52e7-4b2f-b45c-f90ae3727662, 84, 11534, No update data, 9g3qx2qj995s
Bird, MEX, 541e7910-bcd2-4d3a-9467-a4473d2c4aeb, 62, 8517, No update data, 9g3qx2fvptsj
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 79, 10744, No update data, 9g3qx2fvnvjc
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 93, 12956, No update data, 9g3qx2dqkryh
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 79, 10744, No update data, 9g3qx2fvqhc1
Bird, MEX, 9e8317ba-439a-437c-9839-05185d0b3f20, 84, 11534, No update data, 9g3qx2fvw2u7
