Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 61, 7900, No update data, 9g3qx34zxdsn
Bird, MEX, 0d2663c7-49cf-4138-9feb-5ed7b6143c8f, 81, 11690, No update data, 9g3qx3kd433f
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 52, 6847, No update data, 9g3qx2c66z71
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 26, 2505, No update data, 9g3qx21wdm3z
Bird, MEX, 84c58f67-767b-43d3-a648-1760f654ddf2, 33, 3674, No update data, 9g3qx3ns0bkh
Bird, MEX, 9576e053-4a88-4170-9005-5cc00cd21a4d, 74, 10521, No update data, 9g3qx2r36ze6
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 89, 12324, No update data, 9g3qx2942j2t
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 90, 12482, No update data, 9g3qx3k7e0ye
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 91, 12640, No update data, 9g3qx231sy5e
Bird, MEX, bf1eae5e-8e66-4d41-9c03-1242af520dce, 30, 3173, No update data, 9g3qx2r27fbj
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 79, 10744, No update data, 9g3qx230mdtg
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 90, 12482, No update data, 9g3qx2305uku
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 62, 8517, No update data, 9g3qx2bf1u2m
Bird, MEX, 7aadc36b-4d78-44ff-ab7a-003ab654269d, 74, 9954, No update data, 9g3qx2p7u6qq
Bird, MEX, fda6d7e1-606d-461c-abf9-dd9253eea5a9, 65, 9018, No update data, 9g3qx2zyu071
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 64, 8374, No update data, 9g3qx8bj53gt
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 73, 9796, No update data, 9g3qx8bhv76v
Bird, MEX, 1ed11453-2cc0-42fc-bf83-b1634471d7a3, 47, 5688, No update data, 9g3qrrzxmm6u
Bird, MEX, d00c8363-1378-4f6d-a999-7e929c94c014, 24, 2054, No update data, 9g3qx8bpum84
Bird, MEX, b9e2ff33-aa00-4fc0-8744-f33a9e54896b, 75, 10112, No update data, 9g3qx3r3h72p
Bird, MEX, d98c91fb-00aa-404b-82d7-c7ec1c1d5864, 52, 6478, No update data, 9g3qrrz7uqqr
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 78, 11189, No update data, 9g3qx303jusp
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 100, 14062, No update data, 9g3qrred09yu
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 62, 8058, No update data, 9g3qx3r66ngz
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 100, 14062, No update data, 9g3qrre99r02
Bird, MEX, 30fb4242-e30e-4529-a38b-c76d62f2c81d, 63, 8216, No update data, 9g3qx33kjzs1
Bird, MEX, f77a1a96-0f11-456b-a1e9-3133c60c3472, 67, 9352, No update data, 9g3qx3r6sx56
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 76, 10270, No update data, 9g3qx32cnv09
Bird, MEX, f269b87e-e85b-449f-95c0-681aca0493c6, 76, 10270, No update data, 9g3qx3r7d2f5
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 56, 7110, No update data, 9g3qrrd7g91w
Bird, MEX, 7bd29338-131e-4a47-9758-f99065e6d4fb, 81, 11060, No update data, 9g3qrrc1v5ux
Bird, MEX, a283ba1b-d074-409e-8b73-25619fe5918c, 52, 6478, No update data, 9g3qrrc1ex18
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 63, 8216, No update data, 9g3qx0zguqy4
Bird, MEX, 32a41fc6-df80-438c-a835-641ac4218c08, 90, 12482, No update data, 9g3qrrzvhbxv
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 85, 11692, No update data, 9g3qrrzvxk91
Bird, MEX, 29dcbbf0-b2bb-493b-ad81-713ea3182fcc, 78, 11189, No update data, 9g3qrr9u9ee7
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 75, 10112, No update data, 9g3qrr9te2u9
Bird, MEX, b6e0b502-f16a-4d1d-ada5-2025d875c867, 49, 6004, No update data, 9g3qrrz95jyt
