Bird, MEX, afadba1e-c338-4360-9180-1455dc2eadc1, 89, 13026, No update data, 9g3qx21r81mq
Bird, MEX, 97747c01-16ab-4dbe-b611-79a644f69472, 76, 10855, No update data, 9g3qx230tzup
Bird, MEX, 1a9a7526-2031-4bd6-a871-746ec2cc8703, 93, 12956, No update data, 9g3qx2zpvrzb
Bird, MEX, a65127ed-ebdf-4958-be90-97922b96ec9b, 88, 12859, No update data, 9g3qx21pwzbz
Bird, MEX, 56074173-a851-4b59-a18f-57e8c5188cbb, 91, 13360, No update data, 9g3qx3kkjwq1
Bird, MEX, 909d4c57-7903-480d-9874-2abae70f7479, 91, 13360, No update data, 9g3qx21kuxsr
Bird, MEX, a966beb1-069f-49e5-87e2-52a02865e96d, 92, 13527, No update data, 9g3qx21pwbbf
Bird, MEX, 0951f93d-1a81-4ee0-b244-4d1f3ce627fd, 92, 13527, No update data, 9g3qx3kkq3h6
Bird, MEX, 05e1e739-2621-441b-962b-677608860b68, 89, 13026, No update data, 9g3qx230j0ux
Bird, MEX, 93b1af19-87ca-4dd8-bfe9-b8f6a5a83c6e, 82, 11218, No update data, 9g3qx28bgcsb
Bird, MEX, 1ddc5dcd-f88a-47f8-9a40-6cbbd7bc6742, 100, 14062, No update data, 9g3qx3m7hj51
Bird, MEX, 9f7d0162-3d81-4608-b68b-ec7d2fbfeb20, 64, 8374, No update data, 9g3qx2zqftbk
Bird, MEX, 847e92aa-2285-46dd-97a3-47a02f8c7d70, 72, 9638, No update data, 9g3qx2zrc4pj
Bird, MEX, c431f7a5-da19-4f78-a306-5dd0ee2cefb8, 58, 7426, No update data, 9g3qx3m7q3h6
Bird, MEX, 357e4ade-1115-4dac-b0a4-763aab33019f, 27, 2672, No update data, 9g3qx374bjte
Bird, MEX, c00895ab-eda6-447c-9345-6f875a519610, 58, 7426, No update data, 9g3qx2zmpphn
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 100, 14062, No update data, 9g3qx3m7mq6g
Bird, MEX, f8de6e77-5c83-423d-8431-aeb1563116b6, 90, 13193, No update data, 9g3qx21pejqr
Bird, MEX, 93c3ece3-907c-44b1-8d1c-55fc05e173cd, 78, 10586, No update data, 9g3qx3m7smb4
Bird, MEX, 7dc39c91-c82a-44fd-b235-ee0218fa2317, 100, 14863, No update data, 9g3qx3m7w5zq
Bird, MEX, f712b988-7bc6-4373-b1d0-346b13a9410d, 60, 8183, No update data, 9g3qx34p748h
Bird, MEX, e047fd2a-760e-4417-bdc3-65aadfe6c5a1, 98, 13746, No update data, 9g3qx3m7wumb
Bird, MEX, 7386ef5e-28ac-4f32-9460-aa69d63f855c, 99, 14696, No update data, 9g3qx3m7wpp6
Bird, MEX, a6ec7624-a835-4b3c-bb4d-5f1743766fd1, 53, 6636, No update data, 9g3qx2xu4rf4
Bird, MEX, 17b00273-1775-4c1c-a0e1-3e160d6d5686, 97, 13588, No update data, 9g3qx22fu2s4
Bird, MEX, 3a78c7ca-866c-48a3-887b-4c3387f8ade5, 100, 14863, No update data, 9g3qx3medc7r
Bird, MEX, 64c89a2b-22af-4a9a-b521-8c2b5757eace, 65, 9018, No update data, 9g3qx2zt5vuz
Bird, MEX, 36050e49-f3ee-4d7b-be00-b3a166f10c05, 99, 13904, No update data, 9g3qx3ms2kgf
Bird, MEX, 161d182e-4a5d-4ae5-9ccb-995ade31df52, 60, 8183, No update data, 9g3qx21n1p4n
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 92, 12798, No update data, 9g3qx2zx405f
Bird, MEX, 3a5802a4-6a79-4a75-95e0-28b9e652f750, 66, 8690, No update data, 9g3qx2zbmkrz
