Bird, MEX, e64d2735-48a5-45c3-94dc-4c2ff1013e5f, 96, 13430, No update data, 9g3qx2e36sv1
Bird, MEX, 1500ca1e-de78-4a4b-a7ee-6f6c7a0a8106, 100, 14062, No update data, 9g3qx2ubnksr
Bird, MEX, ac1ee0f4-816d-44fa-9b99-fe5bfe58bf3d, 100, 14062, No update data, 9g3qx2ubnmh3
Bird, MEX, d049f895-0d84-4774-a5e0-76a1647851c7, 98, 14529, No update data, 9g3qx2e31znw
Bird, MEX, 7f0de6d1-2382-488a-ac86-70340e5c0ea8, 99, 13904, No update data, 9g3qx2tp8r7g
Bird, MEX, b3dc4e2e-4894-4f5c-9e27-aa9902c9ae73, 70, 9322, No update data, 9g3qx2uc20js
Bird, MEX, fc8ab31f-3af9-42b8-85b1-8007e820588a, 99, 14696, No update data, 9g3qx2tpbu5b
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 96, 13430, No update data, 9g3qx2tp9w7t
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 81, 11060, No update data, 9g3qx2gc36m6
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 100, 14062, No update data, 9g3qx2tpcq0q
Bird, MEX, 2f6b0e2c-75af-4132-8146-84af69366874, 100, 14062, No update data, 9g3qx2ucmkzc
Bird, MEX, 815c628d-b423-4476-af8a-3726877fc465, 98, 14529, No update data, 9g3qx27mhcr9
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 97, 13588, No update data, 9g3qx2ucvusk
Bird, MEX, 9055f54e-a46a-4c28-b31b-1255979d5c27, 100, 14863, No update data, 9g3qx27m33vr
Bird, MEX, 9eb9abf5-622f-4288-bd07-6a0d0452248c, 98, 14529, No update data, 9g3qx27kc0fh
Bird, MEX, 1d86afa4-383a-45e2-8c5e-f9678c85210e, 99, 14696, No update data, 9g3qx27jndfe
Bird, MEX, 46b1036f-ca95-43c6-8e82-9fe9caac963f, 93, 13694, No update data, 9g3qx2ttm5hx
Bird, MEX, 7b8e74ac-74f6-4e34-a049-34ba30abb3d3, 99, 14696, No update data, 9g3qx2tszhun
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 60, 8183, No update data, 9g3qx2mzt9y0
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 82, 11218, No update data, 9g3qx2gh9g8s
Bird, MEX, 3086435f-ae03-434a-ad60-daf1437a61f0, 18, 1169, No update data, 9g3qx25nh28j
Bird, MEX, d0639104-ca83-4c41-a068-1d36fb5a1c88, 67, 8848, No update data, 9g3qx2w6dv5m
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 70, 9322, No update data, 9g3qx269ft84
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 97, 13588, No update data, 9g3qx2dq1r0q
