Bird, MEX, 243af18e-6d68-456f-9d62-eb6dd520ebca, 31, 3340, No update data, 9g3qx2sg6z73
Bird, MEX, d308ca5c-7455-4cc8-ad56-09a60542c05d, 79, 11356, No update data, 9g3qx2kqrg4r
Bird, MEX, 25dbcec0-fb77-408b-b568-c19bb6a808ef, 24, 2171, No update data, 9g3qx2sfsq05
Bird, MEX, 47f0d924-7846-4d93-a61b-3c44a7e54863, 52, 6478, No update data, 9g3qx2snyxz8
Bird, MEX, 2f578472-a2d3-4ee7-9b00-c7681b6e85e4, 90, 13193, No update data, 9g3qx2evek72
Bird, MEX, a07c6ff7-982e-4c28-bf48-499566204142, 64, 8374, No update data, 9g3qx2sfq7hr
Bird, MEX, 1edc14f4-cf94-4897-bfb9-47f191848d2a, 21, 1670, No update data, 9g3qx2sx1rjq
Bird, MEX, cad239fa-6783-4e47-b40b-9e95d52808cc, 62, 8517, No update data, 9g3qx2sgp4hp
Bird, MEX, b777a4a2-2110-4040-8f5b-836f5180ded9, 52, 6847, No update data, 9g3qx2sfpyfk
Bird, MEX, f12b4e8b-e94a-4655-81b7-bdfb9f20ea13, 82, 11857, No update data, 9g3qx2t4vfkq
Bird, MEX, 1dec106c-6eac-4053-bfa4-667dd6396571, 73, 10354, No update data, 9g3qx2t5mtwp
Bird, MEX, cbc7696d-3097-48eb-99de-889180d85987, 87, 12692, No update data, 9g3qx2syzup2
Bird, MEX, aaf2b30c-7b63-44a4-a17e-e2dfb1901277, 76, 10855, No update data, 9g3qx2e3kngn
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 88, 12859, No update data, 9g3qx2szrshj
Bird, MEX, 0820912d-7d79-4f1b-b7d8-f42d23101d0b, 89, 13026, No update data, 9g3qx2tnccwc
Bird, MEX, fc2dd20f-88c7-453e-8078-97a1746aa1c5, 96, 13430, No update data, 9g3qx2e3700k
Bird, MEX, a1549476-ad52-4c2a-9eea-bee236884d80, 90, 13193, No update data, 9g3qx2e3f981
Bird, MEX, 4f058be0-47d0-409f-a1fe-a34b260c43f9, 26, 2505, No update data, 9g3qx2t5zcd3
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 97, 13588, No update data, 9g3qx2tnep8m
Bird, MEX, f5f4e424-0b10-4503-9a90-3719bfa0ac5b, 75, 10688, No update data, 9g3qx2tp397s
Bird, MEX, 98895cfb-4582-4de2-8591-bbf909d3a2ad, 97, 13588, No update data, 9g3qx2e33ybw
Bird, MEX, 65cff338-d0cf-40d3-8193-b1358655873e, 87, 12692, No update data, 9g3qx2tp6kcc
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 87, 12692, No update data, 9g3qx2tph8ke
Bird, MEX, 733f9052-a32c-42d4-a7ae-38ad3a95d349, 54, 7181, No update data, 9g3qx2tmg4y8
Bird, MEX, 29c083a7-f712-4ba9-83b0-f9e4afda5d3e, 51, 6320, No update data, 9g3qx2kfdem1
