Bird, MEX, a1549476-ad52-4c2a-9eea-bee236884d80, 89, 13026, No update data, 9g3qx2e3sy17
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 96, 13430, No update data, 9g3qx2ub3gnz
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 88, 12859, No update data, 9g3qx2szw96w
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 87, 12692, No update data, 9g3qx2szvuh2
Bird, MEX, 4f058be0-47d0-409f-a1fe-a34b260c43f9, 25, 2338, No update data, 9g3qx2thqytv
Bird, MEX, 98895cfb-4582-4de2-8591-bbf909d3a2ad, 96, 13430, No update data, 9g3qx2e3ddmh
Bird, MEX, fc2dd20f-88c7-453e-8078-97a1746aa1c5, 94, 13114, No update data, 9g3qx2e38w8x
Bird, MEX, 0820912d-7d79-4f1b-b7d8-f42d23101d0b, 88, 12859, No update data, 9g3qx2tpssus
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 89, 12324, No update data, 9g3qx2t6q03q
Bird, MEX, 1b006312-8ffc-4f33-b969-2c69179abdc8, 85, 12358, No update data, 9g3qx27m5p82
Bird, MEX, 29c083a7-f712-4ba9-83b0-f9e4afda5d3e, 49, 6004, No update data, 9g3qx2kfexrg
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 97, 13588, No update data, 9g3qx2k3d15s
Bird, MEX, 149dd0ac-2f3d-491f-ad55-a4b235ee891c, 65, 8532, No update data, 9g3qx2m4t4ks
Bird, MEX, 743c80d5-fba2-4ed4-aab8-afc4538aed68, 19, 1336, No update data, 9g3qx2kbv0us
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 54, 7181, No update data, 9g3qx2m11bnc
Bird, MEX, b8f85bba-abd3-4423-84bd-6c616112441e, 54, 7181, No update data, 9g3qx2tsxzr7
Bird, MEX, 2a1215a9-d580-4b85-9d7a-e316109f7931, 48, 6179, No update data, 9g3qx2kbjhks
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 58, 7849, No update data, 9g3qx2tu9rtm
Bird, MEX, 97416225-82ba-4ca0-b7e4-8e1e5a01b91b, 33, 3674, No update data, 9g3qx2tu9w5e
Bird, MEX, 5d85c395-a2c3-4e49-9414-4f68f23bfb2e, 89, 13026, No update data, 9g3qx2tv12j3
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 81, 11690, No update data, 9g3qx2tuceew
Bird, MEX, 733f9052-a32c-42d4-a7ae-38ad3a95d349, 53, 7014, No update data, 9g3qx2tv1gb9
Bird, MEX, e8db8f59-70ca-45ef-88e2-e4d59b4bcff0, 89, 13026, No update data, 9g3qx2tufngf
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 90, 13193, No update data, 9g3qx2tudd8n
Bird, MEX, d1e108d5-cf6a-4543-80d4-f2171d5a2f1f, 18, 1169, No update data, 9g3qx2tu6z73
Bird, MEX, 96770806-a4c7-483d-b7b1-7d23756afd0f, 62, 8517, No update data, 9g3qx2tu700k
Bird, MEX, 358fb73e-562f-4f49-afc7-f4d2c743030c, 52, 6478, No update data, 9g3qx2hw01vt
Bird, MEX, 949ac7e9-2e36-439e-a0e3-f76b8cf9bf10, 88, 12166, No update data, 9g3qx26tg7ks
Bird, MEX, d366cbe4-e659-4867-ac04-497b4e24f700, 91, 12640, No update data, 9g3qx2vch225
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 51, 6320, No update data, 9g3qx2hh835u
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 67, 6608, No update data, 9g3qx2h5uv1r
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 74, 10521, No update data, 9g3qx2h5uuzt
