Bird, MEX, 992d97e2-e06c-4e9c-9471-13f59b001fa5, 93, 13694, No update data, 9g3qx2sg0m5b
Bird, MEX, e38c2125-b1e0-49b3-bfb1-e7b2975ecccd, 85, 12358, No update data, 9g3qx2snpeu1
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 93, 13694, No update data, 9g3qx2snm0hs
Bird, MEX, 4bac2951-8d5f-41d0-88f1-f6c4ebcc31f2, 89, 13026, No update data, 9g3qx2snkf12
Bird, MEX, d9cea50f-4912-47c9-89f0-48718c7de449, 98, 13746, No update data, 9g3qx2sq84jd
Bird, MEX, a96f6f78-c63e-4574-beed-4e618ea75ed8, 96, 14195, No update data, 9g3qx2snt24y
Bird, MEX, b55458eb-87bb-44bd-9d2b-2b7d14aa06ff, 92, 13527, No update data, 9g3qx2snsgrd
Bird, MEX, 022770ae-632c-4fb6-9405-12d3167b5b0b, 100, 14863, No update data, 9g3qx2snefku
Bird, MEX, 5d1de4ea-eae3-41f0-a209-14bb63d0c4f5, 92, 13527, No update data, 9g3qx2sr03gv
Bird, MEX, cc62ef2f-e3b8-447f-bb06-c68a77a7b658, 100, 14062, No update data, 9g3qx2swcvqb
Bird, MEX, bb70570a-f1c0-4690-b470-db4547318a38, 97, 14362, No update data, 9g3qx2eyzu66
Bird, MEX, 779399b6-697d-4333-a6c4-6ce85a97e097, 69, 9164, No update data, 9g3qx2suwqkm
Bird, MEX, 13895622-1b6a-44d9-9060-a2e6edadecde, 54, 7181, No update data, 9g3qx2ktky9k
Bird, MEX, 9f8d911d-653a-4a9f-90ab-3857492b38f3, 26, 2370, No update data, 9g3qx2khpy62
Bird, MEX, 2cfeb2bd-0171-4d70-945a-110ad85f9343, 79, 10744, No update data, 9g3qx2ku9c0s
Bird, MEX, 8d798531-3b24-487d-887a-dd33c5d49575, 87, 12008, No update data, 9g3qx2kuuvzs
Bird, MEX, 80e3f1ae-a5fd-4965-95da-36ab61ba45f9, 97, 14362, No update data, 9g3qx2ubnjxk
Bird, MEX, 6a306aa7-5d9f-43b5-8b9f-3919d88d8838, 98, 14529, No update data, 9g3qx2ubp214
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 49, 6004, No update data, 9g3qx27mzff2
Bird, MEX, d7344496-c5ab-4eb8-970c-a698a2e981a4, 93, 13694, No update data, 9g3qx2e2ch64
Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 54, 7181, No update data, 9g3qx2kg9vb9
Bird, MEX, 572d06a9-c198-4807-9f4b-179314d10171, 85, 12358, No update data, 9g3qx2v06p7c
Bird, MEX, 3b129dc4-b82a-4ac4-bec6-72d5f4ab70e1, 100, 14062, No update data, 9g3qx2v0c383
Bird, MEX, 6721938c-484b-4324-9701-02c790c92917, 100, 14062, No update data, 9g3qx2v0h8hd
