Bird, MEX, f5fb0a5c-ee64-40c5-bf8b-c56568612c0d, 96, 13430, No update data, 9g3qx2egq9rs
Bird, MEX, 2df3e21e-4194-45ec-8be8-4f6a66e041d9, 92, 12798, No update data, 9g3qx2qzvce0
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 64, 8374, No update data, 9g3qx2qvrydk
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 91, 12640, No update data, 9g3qx3413r23
Bird, MEX, 6b0e5829-be4a-4f30-af83-99b85f38ff05, 85, 12358, No update data, 9g3qx21xn8dt
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 75, 10112, No update data, 9g3qx35pd61g
Bird, MEX, ec1d0e0f-7fb4-4e3d-aa31-4c23b4b20037, 51, 6320, No update data, 9g3qx236nkkk
Bird, MEX, 3b0d6ca0-1546-4c2d-b971-e00efb5f7854, 99, 13904, No update data, 9g3qx21wuvpx
Bird, MEX, b90794eb-6196-450f-aaaf-49dccc979004, 97, 13588, No update data, 9g3qx21wg8zu
Bird, MEX, b0adf57c-8fd2-4534-a612-622c5b37ff1d, 93, 12956, No update data, 9g3qx21w9fbr
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 78, 11189, No update data, 9g3qx2c70pjq
Bird, MEX, fa53a616-6a8d-4d79-b4c9-1f43d0eed520, 62, 8058, No update data, 9g3qx231euhz
Bird, MEX, e6e9d376-0d85-41a0-9ea7-24bf4839d06e, 97, 13588, No update data, 9g3qx21m7zkb
Bird, MEX, a45e2376-bae6-464e-93fc-54f587107b5e, 97, 13588, No update data, 9g3qx21mdug5
Bird, MEX, f52a5c20-9534-4b6b-9977-960565530724, 96, 13430, No update data, 9g3qx21mdwmj
Bird, MEX, 949d8f03-5358-4cd0-8106-8da54671acf2, 100, 14062, No update data, 9g3qx3m7j2ru
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 88, 12166, No update data, 9g3qx3kkdq3y
Bird, MEX, 84830ec9-5ec0-4605-a8c5-89a6252a7adb, 53, 6636, No update data, 9g3qx375qkhq
Bird, MEX, e87b5469-7088-4ac1-92ce-b51a22630b34, 81, 11690, No update data, 9g3qx21pjhsw
Bird, MEX, 5982cac0-e0b8-4231-8ee4-86474a7811f2, 42, 4898, No update data, 9g3qx22fqy8s
Bird, MEX, b680b057-2017-4e72-b1cd-70f21da227aa, 80, 11523, No update data, 9g3qx21nukq4
Bird, MEX, 0568f6fb-efb5-48dd-b894-72fe239d76de, 79, 11356, No update data, 9g3qx22fmrzs
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 82, 11857, No update data, 9g3qx21ns454
Bird, MEX, 2c24ef04-c72e-4771-91df-64c3ca6764e0, 44, 5214, No update data, 9g3qx2zeuycd
Bird, MEX, 60e2f2df-cb62-4dcb-8f26-40e62e79a603, 97, 13588, No update data, 9g3qx3mecset
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 53, 7014, No update data, 9g3qx2rv750r
Bird, MEX, ad17e38f-5274-4ccc-9cc8-af59fb2259a3, 55, 6952, No update data, 9g3qx21jdcg0
Bird, MEX, 76b33107-73be-4f8b-827b-bcd500e6c399, 63, 8684, No update data, 9g3qx2p76wbq
Bird, MEX, 925c3025-7d0f-4168-b8fa-1cbc41755108, 97, 13588, No update data, 9g3qx21hmmdy
Bird, MEX, c56ab160-9828-4893-9cb1-3fa1377d1c4d, 75, 10112, No update data, 9g3qx3nxgbsg
Bird, MEX, ff253764-0512-44ba-84eb-299d2b6d5486, 83, 11376, No update data, 9g3qx2rgffg2
Bird, MEX, 69cfb6d8-4ba4-4787-bce5-8d1044419b2e, 97, 13588, No update data, 9g3qx215w6h3
Bird, MEX, 861c07fd-decc-4074-b44b-ab03043f53de, 73, 10354, No update data, 9g3qx288dwj5
Bird, MEX, af48628c-766b-4a54-a1c1-aedd536da45c, 53, 6636, No update data, 9g3qx2b9wnrm
Bird, MEX, 77b387e7-34e2-4361-b5b0-a6b3133f5033, 85, 11692, No update data, 9g3qx2ps2ez5
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 82, 11218, No update data, 9g3qx3msxs3y
Bird, MEX, c91a6749-08ea-4725-95a1-c88f5990f84b, 65, 8532, No update data, 9g3qx2rvry6d
Bird, MEX, 7938bcbf-3f99-4876-be5e-cfb6d0058966, 17, 948, No update data, 9g3qx36skbc3
Bird, MEX, 3af74e51-7702-4863-b83a-51c38cc17f5f, 20, 1422, No update data, 9g3qx2b82hv3
Bird, MEX, 0fd2791d-2ffa-48ca-9290-a33a9edcd40b, 79, 11356, No update data, 9g3qx2zym2fb
Bird, MEX, f0982130-03fa-476d-97a1-1c1c5c659b6e, 34, 3841, No update data, 9g3qx2zymkfc
Bird, MEX, 22cb30b7-5bc8-448f-b361-69e5943164fc, 48, 5846, No update data, 9g3qx22mknxu
Bird, MEX, 410e13ab-e57d-4b47-a4dd-4ac6db2e8a7e, 69, 9164, No update data, 9g3qx3pedw2q
Bird, MEX, c3e1e665-6178-4a21-ab4d-539424c11b44, 52, 6478, No update data, 9g3qx2b2f29g
Bird, MEX, df2e5308-5e31-4b34-b964-62f213350020, 58, 7849, No update data, 9g3qx2b3cvwd
Bird, MEX, e97f74a1-de94-4461-94d5-d43b95525042, 46, 5845, No update data, 9g3qx20qs04y
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 49, 6004, No update data, 9g3qx804dm6p
Bird, MEX, 52b767a2-7ed4-4ad7-940f-481e67ea07c2, 53, 7014, No update data, 9g3qx2bq8jv6
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 73, 9796, No update data, 9g3qrr9yvuk1
Bird, MEX, 2a0c1a29-0f54-4076-a232-67f14d26d4e8, 96, 13430, No update data, 9g3qx208ge1d
Bird, MEX, 1fb7926b-f073-4a93-ae0b-7c7cd3e56563, 43, 5056, No update data, 9g3qx3pupqzm
Bird, MEX, e64d2735-48a5-45c3-94dc-4c2ff1013e5f, 54, 6794, No update data, 9g3qrrz7mk6y
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 82, 11857, No update data, 9g3qx20m1n60
Bird, MEX, 62ded579-2534-498f-a618-04d9ecd6e79c, 72, 10187, No update data, 9g3qrr9yqumy
Bird, MEX, b501171b-28ae-4bed-bb62-142201feab2e, 76, 10855, No update data, 9g3qx20ntt2z
Bird, MEX, 9c9db50a-42fb-4bf9-96c0-8aebdd3bedf4, 81, 11690, No update data, 9g3qx20jx7bv
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 80, 11523, No update data, 9g3qx20hz5ey
Bird, MEX, 8f412a8e-3b16-4856-a4c2-e354b6ab1962, 79, 11356, No update data, 9g3qx20hz28f
Bird, MEX, 8977d9be-30fc-4606-a61e-1c412e2de912, 42, 5177, No update data, 9g3qx208225e
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 67, 8848, No update data, 9g3qrrd7g7st
Bird, MEX, f20e7fe1-e8ca-4594-a007-a6e2facdef22, 98, 13746, No update data, 9g3qrrwysy1d
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 67, 9352, No update data, 9g3qrrbwfs21
Bird, MEX, 6c549b73-9cf7-4f92-9b70-33dcb082f195, 79, 10744, No update data, 9g3qx3ehn4zk
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 64, 8851, No update data, 9g3qx33zcbws
Bird, MEX, 77e96044-a35d-4ba6-8e4f-8d6d15cdbbf2, 100, 14062, No update data, 9g3qx3ehr62f
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 98, 13746, No update data, 9g3qx3ehq3sr
Bird, MEX, 0d7bd0bc-b745-49c8-84e9-7c6bb4e5499a, 99, 13904, No update data, 9g3qx3ehwdpe
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 82, 11857, No update data, 9g3qx908cpf2
Bird, MEX, 74a49725-ba91-4939-b772-7771130ff79c, 82, 11857, No update data, 9g3qx8bxg5ne
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 83, 12024, No update data, 9g3qx8bxgk59
Bird, MEX, 0d7abfa5-772c-4777-9d09-3e5ff1a2d53e, 48, 5846, No update data, 9g3qx908cc89
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 52, 6847, No update data, 9g3qrr9tnwfe
Bird, MEX, 930de736-a2a0-4a9f-9f8e-4bf77d92e5de, 84, 12191, No update data, 9g3qx8bxj9n0
Bird, MEX, 7a33a638-3bfb-4c91-86d5-3fde981c6c15, 45, 5372, No update data, 9g3qx88ynwfu
Bird, MEX, c09cb697-24bb-4bfc-9f67-215dc3e32a5a, 98, 13746, No update data, 9g3qrrxjfq4j
Bird, MEX, af76ba49-496c-44bc-b376-98e6acf3e953, 89, 12324, No update data, 9g3qrrkzrurq
Bird, MEX, 1a05c7bc-85b1-47d8-a9d7-7c09c151bef5, 83, 12024, No update data, 9g3qx90d2sbc
Bird, MEX, c6dcdab6-73f4-4b79-88e2-842c95d3fbb6, 53, 6636, No update data, 9g3qrrmretzb
Bird, MEX, 7d22917c-d40f-4342-a4eb-daca6930f962, 49, 6004, No update data, 9g3qx0zd7wzz
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 48, 5846, No update data, 9g3qx0rt1bbr
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 94, 13114, No update data, 9g3qx3ez50qs
Bird, MEX, b7da4bac-c45b-467b-8875-944cfa0d5cf7, 46, 5845, No update data, 9g3qx32u14d4
Bird, MEX, 64b3f753-f2df-4c32-bdc9-d73967e8a883, 96, 13430, No update data, 9g3qx0pfgnqr
Bird, MEX, 1e922d89-3ef6-458e-8c75-5a8ba2981876, 66, 8690, No update data, 9g3qrrkv8tbb
Bird, MEX, f5b148fc-11ff-48a7-99fc-c6c63a8b44d3, 97, 13588, No update data, 9g3qx0pffm1z
Bird, MEX, e5da55e7-c68c-4983-82b6-f87460212221, 61, 7900, No update data, 9g3qrrw9u9e2
Bird, MEX, 645c34c5-6cc3-4d9e-a9f6-9961b91a9235, 49, 6004, No update data, 9g3qx90cdv5q
Bird, MEX, 17f91276-8524-431c-b478-9198392beca0, 78, 10586, No update data, 9g3qx1p9nqk3
Bird, MEX, cf9a59ae-0b6f-4cbc-bab9-84fcdef1d98f, 43, 5056, No update data, 9g3qrr6quzxw
Bird, MEX, 3aacb205-34e8-45ad-b9ff-d9024b6f5a12, 85, 11692, No update data, 9g3qrrmht48e
Bird, MEX, 738d5115-ba36-47f5-b9b5-e614f546d397, 72, 9638, No update data, 9g3qrrmh7hy8
Bird, MEX, 10cc64c2-a551-4a15-ab0b-56f0722cceb4, 100, 14062, No update data, 9g3qx92h9yyb
Bird, MEX, 7867c507-5041-4675-a9b1-bd50db64fb08, 36, 4175, No update data, 9g3qrr6w488h
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 100, 14062, No update data, 9g3qx92hjjkg
Bird, MEX, 769dcc13-d4ef-49ed-a5e3-5a6bec6eb371, 51, 6320, No update data, 9g3qrxb0sfzz
Bird, MEX, a6661cdd-872e-4cad-903d-31d58a677b88, 85, 12358, No update data, 9g3qx0pe21tm
Bird, MEX, d475b96f-22fb-4678-8a49-115a1f90b91d, 43, 5056, No update data, 9g3qrr7hngmv
Bird, MEX, 602f512f-30a2-4dd8-bf9a-80f233f1967e, 67, 8848, No update data, 9g3qx89rx79h
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 79, 11356, No update data, 9g3qx0pd0tnb
Bird, MEX, 1acc514a-0d93-49eb-9c80-3c88c0832dae, 48, 5846, No update data, 9g3qrrmebpms
Bird, MEX, 2c7105f0-36c6-4cf8-9c46-fab867e41321, 94, 13861, No update data, 9g3qx0p6wdfr
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 98, 13746, No update data, 9g3qrxb200md
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 48, 5846, No update data, 9g3qrr8gpkp4
Bird, MEX, 2d8e803d-27e4-4d51-b2ee-7a081954ceac, 28, 2686, No update data, 9g3qrr9816vr
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 65, 9018, No update data, 9g3qx0p3q9dm
Bird, MEX, 29383517-4a29-4d25-b7b8-f3216a0cfa05, 81, 11690, No update data, 9g3qx0p80hmk
Bird, MEX, 7a3f577b-9bdb-4cfd-84f8-006066f1c4eb, 66, 9185, No update data, 9g3qx1p640ku
Bird, MEX, 2914db63-dbe1-4143-928e-96730fdf5e61, 80, 11523, No update data, 9g3qx0p3jcuh
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 75, 10112, No update data, 9g3qrrkcvqpu
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 98, 13746, No update data, 9g3qrx8r47xq
Bird, MEX, 97b2ff0a-ff49-46bc-9963-48bcd701be29, 79, 11356, No update data, 9g3qx0pnd4ku
Bird, MEX, 4f72794a-0bbf-4d61-85c8-50052f42ea5d, 90, 12482, No update data, 9g3qrrkc6r9c
Bird, MEX, 570e8461-10b8-4a9a-9049-88634ca8c0f4, 80, 11523, No update data, 9g3qx0p25uks
Bird, MEX, a8b4e8fa-949a-44bb-a931-45aeeb79e9ab, 71, 10020, No update data, 9g3qx389sgzx
Bird, MEX, b9b89564-4827-4f4b-b1f8-635baf4aa9ba, 71, 9480, No update data, 9g3qrr7buxsq
Bird, MEX, 1ce98f73-4878-4d2c-a936-196ae5d81a9f, 70, 9853, No update data, 9g3qx8cw50ww
Bird, MEX, 31558ca0-2e43-47d0-8160-1c14fb6dc66a, 84, 11534, No update data, 9g3qx0ph4mrf
Bird, MEX, c3d11bc0-0e20-4972-82ae-748b227de5e9, 31, 3340, No update data, 9g3qx3gk417d
Bird, MEX, e40ef042-30c0-495d-89b3-91aaf3ecfa9e, 44, 5214, No update data, 9g3qrrkbw03r
Bird, MEX, aa023eb9-ca95-4a71-8040-a6e426028bec, 67, 9352, No update data, 9g3qrrk84tt5
Bird, MEX, e55a08a6-20e7-4f40-9eba-54aa58af367f, 63, 8684, No update data, 9g3qrrkbrhu0
Bird, MEX, dc99eada-5884-458f-ae1f-51ded159fd29, 71, 10020, No update data, 9g3qrrkbr4uh
Bird, MEX, 867ca35b-befa-4310-ae76-54c25d56f7a1, 94, 13114, No update data, 9g3qrrkbhrnm
Bird, MEX, e7c48c3f-4dc1-422f-9486-9c4f83025dbf, 42, 4898, No update data, 9g3qrrk8p4u1
Bird, MEX, 3b06a00e-1530-498f-9621-456dd5ac1bc8, 96, 13430, No update data, 9g3qrrkbnnx3
Bird, MEX, 87000355-0673-4d6e-b9ea-f82fc71d6b7b, 51, 6320, No update data, 9g3qx3f6yujc
Bird, MEX, aaff40ed-398a-426e-9f80-9120ff8ab765, 48, 5846, No update data, 9g3qx3fe1gyd
Bird, MEX, 8849aa91-a903-43ab-9a44-fcd9b380e17c, 92, 12798, No update data, 9g3qrrkbhds8
Bird, MEX, 5505f22b-36c8-4970-b43f-24db0af53137, 96, 13430, No update data, 9g3qx0p1d4hc
Bird, MEX, cf88cd23-8151-4311-a96b-121cac0c6c08, 66, 8690, No update data, 9g3qrr3sm66b
Bird, MEX, 2699444f-acb5-4df9-a540-85c9781e06f5, 94, 13114, No update data, 9g3qrr5zs9h7
Bird, MEX, b1dd0b14-3c0f-4a61-ad73-f8d69412c114, 91, 12640, No update data, 9g3qrrq1ddj1
Bird, MEX, d7b2d89f-ad12-48e4-a089-0e9bf1d9031d, 84, 11534, No update data, 9g3qrrhpnhxm
Bird, MEX, adf6fe80-3821-46ff-a65a-886991c1695c, 71, 9480, No update data, 9g3qrr637hqq
Bird, MEX, b7d1f6af-f51b-45bc-99bb-0fba874a5908, 51, 6320, No update data, 9g3qrr5wzeup
Bird, MEX, 3583450c-8a32-4bd9-864b-fe415aea1999, 89, 12324, No update data, 9g3qrr3ejwvg
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 57, 7268, No update data, 9g3qrrqfw6ux
Bird, MEX, 3362494e-66f7-49eb-9ea7-fb53aceb8f68, 79, 10744, No update data, 9g3qrx83ty7h
Bird, MEX, 01414c5a-cb2f-43d0-8a91-a5ede3d956f9, 52, 6478, No update data, 9g3qrrrvftt1
Bird, MEX, b0c24147-9c95-4156-981a-e20985cd2f42, 42, 4898, No update data, 9g3qx91v8pjf
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 99, 13904, No update data, 9g3qrr4vyxxw
Bird, MEX, def03c08-e7bb-4a99-bb92-7abf37422973, 36, 4175, No update data, 9g3qrr5uzjhn
Bird, MEX, 4e0d4e25-44b1-4a18-8901-1bef882decf2, 81, 11060, No update data, 9g3qx86r5rgd
Bird, MEX, e0adc752-d66d-485c-9425-ad051ab394ae, 33, 3476, No update data, 9g3qrr2rcgn9
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 94, 13114, No update data, 9g3qrr4vy13p
Bird, MEX, 9fceae10-e9a1-4eab-9e57-028e86b8dbba, 54, 7181, No update data, 9g3qx91vf261
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 60, 8183, No update data, 9g3qx91vet1y
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 97, 13588, No update data, 9g3qrr4vdkcf
Bird, MEX, e555ab1e-4445-4901-9924-33d8492f32be, 72, 10187, No update data, 9g3qrr4v995e
Bird, MEX, 061c9ba7-0227-470d-9848-2d701ea7bb94, 91, 12640, No update data, 9g3qx91yh07k
Bird, MEX, 46f58cb6-2ddd-48a0-8590-f6e0fdb5efbe, 51, 6680, No update data, 9g3qrr38en8n
Bird, MEX, 3d0eb1e0-af04-4000-a55b-51f7b43ea66a, 49, 6346, No update data, 9g3qrr4vhts7
Bird, MEX, ecff9f23-7ed5-4e76-a434-43637322371f, 89, 13026, No update data, 9g3qrrh5bp8w
Bird, MEX, cc58944d-c4ae-4255-8a3b-603faa1c98aa, 74, 9954, No update data, 9g3qx3z7835v
Bird, MEX, ac2e81c0-1dbd-459f-a5e4-ca412f3d971e, 62, 8058, No update data, 9g3qrr2u0hm7
Bird, MEX, 05ef896c-b89e-4d70-90ff-8c0612a92f93, 84, 11534, No update data, 9g3qrr4t7pnr
Bird, MEX, 81f5f335-0386-4888-820b-2265d5b16231, 97, 13588, No update data, 9g3qrpyu9dgr
Bird, MEX, 6ac743a3-c57d-4c1d-af18-edb4505a323a, 46, 5530, No update data, 9g3qx6jb0fk0
Bird, MEX, e359ab3a-46a1-479f-88a4-e572cd953963, 85, 11692, No update data, 9g3qrx9r5jn8
Bird, MEX, 647e893b-ad08-4ec0-8567-14ec5ff7ef11, 89, 12324, No update data, 9g3qrr4ubkeg
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 97, 13588, No update data, 9g3qx93c3bb8
Bird, MEX, 4e0879ca-63a2-4fcf-831b-6633d45e04a7, 48, 6179, No update data, 9g3qx866pekq
Bird, MEX, 56f84237-e7a7-4512-a7b3-f88d58fb221c, 91, 12640, No update data, 9g3qx0n2nzmx
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 96, 13430, No update data, 9g3qrx2x0wx1
Bird, MEX, 26671743-4f2e-4f74-b77a-58a4f2269f3b, 99, 13904, No update data, 9g3qx93c5pb7
Bird, MEX, 471cdfda-76c5-4984-b14c-2b1821fe52a1, 96, 13430, No update data, 9g3qx93ce00r
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 45, 5372, No update data, 9g3qrr1y6nee
Bird, MEX, 721e59a9-d26b-429a-b3ca-fecad8167953, 79, 10744, No update data, 9g3qrx2x1fwb
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 83, 11376, No update data, 9g3qrx2wb8x4
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 69, 9164, No update data, 9g3qrx2w9jrq
Bird, MEX, 155854f2-f087-4695-82ad-3b408edc11c1, 82, 11857, No update data, 9g3qrx9mv8q0
Bird, MEX, 0436e183-29e9-413c-b6b3-245dc8612aee, 73, 10354, No update data, 9g3qrpyqy53h
Bird, MEX, 608a257e-f160-4164-ae0e-c898d63721f6, 67, 8848, No update data, 9g3qrrj6cb0x
Bird, MEX, 3c362998-5cdb-491d-b95a-c7a1bfe30ab1, 52, 6847, No update data, 9g3qrr2dfnky
Bird, MEX, ed7cd53a-1ea3-4149-9619-64c7ced7cfcd, 47, 5688, No update data, 9g3qrpyqubxd
Bird, MEX, b32768e5-a9c6-4f84-8d1d-a5dbb3358e22, 60, 7742, No update data, 9g3qrx9khrb1
Bird, MEX, 6b6d2c1b-a616-47c2-a2c6-2365e91c72fe, 40, 4582, No update data, 9g3qrrjgpur7
Bird, MEX, 3c7f3825-9f15-44bf-b303-3ad49d87d60f, 72, 9638, No update data, 9g3qx0tg2ykg
Bird, MEX, 47228861-e8c3-49cc-98b4-75de03f0f164, 57, 7268, No update data, 9g3qrx9kjt85
Bird, MEX, 1626820a-103e-4368-8a48-7a78ef7dafc9, 66, 8690, No update data, 9g3qrx9knj33
Bird, MEX, 9e9b7885-7ffe-46dc-8570-7c8c1e53c27b, 81, 11060, No update data, 9g3qrr4h1nd1
