Bird, MEX, bf2193cc-dea5-48bd-97ab-b8ee99ed6f87, 93, 12956, No update data, 9g3qx25gyhzm
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 90, 13193, No update data, 9g3qx2y0p4u5
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 45, 5372, No update data, 9g3qx2dqby5y
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 92, 12798, No update data, 9g3qx2dr2t8x
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 51, 6680, No update data, 9g3qx2wr6y77
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 90, 13193, No update data, 9g3qx2y2508m
Bird, MEX, 10daae24-dd33-4d3d-8473-8dcfe850040a, 29, 3006, No update data, 9g3qx26hrbbt
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 78, 11189, No update data, 9g3qx2y2kurz
Bird, MEX, b762081f-13a9-4e84-9217-03e481d1a0cd, 100, 14062, No update data, 9g3qx265wh91
Bird, MEX, 0af7b98d-8e34-4ba9-adbe-098fbcbd0bad, 100, 14062, No update data, 9g3qx26hhbre
Bird, MEX, 23241c65-d956-44f7-a2b6-5797da3274c9, 98, 13746, No update data, 9g3qx265ukn0
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 100, 14062, No update data, 9g3qx265jemy
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx26hdzgr
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 49, 6004, No update data, 9g3qx2638rgx
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 90, 12482, No update data, 9g3qx264qubc
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 96, 13430, No update data, 9g3qx262hh7h
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 90, 13193, No update data, 9g3qx2yjqdzw
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 57, 7268, No update data, 9g3qx24rhds3
Bird, MEX, 84e563f6-c259-4665-be50-8ff8d96531ea, 76, 10855, No update data, 9g3qx3j9rskp
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 92, 12798, No update data, 9g3qx2620dnz
Bird, MEX, 23aa320d-6add-4133-adcc-529659490f3b, 91, 13360, No update data, 9g3qx2ym1eg9
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 100, 14062, No update data, 9g3qx34c37vk
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 100, 14062, No update data, 9g3qx349p28y
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 100, 14062, No update data, 9g3qx349qftu
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 99, 13904, No update data, 9g3qx349rh7z
Bird, MEX, 952eb472-e465-44b0-b521-10d99ac12b5a, 62, 8058, No update data, 9g3qx2qwrvrm
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 87, 12008, No update data, 9g3qx34ccs7e
Bird, MEX, e1bd83dc-c8ba-4ead-b6c3-faf05146ddac, 84, 12191, No update data, 9g3qx2nrkneh
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 100, 14062, No update data, 9g3qx349mjhe
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 88, 12166, No update data, 9g3qx2fr60g8
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 88, 12166, No update data, 9g3qx2fr6t8p
Bird, MEX, 6f84f04d-339c-4ccf-9c5b-825181fa849e, 84, 11534, No update data, 9g3qx29tqvtx
Bird, MEX, 32023f53-8c76-46da-b262-1fff9ec4ee30, 96, 14195, No update data, 9g3qx2frdk9f
Bird, MEX, 868f6e66-2df0-42a7-8734-9e6f0103ab2d, 83, 11376, No update data, 9g3qx2qver7e
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 81, 11060, No update data, 9g3qx340y1pr
Bird, MEX, 4f20f1b7-1fbb-4f31-b332-1706dfd875e2, 72, 10187, No update data, 9g3qx3jqhvzx
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 92, 12798, No update data, 9g3qx340vmfu
Bird, MEX, 230144db-cd18-492b-b0fa-61d76dc91f64, 34, 3841, No update data, 9g3qx2yv2t8z
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 56, 7515, No update data, 9g3qx341jrff
Bird, MEX, 13c89489-7216-43ff-90a5-d39d15414a4e, 98, 14529, No update data, 9g3qx2yfr6r6
Bird, MEX, ac81f291-d776-4565-8cb7-d063d1926edc, 96, 14195, No update data, 9g3qx2yfxq9p
Bird, MEX, 45c6c3de-0c1c-4f91-acb3-8d3b7df04b0a, 69, 9686, No update data, 9g3qx2ygy6ht
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 62, 8058, No update data, 9g3qx21y2u5v
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 33, 3674, No update data, 9g3qx21wyyv9
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 93, 12956, No update data, 9g3qx236rg4r
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 65, 8532, No update data, 9g3qx35p3kjq
Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 91, 13360, No update data, 9g3qx2z4s7bn
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 96, 13430, No update data, 9g3qx2z55buz
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 44, 5214, No update data, 9g3qx21wgchy
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 91, 13360, No update data, 9g3qx2z5q3ks
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 96, 13430, No update data, 9g3qx294k8kq
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 60, 8183, No update data, 9g3qx2c6dx8j
Bird, MEX, 84c58f67-767b-43d3-a648-1760f654ddf2, 42, 5177, No update data, 9g3qx3ne2ysj
Bird, MEX, c5c94c44-4769-4907-9ace-5f0ac2214ea4, 85, 12358, No update data, 9g3qx21t7vku
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 94, 13114, No update data, 9g3qx29453k9
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 55, 6952, No update data, 9g3qx2zhw1c2
