Bird, MEX, f074dee5-8696-4b71-b1cf-7f358aa7648f, 100, 14062, No update data, 9g3qx2snusk6
Bird, MEX, ac99795c-4079-4fef-a2a4-fe841484a1d9, 100, 14863, No update data, 9g3qx2ev1u8x
Bird, MEX, 1014a027-2e47-4bec-a360-2343a865e431, 100, 14863, No update data, 9g3qx2evd1g8
Bird, MEX, 334dce22-994c-4947-99df-84961b8ad3c7, 100, 14062, No update data, 9g3qx2evdn7t
Bird, MEX, dfdf996f-afff-4aae-bd79-277a0a748069, 45, 5372, No update data, 9g3qx2kt3z28
Bird, MEX, d964fcfa-6bc4-46a1-852a-ae21f9605e64, 79, 10744, No update data, 9g3qx2supqzh
Bird, MEX, 72e5c7fc-aafe-4af7-a8bd-2dab14198c40, 37, 4342, No update data, 9g3qx2kkfsm4
Bird, MEX, cb850067-912d-4ae7-baf7-7d78522c4075, 37, 4342, No update data, 9g3qx2e3pdu5
Bird, MEX, eeef1113-26dc-43c5-bbcd-2a5d00a65422, 84, 11534, No update data, 9g3qx2khntxs
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 39, 4424, No update data, 9g3qx2ks7d39
Bird, MEX, 777ef17c-8f23-4999-a4fc-a87c85badfaf, 76, 10270, No update data, 9g3qx2syzbfm
Bird, MEX, 9d7f8b2e-8151-4d21-8276-94dcaff17122, 84, 12191, No update data, 9g3qx2gb3fn8
Bird, MEX, a887ba12-e8d1-4f6d-902e-23547d0a99b7, 97, 13588, No update data, 9g3qx2e3g3ud
Bird, MEX, 7c79ce4c-e6ae-4973-ba0e-be05a5a8a146, 98, 13746, No update data, 9g3qx2e3erst
Bird, MEX, 7edee2b1-5d91-4537-8aa3-0ba495f41be5, 100, 14863, No update data, 9g3qx2tp0s2v
Bird, MEX, b8b56603-1f89-470b-b30b-82fd024d667e, 76, 10855, No update data, 9g3qx2t5z31p
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 100, 14863, No update data, 9g3qx2tp24j8
Bird, MEX, 75d857c7-321b-4a91-8aaa-13d402bc0160, 98, 13746, No update data, 9g3qx2e36kcc
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 100, 14863, No update data, 9g3qx2tp37jr
Bird, MEX, 5e9e163f-531a-42a2-96eb-1d041cb6ec0f, 97, 14362, No update data, 9g3qx2e39u28
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 74, 10521, No update data, 9g3qx2tpbhmd
Bird, MEX, 86fb843f-753c-478e-82b7-25f1a1ed63d4, 40, 4843, No update data, 9g3qx2keqpr2
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 99, 14696, No update data, 9g3qx2tnx79h
Bird, MEX, 676ea6db-4c6f-45ca-b25e-4bf867de4c67, 69, 9164, No update data, 9g3qx2kfcv8d
Bird, MEX, 536ba51c-6392-4b93-a7cf-cb7b242f713f, 84, 11534, No update data, 9g3qx2tmsq2j
Bird, MEX, d7caaaa5-e933-4847-91d0-1f8689c0c779, 93, 13694, No update data, 9g3qx27kjcuj
Bird, MEX, 40a2a766-b004-473f-882c-8f11369f90f4, 97, 14362, No update data, 9g3qx277v4u8
Bird, MEX, 91437326-50a5-4ba8-a8ad-3140909f11bf, 96, 14195, No update data, 9g3qx277u7n6
Bird, MEX, a6eb8114-a4d5-41be-94a7-a0867031bc0c, 74, 10521, No update data, 9g3qx277su93
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 98, 14529, No update data, 9g3qx277e1nk
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 28, 2839, No update data, 9g3qx2t9gt9d
Bird, MEX, 3e84f037-6dff-40ea-9bcc-160006d1c792, 42, 4898, No update data, 9g3qx2gegdc9
Bird, MEX, 2ec5d5ce-2fca-4260-bcb5-f59f66cf558c, 87, 12692, No update data, 9g3qx2tu2s0v
Bird, MEX, 27cea3f0-f8b9-4bbd-b155-904682c6d7e9, 65, 9018, No update data, 9g3qx2tu92jq
Bird, MEX, bb44b6ac-3ce6-4bc8-9ae7-9844f309588a, 78, 11189, No update data, 9g3qx2tudkcg
Bird, MEX, 29089756-bc29-4e84-83a3-83bbcb86ea70, 56, 7515, No update data, 9g3qx2tus68n
Bird, MEX, 63dc07bc-4457-4af4-ac8d-9685fea614ce, 97, 14362, No update data, 9g3qx2tusqwr
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 97, 13588, No update data, 9g3qx2tuv2fv
Bird, MEX, a5324893-9031-43c7-af54-fd5ed0ff7f3a, 97, 13588, No update data, 9g3qx2tutvu3
Bird, MEX, 918711a0-139b-4a6c-b897-6e34e57fb43f, 65, 8532, No update data, 9g3qx2hy2ygy
Bird, MEX, b79b987e-d2af-4ec5-a1d8-c098047ec0f4, 97, 13588, No update data, 9g3qx2tuwezw
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 38, 4509, No update data, 9g3qx2gh623y
Bird, MEX, 71056b3b-95c9-44ae-a2d3-433b81ea6318, 67, 9352, No update data, 9g3qx26th4e1
Bird, MEX, 53fb9905-002a-45fb-be1c-054644b917cc, 88, 12859, No update data, 9g3qx26sjusn
Bird, MEX, 1754852a-6bc5-41f6-9e61-6b78699471e0, 34, 3841, No update data, 9g3qx2hhe7gm
Bird, MEX, b1f6ce4a-5722-4800-bf0b-590b7aeda1ea, 48, 5846, No update data, 9g3qx26dqxdd
Bird, MEX, be3ae615-0613-4ad5-bd99-35075ee24d61, 69, 9164, No update data, 9g3qx2h7bt0z
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 66, 8690, No update data, 9g3qx2h5vvhr
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 48, 5846, No update data, 9g3qx2jjqqk6
Bird, MEX, e0a596a3-e210-4dce-863c-29a74008756c, 53, 7014, No update data, 9g3qx2wnvyhq
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 76, 10855, No update data, 9g3qx2h57qek
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 72, 10187, No update data, 9g3qx2h5r3zp
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 72, 10187, No update data, 9g3qx2h5m36g
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 56, 7515, No update data, 9g3qx25ju2yk
Bird, MEX, efb43539-990e-48b1-8be8-ee0de378c608, 52, 6478, No update data, 9g3qx25g81b8
Bird, MEX, 9ce7caf6-a241-45b8-b499-100224261917, 67, 9352, No update data, 9g3qx263yqu3
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 93, 13694, No update data, 9g3qx2wre9pu
Bird, MEX, 9d0c26d7-da5f-4782-9391-60668393b103, 76, 10855, No update data, 9g3qx2wrk600
Bird, MEX, 2dc58e40-8f4c-4092-93c7-8c7dbbdd30c6, 94, 13861, No update data, 9g3qx2wrs574
Bird, MEX, dbb90cc6-bbb2-42af-bf1b-61e2420a0a4a, 43, 5344, No update data, 9g3qx3j1xdh4
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 100, 14062, No update data, 9g3qx26hqumz
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 99, 14696, No update data, 9g3qx26jm8d5
Bird, MEX, cdacbe64-aa1e-46c7-acf8-dcce41717f21, 99, 14696, No update data, 9g3qx26jm8d5
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 100, 14863, No update data, 9g3qx26jm8d5
Bird, MEX, f3cc446b-8fcd-4676-b0fa-0cff546f3f60, 49, 6346, No update data, 9g3qx256vuuj
Bird, MEX, a6b5d096-e9bc-4484-aaf7-f18638ee9d0d, 84, 11534, No update data, 9g3qx3hfxr9j
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 99, 14696, No update data, 9g3qx26hjmdu
Bird, MEX, c8bcfb7d-1d1c-444e-8740-47810b5a00c2, 97, 13588, No update data, 9g3qx26hgykz
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 91, 12640, No update data, 9g3qx2660s2s
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 97, 14362, No update data, 9g3qx26hhkqh
Bird, MEX, 440e6447-1ab5-4578-8f99-5cf0564aa6cc, 55, 6952, No update data, 9g3qx26p2jje
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f1k2eq
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 94, 13861, No update data, 9g3qx26hdue3
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 96, 14195, No update data, 9g3qx26h54nr
Bird, MEX, e5466acb-8bf8-4120-8372-41ce212c195a, 92, 13527, No update data, 9g3qx2jvkh5j
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 58, 7426, No update data, 9g3qx2jvj6ff
Bird, MEX, 0c3b5bb2-5d31-4934-9871-aeae78a5d2fe, 55, 7348, No update data, 9g3qx2yd0dz5
Bird, MEX, e004eb82-a525-42cf-989b-e87a26a1c53a, 96, 14195, No update data, 9g3qx24pzg6k
Bird, MEX, 92c1b484-7e6b-458a-838c-070795ec1426, 47, 5688, No update data, 9g3qx2ydsq2j
Bird, MEX, 4b8125d9-7830-427f-8f6f-a808adc7ce2d, 49, 6346, No update data, 9g3qx3je7658
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 92, 12798, No update data, 9g3qx2fr16v7
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 92, 12798, No update data, 9g3qx2fr1pf4
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 39, 4424, No update data, 9g3qx2fr36bq
Bird, MEX, 02462fc6-5969-470d-b3b0-22f2becf8938, 36, 3950, No update data, 9g3qx260282t
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 93, 12956, No update data, 9g3qx2fr865d
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 74, 10521, No update data, 9g3qx2xjbvuh
Bird, MEX, 5c0c2710-6988-4724-83d3-75c0f4b4b4cf, 61, 7900, No update data, 9g3qx21zsm2p
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 71, 9480, No update data, 9g3qx2nxx5uj
Bird, MEX, 9064a702-4085-4953-abb0-7022f0b9ec19, 78, 11189, No update data, 9g3qx239e7se
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 43, 5056, No update data, 9g3qx238np1n
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 96, 14195, No update data, 9g3qx2ygyxz8
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 98, 14529, No update data, 9g3qx2yvhvpc
Bird, MEX, 6272fb39-002d-4f57-b1e0-93c9f2dd3029, 85, 12358, No update data, 9g3qx21xqquq
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 98, 14529, No update data, 9g3qx2yvm76b
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 99, 13904, No update data, 9g3qx21xnf8c
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 42, 4898, No update data, 9g3qx2cthz92
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 88, 12166, No update data, 9g3qx239bd2w
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 98, 13746, No update data, 9g3qx21xjzhn
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 90, 13193, No update data, 9g3qx2yvnef9
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 90, 12482, No update data, 9g3qx2392zgu
