Bird, MEX, a07c6ff7-982e-4c28-bf48-499566204142, 65, 8532, No update data, 9g3qx2sfmm6v
Bird, MEX, f12b4e8b-e94a-4655-81b7-bdfb9f20ea13, 84, 12191, No update data, 9g3qx2th1pd0
Bird, MEX, 1dec106c-6eac-4053-bfa4-667dd6396571, 75, 10688, No update data, 9g3qx2t54m1b
Bird, MEX, 030c4bfb-ff63-4c90-87ed-d1cacfa674bd, 87, 12692, No update data, 9g3qx2kkkr20
Bird, MEX, b6ff3ac9-dd61-46fc-83aa-7de3ec14297b, 76, 10855, No update data, 9g3qx2t5vuk6
Bird, MEX, 1886cb2a-167b-40b4-881e-ea943cf7c1bd, 76, 10855, No update data, 9g3qx2tn59ct
Bird, MEX, a1549476-ad52-4c2a-9eea-bee236884d80, 90, 13193, No update data, 9g3qx2e3dk3b
Bird, MEX, 98895cfb-4582-4de2-8591-bbf909d3a2ad, 97, 13588, No update data, 9g3qx2e3995s
Bird, MEX, aaf2b30c-7b63-44a4-a17e-e2dfb1901277, 78, 11189, No update data, 9g3qx2e31xe8
Bird, MEX, d739638c-0a53-47bf-9f5d-7c9a18c60e3f, 55, 6952, No update data, 9g3qx2e3978k
Bird, MEX, fc2dd20f-88c7-453e-8078-97a1746aa1c5, 97, 13588, No update data, 9g3qx2e332b2
Bird, MEX, 29c083a7-f712-4ba9-83b0-f9e4afda5d3e, 51, 6320, No update data, 9g3qx2kdg9py
Bird, MEX, 570b7d40-8841-45ad-9877-c7c033900879, 88, 12859, No update data, 9g3qx27q8v5v
Bird, MEX, 46585769-144c-492f-b99e-5a5a04dfbb7f, 89, 13026, No update data, 9g3qx27mhq20
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 90, 12482, No update data, 9g3qx2t7qdr9
Bird, MEX, 149dd0ac-2f3d-491f-ad55-a4b235ee891c, 66, 8690, No update data, 9g3qx2m51323
Bird, MEX, c560263c-4fef-43cd-8071-6e9596f36732, 69, 9686, No update data, 9g3qx2gurqxj
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 90, 13193, No update data, 9g3qx2trzeh4
