Bird, MEX, 48cec365-df7f-4173-aa61-23d247c30320, 24, 2171, No update data, 9g3qx2kbjjh8
Bird, MEX, 60e960c2-e3b4-4d4f-983f-59a3c2074e9d, 19, 1336, No update data, 9g3qx2tu946h
Bird, MEX, 0a4bd806-9ca2-4c07-b9d1-e80b79454dbe, 66, 9185, No update data, 9g3qx2tv0bh1
Bird, MEX, 733f9052-a32c-42d4-a7ae-38ad3a95d349, 57, 7682, No update data, 9g3qx2tuc3b7
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 63, 8684, No update data, 9g3qx2tu9rj3
Bird, MEX, 39e81cc9-7da9-49be-8842-e26a4dd0159c, 72, 10187, No update data, 9g3qx2tucdg8
Bird, MEX, 8cbb26b9-033b-4764-af04-f8363d263747, 66, 9185, No update data, 9g3qx2m03y2d
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 94, 13861, No update data, 9g3qx2tudhgg
Bird, MEX, 005090c2-ae9b-4915-a912-29e0883149b7, 57, 7682, No update data, 9g3qx2tucgwy
Bird, MEX, 5d85c395-a2c3-4e49-9414-4f68f23bfb2e, 93, 13694, No update data, 9g3qx2tudjgc
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 84, 12191, No update data, 9g3qx2tuf61v
Bird, MEX, 97416225-82ba-4ca0-b7e4-8e1e5a01b91b, 36, 4175, No update data, 9g3qx2tufmcu
Bird, MEX, 2a1215a9-d580-4b85-9d7a-e316109f7931, 54, 7181, No update data, 9g3qx2jpch64
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 60, 8183, No update data, 9g3qx2m0xqp7
Bird, MEX, 326ab3af-15e4-489a-aca2-2678fe848728, 92, 13527, No update data, 9g3qx2v8w43k
Bird, MEX, fa81d126-c04a-40e3-99cd-e99375d99453, 93, 9676, No update data, 9g3qx2tz8pj9
Bird, MEX, 74fac800-ff70-4475-ab6c-b6464be23ac0, 93, 13694, No update data, 9g3qx2tz8q7v
Bird, MEX, 65823530-8a00-4741-9674-7a98d49654ac, 91, 13360, No update data, 9g3qx2v8rhkp
Bird, MEX, dae3aac1-1138-403e-94d3-3d917ffc3545, 67, 9352, No update data, 9g3qx2md6pef
Bird, MEX, 0ab648e4-4bf4-4714-8d1d-1ee61e6138f5, 55, 7348, No update data, 9g3qx2hmcrmm
Bird, MEX, 88cc563a-b73c-4f6f-8a28-374e68a7f237, 87, 12008, No update data, 9g3qx3h8h28n
