Bird, MEX, 7e8b12e4-b322-48af-9d62-c6e4da0ce85b, 70, 9853, No update data, 9g3qrt814mx1
Bird, MEX, 0ac74488-a6d2-402b-9bed-691258b646cc, 74, 9954, No update data, 9g3qrm41u3n5
Bird, MEX, d120ebb2-5a80-49f8-a30d-7c276b94cd57, 94, 13114, No update data, 9g3qrm4xn9d8
Bird, MEX, f8a414bc-5da2-4e4d-889e-eadd65884365, 40, 4843, No update data, 9g3qrm4wubz9
Bird, MEX, f5faf0a5-07c1-4618-98f1-48fdfa0d7c9c, 96, 13430, No update data, 9g3qrm4wvwwn
Bird, MEX, 324c786d-0803-4442-a026-71e28b66974e, 83, 12024, No update data, 9g3qrms8sqq6
Bird, MEX, afb59a83-3b17-4a7c-a280-e310d22d2563, 93, 12956, No update data, 9g3qrm4wvmzb
Bird, MEX, 0ad0dec7-d888-44c3-acca-1b008ca3eb72, 89, 13026, No update data, 9g3qrms8eyhb
Bird, MEX, 561efd9c-aeff-4061-907f-9e8f1c644816, 72, 10187, No update data, 9g3qrk9ry0rr
Bird, MEX, b7e11fcd-cdd5-419b-b950-c455b55a5312, 93, 12956, No update data, 9g3qrm4xh7n1
Bird, MEX, 28d0c46c-fe16-42ca-85c8-f57c3387e102, 90, 13193, No update data, 9g3qrm4xth06
Bird, MEX, 71556188-762b-424d-9df8-c86034f57d69, 91, 13360, No update data, 9g3qrm4x4wv1
Bird, MEX, 0afa10d0-8b19-4fb1-b1e8-c1565f472a24, 91, 13360, No update data, 9g3qrm4x6g5k
Bird, MEX, 06627a5e-c928-43df-a095-b987bab096d8, 71, 10020, No update data, 9g3qrm4xdb57
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 92, 13527, No update data, 9g3qrm4x6k9y
Bird, MEX, e40d85b9-c741-469f-87af-6d33c0b171cc, 89, 12324, No update data, 9g3qrm4xdc77
Bird, MEX, a2a2f7b9-3d36-4633-a6af-4f8064ce2a3f, 92, 13527, No update data, 9g3qrm4xd9j1
Bird, MEX, 86669df8-1658-45b2-b1d1-60fccdefce3a, 91, 13360, No update data, 9g3qrm4x6jee
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 92, 13527, No update data, 9g3qrm4xde0n
Bird, MEX, 7387c5d5-d9de-4f2f-9a27-bd9f3e5c8bc4, 75, 10688, No update data, 9g3qrk1ht0sw
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 91, 12640, No update data, 9g3qrm7tfsjp
Bird, MEX, 6ea057df-80e6-4a8b-a710-faa96add2bc8, 92, 13527, No update data, 9g3qrm4xdk1u
Bird, MEX, 5f4a1c09-f4d6-4fdc-9615-259dd1f80049, 60, 8183, No update data, 9g3qrk1hsnrc
Bird, MEX, ed62f4cb-6abe-4e6e-b7e2-5cc10c418bb4, 81, 11690, No update data, 9g3qrkc6t34b
Bird, MEX, 9e734a02-7564-48fd-9bd7-33c4ca724f1b, 96, 13430, No update data, 9g3qrkc6k7wp
Bird, MEX, 22caa503-13ed-4cbf-bf49-1473b93307e4, 93, 13694, No update data, 9g3qrkc6kmq1
Bird, MEX, c70fc037-3e36-482b-82db-52eb01ffd9e5, 82, 11857, No update data, 9g3qrkc6ubz9
Bird, MEX, a7e76282-bcfe-41a3-aec6-f1519ac65f8a, 83, 12024, No update data, 9g3qrkc6k5rv
Bird, MEX, a2ebc520-c89b-4888-bc33-28789db55fff, 67, 8848, No update data, 9g3qrkc6s7y4
Bird, MEX, 0dcff1f0-b8cd-4e67-a7df-7b56b586c094, 93, 12956, No update data, 9g3qrkc6kje5
Bird, MEX, 1e704e80-36b8-4cd0-83ae-d3f972442ff2, 93, 12956, No update data, 9g3qrkc65xru
Bird, MEX, 6bf41bd1-23cb-4869-8543-9164cac0ea0c, 57, 7682, No update data, 9g3qrm7mseu6
Bird, MEX, 7d7f4d24-ecc0-41ca-8d49-d3a233c623bd, 79, 11356, No update data, 9g3qrkc6sjxv
Bird, MEX, 7435f1bd-2ccf-466d-8f45-18dcd5441cf4, 94, 13114, No update data, 9g3qrkc6efkb
Bird, MEX, f2a10a14-fb5c-4fc4-955c-0989f0b45096, 91, 12640, No update data, 9g3qrm7muc17
Bird, MEX, 2eb90a5c-662d-471f-b1f0-1658fec261b6, 100, 14062, No update data, 9g3qrkc67que
Bird, MEX, 0ab00b18-0385-48ae-8c6b-d6c9329d4eac, 54, 7181, No update data, 9g3qrk0zr3x1
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 98, 13746, No update data, 9g3qrkc6ftmn
Bird, MEX, 022c22a1-1858-4849-9b8c-916289397f49, 94, 13114, No update data, 9g3qrkc6cvns
Bird, MEX, 3c3d77b7-6300-4109-a8dc-a0535b985c6b, 93, 13694, No update data, 9g3qrkc69rt3
Bird, MEX, 3cac7336-10d6-4b60-aae3-3ec7d747f65e, 37, 4342, No update data, 9g3qrme8pss5
Bird, MEX, 760ddcd6-fe90-499e-95a8-8418cfc7ea0a, 72, 9638, No update data, 9g3qrm7q1yb9
Bird, MEX, d1716045-ef5a-42bd-a380-e9c5342668db, 25, 2338, No update data, 9g3qrmebgr52
Bird, MEX, 7a58b283-dedf-4938-b012-d9c6f831b3d8, 64, 8374, No update data, 9g3qrk2uex99
Bird, MEX, b3ca7cc5-4bd4-449f-a8b3-4cb826bd9ad0, 80, 11523, No update data, 9g3qrmxjt6dg
Bird, MEX, 1decc85f-3111-464b-a905-7df2d48cea28, 82, 11218, No update data, 9g3qrmxmbfsj
Bird, MEX, 83483caa-3886-470b-bed8-21cd2a8331ca, 54, 7181, No update data, 9g3qrt9497t9
Bird, MEX, 9dab06be-7f0f-40ce-9b35-930611fb8806, 49, 6346, No update data, 9g3qrkc54qcb
Bird, MEX, 15be52fe-337f-45c0-8100-15f7e9fb1f8f, 56, 7515, No update data, 9g3qr79r4wmj
