Bird, MEX, b9534c7e-d04c-444c-b38e-049669b81bd7, 81, 11060, No update data, 9g3qrjyfz60f
Bird, MEX, 1dd30c14-902d-400d-9a0e-e06c9a2591e8, 81, 11060, No update data, 9g3qrnqce9pf
Bird, MEX, b728f775-67c9-4126-9d34-f5705ee759e7, 51, 6320, No update data, 9g3qrnrbvetu
Bird, MEX, e6c4d263-4245-427e-9d85-6efe15b04482, 100, 14863, No update data, 9g3qrnrby2u6
Bird, MEX, 096dde0f-fb0b-4860-ae8e-7ed9f2f345f2, 99, 14696, No update data, 9g3qrnrbvxvz
Bird, MEX, 1cc4d66b-bfec-4132-9c55-5e7789d75aaa, 99, 14696, No update data, 9g3qrnrbyjc1
Bird, MEX, 62635893-5166-40ea-9213-9d2b196d9c7d, 56, 7515, No update data, 9g3qrnrbyn15
Bird, MEX, 1d402812-b543-4254-9189-e922bf6e997e, 84, 11534, No update data, 9g3qrnrbyrur
Bird, MEX, 2534be95-c004-44f7-812d-56eca2cf1b4f, 85, 12358, No update data, 9g3qrnrcp45v
Bird, MEX, 2650d842-0a65-41f7-9cde-786c4e54ee48, 74, 10521, No update data, 9g3qrq0qbsbs
Bird, MEX, 4a6bf1db-bb1f-4219-9a09-2b53812a989e, 74, 10521, No update data, 9g3qrq0qc540
Bird, MEX, 5d43bcac-8152-402a-9b9a-defe6e55d88a, 100, 14062, No update data, 9g3qrmb49q02
Bird, MEX, 858c8c65-bd75-4757-b743-65eaf262bab4, 100, 14062, No update data, 9g3qrmb42r5w
Bird, MEX, 10ffbbb2-add7-4443-aa19-fafc974c2154, 99, 13904, No update data, 9g3qrmb48cgz
Bird, MEX, 80286e73-9030-477e-aa8c-1e9e25825ab6, 100, 14062, No update data, 9g3qrmb42twu
Bird, MEX, 4949bb9b-aaf0-40db-834e-375cd0e270bc, 100, 14062, No update data, 9g3qrmb42y7b
Bird, MEX, f7fa3b5b-aa47-4d6a-b3c1-94e76e6d1838, 100, 14062, No update data, 9g3qrmb43r82
Bird, MEX, e711b4c2-5dbb-41a0-a6c7-8e4fcbafbc96, 100, 14062, No update data, 9g3qrmb42enu
Bird, MEX, c46a5db9-e572-4f78-a8c6-034d7a81d5fd, 100, 14062, No update data, 9g3qrmb434d1
Bird, MEX, a18a1ba0-e569-49fe-934f-f7eb73e1253c, 99, 14696, No update data, 9g3qrmb40zez
Bird, MEX, 213b2618-eaf6-478e-bc6d-32b17401614f, 92, 13527, No update data, 9g3qrjwzzqp5
Bird, MEX, a2c4a5f2-1efd-4782-9135-0db99b1a9bc1, 98, 14529, No update data, 9g3qrjxpbh0r
Bird, MEX, d0cdbb47-a2df-48a1-8556-131232e5c66e, 94, 13861, No update data, 9g3qrjwzzdh4
Bird, MEX, c9ecd76a-e567-4807-b7e6-f3d8f8066932, 80, 11523, No update data, 9g3qrq0tb1jk
