Bird, MEX, 07781693-7250-4330-b238-42905dca196f, 73, 9796, No update data, 9g3qx2s1hssq
Bird, MEX, ca47276c-8149-4833-ba6f-405b4b5e3b2f, 27, 2672, No update data, 9g3qx2ssbjtd
Bird, MEX, ff3bcdc9-eb28-4100-8795-64016563fd0f, 29, 3006, No update data, 9g3qx2smycvg
Bird, MEX, ef8f54c2-d154-4cc4-aec1-9b7666bb9faa, 56, 7110, No update data, 9g3qx2krj5u9
Bird, MEX, 9f1c17a4-4a40-4b91-b7e1-4bec7a33e505, 84, 11534, No update data, 9g3qx2sju5en
Bird, MEX, 2dc58e40-8f4c-4092-93c7-8c7dbbdd30c6, 29, 3006, No update data, 9g3qx2ef13m3
Bird, MEX, d584fcd2-bc82-46d9-9e62-ff5b6a9f7c3a, 87, 12692, No update data, 9g3qx2knv2zv
Bird, MEX, c6695cbe-498f-4f8a-bfa3-0024a49af7cd, 54, 6794, No update data, 9g3qx2kq968q
Bird, MEX, 44c827d5-432b-41a0-ac8c-5c3be62da415, 90, 13193, No update data, 9g3qx2snk4e5
Bird, MEX, 2f6b0e2c-75af-4132-8146-84af69366874, 100, 14062, No update data, 9g3qx2sgu9hx
Bird, MEX, 1b394f0e-eb98-44c0-93e5-f32dcf58f28c, 82, 11218, No update data, 9g3qx27ygt38
Bird, MEX, 7c906dcf-51d2-45d5-91fd-c0c9ccda7a7b, 100, 14062, No update data, 9g3qx2suj3zv
Bird, MEX, b0f3d837-d2e5-4137-adad-b94cf16625e4, 100, 14863, No update data, 9g3qx2suun5n
Bird, MEX, 71af20d4-ae11-43ed-9b22-297347f35569, 100, 14062, No update data, 9g3qx2sumkpv
Bird, MEX, 82969b39-d6b9-4827-a0a8-107673dd7014, 100, 14062, No update data, 9g3qx2svkxse
Bird, MEX, fb450ec4-b14a-41e9-b3f8-0ef4679f070a, 82, 11218, No update data, 9g3qx2t4c0d5
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 99, 13904, No update data, 9g3qx2suxvz3
Bird, MEX, 7cfad983-6c6e-446c-8091-ab81782b9b88, 98, 14529, No update data, 9g3qx2sz4s8p
Bird, MEX, b9711556-35e2-4688-9fd4-138d8621c479, 100, 14062, No update data, 9g3qx2e36f73
Bird, MEX, 103d35a3-c843-4e07-8711-d00965ff9f15, 99, 13904, No update data, 9g3qx2e3fr9z
Bird, MEX, dd5d01a4-617b-4c5c-9dcc-719955edd02d, 100, 14062, No update data, 9g3qx2e2eh83
Bird, MEX, 05830fa6-52a4-493a-9fa8-7f28c90e403c, 99, 13904, No update data, 9g3qx2e2fdv0
Bird, MEX, fc97cd00-b130-485c-9f04-32a39b424f3e, 97, 14362, No update data, 9g3qx2e31eg9
Bird, MEX, b2f3eecd-87a6-4f22-b09d-ab4e0bb1a23a, 100, 14863, No update data, 9g3qx27mtq4g
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 71, 9480, No update data, 9g3qx2gf0wyu
Bird, MEX, 35abfa33-04d2-49b9-9d7c-bf837caa1f01, 100, 14062, No update data, 9g3qx27kuvr8
Bird, MEX, 3f103ee2-6b90-4eb6-b875-72871b33ca22, 81, 11060, No update data, 9g3qx27kqwfw
Bird, MEX, 0b614b84-c92a-442b-93ab-89c83b29851d, 100, 14863, No update data, 9g3qx27kfe04
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 53, 7014, No update data, 9g3qx2t9cn4n
Bird, MEX, a6856924-59d9-4541-b679-474c40e01766, 98, 14529, No update data, 9g3qx27k1zyd
Bird, MEX, 636db0aa-cc7f-4b93-9f73-d3dfb92b277f, 100, 14062, No update data, 9g3qx27k3jdp
Bird, MEX, 33512538-4616-4788-96cb-5e4d154914a8, 100, 14062, No update data, 9g3qx27k2syc
Bird, MEX, 4f81034f-b5a0-442f-9fd9-c7cd8673ea8e, 98, 14529, No update data, 9g3qx27k2eyg
