Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 96, 14195, No update data, 9g3qx2tp95dh
Bird, MEX, 74d28002-a5be-4ce7-be3d-55c61d91898d, 99, 13904, No update data, 9g3qx2tp9y0e
Bird, MEX, 2c63804e-d262-49f7-a001-f2a534645a9e, 100, 14863, No update data, 9g3qx2tpdn5g
Bird, MEX, 86fb843f-753c-478e-82b7-25f1a1ed63d4, 35, 4008, No update data, 9g3qx2kg1zwb
Bird, MEX, 536ba51c-6392-4b93-a7cf-cb7b242f713f, 81, 11060, No update data, 9g3qx2tkkw77
Bird, MEX, 5579e8e8-9acf-433e-a71e-e4870b009457, 67, 8848, No update data, 9g3qx2tkt0ud
Bird, MEX, b8b56603-1f89-470b-b30b-82fd024d667e, 71, 10020, No update data, 9g3qx2t7yqs2
Bird, MEX, bb44b6ac-3ce6-4bc8-9ae7-9844f309588a, 72, 10187, No update data, 9g3qx2t7wwpe
Bird, MEX, 40a2a766-b004-473f-882c-8f11369f90f4, 91, 13360, No update data, 9g3qx27kfve6
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 25, 2338, No update data, 9g3qx2t92nme
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 92, 13527, No update data, 9g3qx27k5dzg
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 93, 12956, No update data, 9g3qx2tqw6sq
Bird, MEX, a5324893-9031-43c7-af54-fd5ed0ff7f3a, 93, 12956, No update data, 9g3qx2ttfn5y
Bird, MEX, 77839e0f-9388-47d0-9534-56d619ff1adf, 97, 13588, No update data, 9g3qx279k55p
Bird, MEX, b79b987e-d2af-4ec5-a1d8-c098047ec0f4, 93, 12956, No update data, 9g3qx2tthbxt
Bird, MEX, 29089756-bc29-4e84-83a3-83bbcb86ea70, 52, 6847, No update data, 9g3qx2ttv34z
Bird, MEX, b5c2abc2-3e82-47c4-9fb7-9d69afcc6073, 56, 7515, No update data, 9g3qx2tswbjy
Bird, MEX, 63dc07bc-4457-4af4-ac8d-9685fea614ce, 91, 13360, No update data, 9g3qx2ttpmp2
Bird, MEX, 2ec5d5ce-2fca-4260-bcb5-f59f66cf558c, 81, 11690, No update data, 9g3qx2tv3nfp
Bird, MEX, 681b8c5c-1b48-43f3-ac0f-1256ed76fa30, 67, 9352, No update data, 9g3qx2g47dxu
Bird, MEX, 27cea3f0-f8b9-4bbd-b155-904682c6d7e9, 60, 8183, No update data, 9g3qx2tufce3
Bird, MEX, b1f6ce4a-5722-4800-bf0b-590b7aeda1ea, 49, 6004, No update data, 9g3qx26fnjxk
Bird, MEX, 1d851a7d-a4c5-44ab-a21d-59434d2e025d, 57, 7268, No update data, 9g3qx2hj5n22
Bird, MEX, 71056b3b-95c9-44ae-a2d3-433b81ea6318, 62, 8517, No update data, 9g3qx26w4ueq
Bird, MEX, 0360abd8-2f73-4a2f-b6a3-58e86c2ae706, 22, 1738, No update data, 9g3qx2muy2uk
Bird, MEX, 53fb9905-002a-45fb-be1c-054644b917cc, 82, 11857, No update data, 9g3qx26wbbeg
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 65, 9018, No update data, 9g3qx2hhj8wj
Bird, MEX, 9d0c26d7-da5f-4782-9391-60668393b103, 72, 10187, No update data, 9g3qx2y09byf
Bird, MEX, 892c9223-09eb-4776-bdf8-ea075c8776dc, 30, 3173, No update data, 9g3qx26myh34
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 64, 8374, No update data, 9g3qx2h5s5e5
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 72, 9638, No update data, 9g3qx2q5fxmj
Bird, MEX, 1805bfb5-d06c-492d-a5dd-a06bf134df9d, 60, 8183, No update data, 9g3qx26qk1ej
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 49, 6346, No update data, 9g3qx25jsr25
