Bird, MEX, 3820960e-d68d-409f-9b9f-6d38c4e6b8a4, 97, 13588, No update data, 9g3qx2krsqn7
Bird, MEX, c9c56f4a-1c23-44ae-92e2-4c6331d5cce8, 97, 14362, No update data, 9g3qx2krsm0j
Bird, MEX, 3fc8ac56-09dd-436a-a87b-ce7baa509d26, 96, 14195, No update data, 9g3qx2eurmxp
Bird, MEX, 262791f4-3be5-486c-9439-dd925ec19aee, 67, 8848, No update data, 9g3qx2kr6r9f
Bird, MEX, 513ed36c-6979-4d56-996d-2ff618a28cca, 42, 5177, No update data, 9g3qx2sjtfkk
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 94, 13861, No update data, 9g3qx2krmnss
Bird, MEX, 86309a22-3859-45de-b969-ca32cec6963c, 94, 13861, No update data, 9g3qx2sdzk34
Bird, MEX, c3f58e29-a4d6-4d39-b36a-b62fdde7debd, 73, 10354, No update data, 9g3qx2sjz6c0
Bird, MEX, 7bc14d68-649a-442a-bbf3-309ea43ea7eb, 78, 10586, No update data, 9g3qx2sj0zgf
Bird, MEX, b5b4710e-4918-4c0a-8354-8eb34552f8f3, 69, 9686, No update data, 9g3qx2smv0ut
Bird, MEX, 04cdb52b-ddf2-4d23-bc36-163095b6e940, 46, 5845, No update data, 9g3qx2sdzur6
Bird, MEX, a2a2f7b9-3d36-4633-a6af-4f8064ce2a3f, 90, 13193, No update data, 9g3qx2sf8r5c
Bird, MEX, 400c371d-2099-4e37-a0f1-4d7e42ec8717, 96, 13430, No update data, 9g3qx2snjukm
Bird, MEX, 79d4921b-956e-47a6-86f1-5d04a5d03980, 54, 7181, No update data, 9g3qx2evqfjb
Bird, MEX, 36ea52e7-00da-42ef-9446-a1eee5a94389, 75, 10688, No update data, 9g3qx27zvrdz
Bird, MEX, da69e40b-993c-4e81-bbd0-abf31fb4b105, 94, 13861, No update data, 9g3qx2kqu221
Bird, MEX, 27438e92-fb96-4bb8-ad8c-4a785ea5880c, 74, 10521, No update data, 9g3qx2kx621u
Bird, MEX, f5123d91-581f-4847-ac08-67e312289390, 99, 14696, No update data, 9g3qx2evxr0c
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 94, 13861, No update data, 9g3qx2sf4p5w
Bird, MEX, d7400320-2319-4552-b18f-1dfb1a5d6083, 98, 13746, No update data, 9g3qx2sg4stn
Bird, MEX, e0f13f23-022f-41ef-8be9-85c5daec4d69, 65, 9018, No update data, 9g3qx2evkzzs
Bird, MEX, ddbc845b-fdf8-44fe-9901-5b395771b7b9, 99, 14696, No update data, 9g3qx2evvbs7
Bird, MEX, ed7914f1-8973-4e35-a539-75f8cfff8f06, 100, 14863, No update data, 9g3qx2evynz6
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 99, 13904, No update data, 9g3qx2evuwu6
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 100, 14863, No update data, 9g3qx2eyjxy4
Bird, MEX, e266b359-559b-44d2-a0d0-4a6cb3acadf2, 66, 8690, No update data, 9g3qx2kmuuzw
Bird, MEX, 9a8ebb52-1426-4e00-b5f1-fcf638436054, 97, 14362, No update data, 9g3qx2edvhuw
Bird, MEX, c3a16680-82b7-4588-815e-c7c2418731b7, 48, 5846, No update data, 9g3qx2sy04jx
Bird, MEX, 7b5117f6-35b2-4704-9613-732b3089bdde, 99, 14696, No update data, 9g3qx2edgqg6
Bird, MEX, 71663b97-5627-4f12-8e5f-a3e649148426, 90, 13193, No update data, 9g3qx2sy5xxb
Bird, MEX, 6e231545-4e34-4a4f-acaa-03608f194847, 90, 13193, No update data, 9g3qx2sy7ukz
Bird, MEX, 10426429-69d2-4ea9-8172-09e286866754, 82, 11857, No update data, 9g3qx2e91jp1
Bird, MEX, ed8d1ef3-e475-4b32-b51f-f2c6f337bc6a, 98, 13746, No update data, 9g3qx2e92s0v
Bird, MEX, 7c972032-d848-4b97-ab78-083d452d24e6, 88, 12859, No update data, 9g3qx27x799t
Bird, MEX, f5faf0a5-07c1-4618-98f1-48fdfa0d7c9c, 98, 13746, No update data, 9g3qx2sxz7xn
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 58, 7426, No update data, 9g3qx27wfkcy
Bird, MEX, afb59a83-3b17-4a7c-a280-e310d22d2563, 96, 13430, No update data, 9g3qx2szkc9q
Bird, MEX, 0d1720f0-1731-41ee-82c5-ee23d20724f1, 96, 14195, No update data, 9g3qx2e3m24u
Bird, MEX, 91d56900-35c3-4b0f-939e-d4fa50f61037, 93, 13694, No update data, 9g3qx2e2uxsr
Bird, MEX, 6fcbc70c-ed01-48e7-a439-f8c4a3903bba, 96, 13430, No update data, 9g3qx2tn9m0m
Bird, MEX, a87c2eb5-b188-484d-b52c-080a9801ef36, 96, 14195, No update data, 9g3qx2tq29xn
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 100, 14863, No update data, 9g3qx27kxkbg
Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 96, 14195, No update data, 9g3qx27ktfh4
Bird, MEX, fdc52935-a7e8-4a66-ad09-f1d233075ba4, 85, 12358, No update data, 9g3qx27ksuc7
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 74, 10521, No update data, 9g3qx27m4ygk
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 80, 10902, No update data, 9g3qx2t7r23n
Bird, MEX, 36b2e499-7803-4a66-8c47-84130a166c99, 91, 12640, No update data, 9g3qx27kdyer
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 99, 14696, No update data, 9g3qx27m1m8k
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 96, 14195, No update data, 9g3qx27k7uhv
Bird, MEX, 315de1ca-d497-4f9a-88a0-898c72ffec54, 98, 13746, No update data, 9g3qx27ke48q
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 89, 13026, No update data, 9g3qx27nuwhq
Bird, MEX, 3aa7a587-d55f-4a04-86d5-4ed3c49c2ef9, 90, 12482, No update data, 9g3qx27jrbf2
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 99, 13904, No update data, 9g3qx2tqr8hh
Bird, MEX, 84049fa0-21df-45ca-bf1f-1c7e0217af2c, 99, 13904, No update data, 9g3qx2trnpx2
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 19, 1336, No update data, 9g3qx27hw3uw
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 76, 10855, No update data, 9g3qx2kcq1xm
Bird, MEX, 5bf9c28e-f11a-49f8-9005-3f44131b4025, 97, 14362, No update data, 9g3qx26zy3u6
Bird, MEX, f17a1b0b-224c-4e99-8062-9faee4075473, 31, 3340, No update data, 9g3qx2tsy41m
Bird, MEX, c131379c-672b-4daf-9b99-249fe564fd93, 42, 5177, No update data, 9g3qx2tsyd4t
Bird, MEX, c7965c14-a249-4569-be43-de4a0e85d469, 48, 5846, No update data, 9g3qx2hrx5uj
Bird, MEX, ad48c2df-32aa-439c-9610-e60e3ad16810, 67, 8848, No update data, 9g3qx2tszdu0
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 79, 11356, No update data, 9g3qx2uj8syu
Bird, MEX, e865d66f-57d1-4013-b493-580a950732ac, 73, 7316, No update data, 9g3qx2tub82c
Bird, MEX, f364c6c4-f0d2-4105-9793-20d4c8c11abf, 31, 3340, No update data, 9g3qx2tubsp0
Bird, MEX, 80117cf9-3e72-425b-9bd0-c8c01fc68abb, 100, 14062, No update data, 9g3qx2tv2zk1
Bird, MEX, 4f058be0-47d0-409f-a1fe-a34b260c43f9, 93, 13694, No update data, 9g3qx2tv8ckn
Bird, MEX, cd735747-27c7-4464-96d4-a96d876f6f42, 54, 7181, No update data, 9g3qx2tv1b2e
Bird, MEX, b1dfe0ac-27ca-427d-8787-04c8eda82d16, 94, 13861, No update data, 9g3qx2tv1ybs
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 96, 14195, No update data, 9g3qx2tv3wgx
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 34, 3841, No update data, 9g3qx2g47j07
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 97, 13588, No update data, 9g3qx26vdd04
Bird, MEX, 98f1ced5-2fbf-4174-8fd3-f84185b6a1b1, 71, 10020, No update data, 9g3qx2m0hf99
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 34, 3841, No update data, 9g3qx26vb8bt
Bird, MEX, bba10184-a496-472e-917f-d07e123b77cc, 74, 10521, No update data, 9g3qx26wywd8
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 99, 13904, No update data, 9g3qx26wpskh
Bird, MEX, dcd6b607-5629-4f0a-a90f-dde50b6d0ba2, 45, 5372, No update data, 9g3qx2gk2w8t
