Bird, MEX, ba9bae22-5a72-4c9a-b1e6-37afd85d1b18, 64, 8374, No update data, 9g3qrnsmxu4n
Bird, MEX, a30fd969-c7c3-4269-871b-5590e129d2af, 43, 5344, No update data, 9g3qrnszs16u
Bird, MEX, 313b2759-6df8-4dfa-a0b7-d4a94d9e45ad, 57, 7268, No update data, 9g3qrn7xn2t7
Bird, MEX, 9560c079-971c-46e2-898e-620a06c0541d, 85, 11692, No update data, 9g3qrnszn1c5
Bird, MEX, 6e586d9b-62c6-40bb-af95-e7bbd0815fe7, 84, 11534, No update data, 9g3qrnszpjgu
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 91, 12640, No update data, 9g3qrnpnd8hu
Bird, MEX, c5ab1fec-28d5-43a9-b4d2-fd63efc1371f, 58, 7849, No update data, 9g3qrnqb6r1y
Bird, MEX, b19a1e59-c0d4-4483-a57a-46df3fbaefe0, 79, 11356, No update data, 9g3qrnpzktsk
Bird, MEX, ee1c3453-cd24-41d3-b5df-37dca4bc392f, 78, 10586, No update data, 9g3qrjyfzk8c
Bird, MEX, 1dd30c14-902d-400d-9a0e-e06c9a2591e8, 80, 10902, No update data, 9g3qrnqcuthq
Bird, MEX, b728f775-67c9-4126-9d34-f5705ee759e7, 49, 6004, No update data, 9g3qrnrbv76d
Bird, MEX, 1d402812-b543-4254-9189-e922bf6e997e, 83, 11376, No update data, 9g3qrnrby8d8
Bird, MEX, e6c4d263-4245-427e-9d85-6efe15b04482, 99, 14696, No update data, 9g3qrnrby5p2
Bird, MEX, 62635893-5166-40ea-9213-9d2b196d9c7d, 52, 6847, No update data, 9g3qrnrby7sk
Bird, MEX, 096dde0f-fb0b-4860-ae8e-7ed9f2f345f2, 98, 14529, No update data, 9g3qrnrbyg8s
Bird, MEX, 1c95f637-1565-40ac-881c-67a0cf01ef8c, 57, 7682, No update data, 9g3qrq0phzxx
Bird, MEX, 1cc4d66b-bfec-4132-9c55-5e7789d75aaa, 97, 14362, No update data, 9g3qrq2087ge
