Bird, MEX, 6f6d7458-76fd-4ebd-a952-b01e9b149241, 58, 7849, No update data, 9g3qx2esm5hx
Bird, MEX, 2198fb74-c6f7-46b0-91c1-51195d0d4cb7, 98, 14529, No update data, 9g3qx2sp7p87
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 94, 13861, No update data, 9g3qx2syur2n
Bird, MEX, 74d28002-a5be-4ce7-be3d-55c61d91898d, 99, 13904, No update data, 9g3qx2tn07gc
Bird, MEX, e4c4eab0-8b33-45fb-93a8-ee7f65202e79, 18, 1169, No update data, 9g3qx2k7gnqx
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 38, 4266, No update data, 9g3qx2k7kryk
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 85, 12358, No update data, 9g3qx2szwkk2
Bird, MEX, 933ab2a1-650f-487f-84d9-16ef9179f273, 66, 9185, No update data, 9g3qx2e3g183
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 93, 13694, No update data, 9g3qx2tndp7g
Bird, MEX, a887ba12-e8d1-4f6d-902e-23547d0a99b7, 93, 12956, No update data, 9g3qx2e3dq9z
Bird, MEX, 14b43c27-3703-477b-ba1e-4793108c54f4, 76, 10855, No update data, 9g3qx2e32ntt
Bird, MEX, 86fb843f-753c-478e-82b7-25f1a1ed63d4, 34, 3841, No update data, 9g3qx2kerv6m
Bird, MEX, 5579e8e8-9acf-433e-a71e-e4870b009457, 67, 8848, No update data, 9g3qx2t76ver
Bird, MEX, bb44b6ac-3ce6-4bc8-9ae7-9844f309588a, 71, 10020, No update data, 9g3qx2tke0yd
Bird, MEX, b8b56603-1f89-470b-b30b-82fd024d667e, 70, 9853, No update data, 9g3qx2tkeuug
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 24, 2171, No update data, 9g3qx2t99rtm
Bird, MEX, b79b987e-d2af-4ec5-a1d8-c098047ec0f4, 92, 12798, No update data, 9g3qx2tt4ngu
Bird, MEX, 29089756-bc29-4e84-83a3-83bbcb86ea70, 49, 6346, No update data, 9g3qx2tt5tzy
Bird, MEX, b5c2abc2-3e82-47c4-9fb7-9d69afcc6073, 55, 7348, No update data, 9g3qx2tthqyk
Bird, MEX, a5324893-9031-43c7-af54-fd5ed0ff7f3a, 92, 12798, No update data, 9g3qx2tsuvcs
Bird, MEX, 2ec5d5ce-2fca-4260-bcb5-f59f66cf558c, 80, 11523, No update data, 9g3qx2tsuurd
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 80, 11523, No update data, 9g3qx2m4p1k1
Bird, MEX, 5ec7ad55-740b-4a49-bace-10bdc9f2e50c, 81, 11690, No update data, 9g3qx2m0b35y
Bird, MEX, 77839e0f-9388-47d0-9534-56d619ff1adf, 96, 13430, No update data, 9g3qx278f1e8
Bird, MEX, 63dc07bc-4457-4af4-ac8d-9685fea614ce, 90, 13193, No update data, 9g3qx2ttpdu5
Bird, MEX, 8cbb26b9-033b-4764-af04-f8363d263747, 85, 12358, No update data, 9g3qx2m0dd2h
Bird, MEX, 9009e2a2-75b0-43df-9c8d-4f4cf98892b0, 53, 7014, No update data, 9g3qx2g43m8r
Bird, MEX, 0360abd8-2f73-4a2f-b6a3-58e86c2ae706, 20, 1422, No update data, 9g3qx2musqqm
Bird, MEX, 45dae591-5bdd-4099-8684-fb177bb4d96f, 57, 7682, No update data, 9g3qx2vc6t8p
Bird, MEX, 71056b3b-95c9-44ae-a2d3-433b81ea6318, 61, 8350, No update data, 9g3qx26t4b53
Bird, MEX, b1f6ce4a-5722-4800-bf0b-590b7aeda1ea, 48, 5846, No update data, 9g3qx26f0p88
Bird, MEX, 53fb9905-002a-45fb-be1c-054644b917cc, 80, 11523, No update data, 9g3qx26s1b27
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 72, 9638, No update data, 9g3qx2qh6wvn
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 63, 8216, No update data, 9g3qx25gkv3k
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 82, 11857, No update data, 9g3qx267w6kk
Bird, MEX, 87d372ec-160f-4323-b9a0-4a6258483749, 96, 13430, No update data, 9g3qx3h9fw0n
Bird, MEX, 892c9223-09eb-4776-bdf8-ea075c8776dc, 29, 3006, No update data, 9g3qx267vmxf
Bird, MEX, e0b75e90-5de5-4bb3-a54f-3ce4ceb7d418, 60, 7742, No update data, 9g3qx25ekxs6
Bird, MEX, dcad6ebf-2e88-4fa8-83a5-5b648c4bf496, 79, 11356, No update data, 9g3qx25g1g2w
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 48, 6179, No update data, 9g3qx24vz78y
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 93, 13694, No update data, 9g3qx26k4n78
Bird, MEX, 1805bfb5-d06c-492d-a5dd-a06bf134df9d, 57, 7682, No update data, 9g3qx266sek3
