Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 92, 13527, No update data, 9g3qx27kf0ee
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 93, 13694, No update data, 9g3qx27k59rc
Bird, MEX, 1d7c1bd7-3189-4c37-abf3-35c8962c98c4, 65, 8532, No update data, 9g3qx27hzwhn
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 17, 1002, No update data, 9g3qx277ecs3
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 82, 11857, No update data, 9g3qx2e02hv9
Bird, MEX, ad95aa44-c06b-4ffd-8b6e-79f1cf957d0c, 65, 9018, No update data, 9g3qx27pbtbs
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 72, 10187, No update data, 9g3qx276vchn
Bird, MEX, 5bf9c28e-f11a-49f8-9005-3f44131b4025, 93, 13694, No update data, 9g3qx2dbnymb
Bird, MEX, 39c1a20c-e5f6-4483-a785-cd5fc953a35b, 67, 8848, No update data, 9g3qx279nuty
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 76, 10855, No update data, 9g3qx2guzxu0
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 74, 10521, No update data, 9g3qx2m1292g
Bird, MEX, ad48c2df-32aa-439c-9610-e60e3ad16810, 65, 8532, No update data, 9g3qx2tsxqrm
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 92, 13527, No update data, 9g3qx2ttz714
Bird, MEX, 4d6b23ec-b3c9-43b5-8a3f-5aed0715bfac, 43, 5056, No update data, 9g3qx2g7ubcm
Bird, MEX, 4f058be0-47d0-409f-a1fe-a34b260c43f9, 87, 12692, No update data, 9g3qx2twpcfm
Bird, MEX, 80117cf9-3e72-425b-9bd0-c8c01fc68abb, 98, 13746, No update data, 9g3qx2tv880y
Bird, MEX, e865d66f-57d1-4013-b493-580a950732ac, 70, 6962, No update data, 9g3qx2tucb8e
Bird, MEX, 98f1ced5-2fbf-4174-8fd3-f84185b6a1b1, 69, 9686, No update data, 9g3qx2hzyw6x
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 31, 3340, No update data, 9g3qx2g1fxmn
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 100, 14062, No update data, 9g3qx2tvf9jp
Bird, MEX, 830dc278-a8c0-420d-8a73-f9fbe8d2f4d6, 87, 12692, No update data, 9g3qx2md85m9
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 94, 13861, No update data, 9g3qx2ty5rgd
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 93, 13694, No update data, 9g3qx2ty5zuf
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 94, 13114, No update data, 9g3qx26xtq4g
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 97, 13588, No update data, 9g3qx26wp68c
Bird, MEX, f835251a-db1b-449d-b110-2b0cec9d32d2, 79, 11356, No update data, 9g3qx2hjt3zb
