Bird, MEX, 6c3bd2a5-9128-44d7-bc8b-76f09624c46b, 100, 14062, No update data, 9g3qx2esykh2
Bird, MEX, d0beaa38-2e9d-4588-85dc-2955ca62c8e9, 100, 14062, No update data, 9g3qx2svgk58
Bird, MEX, b1ff650c-6003-4fca-a3cc-7c57811323dc, 100, 14062, No update data, 9g3qx2sysf16
Bird, MEX, 50ad6d5b-e418-49e1-bda1-5c26e567985c, 100, 14062, No update data, 9g3qx2tjfsj0
Bird, MEX, fc97cd00-b130-485c-9f04-32a39b424f3e, 92, 13527, No update data, 9g3qx2e37dxg
Bird, MEX, e9bc84ce-d822-429b-a4e2-06a23fb32af0, 100, 14062, No update data, 9g3qx2tn5e1t
Bird, MEX, a72f3f15-9e3e-45bf-a2ad-6b53efd8d76f, 100, 14062, No update data, 9g3qx2e373st
Bird, MEX, 8abd70f2-cf7e-4ae5-b2f2-68e9c6a104ee, 100, 14062, No update data, 9g3qx2tnfm3b
Bird, MEX, b9711556-35e2-4688-9fd4-138d8621c479, 99, 13904, No update data, 9g3qx2e2dvg3
Bird, MEX, 103d35a3-c843-4e07-8711-d00965ff9f15, 98, 13746, No update data, 9g3qx2e3cu2d
Bird, MEX, e7aadd68-ec60-4cb1-85c9-55418d404c3f, 100, 14062, No update data, 9g3qx2tjqxfs
Bird, MEX, 05830fa6-52a4-493a-9fa8-7f28c90e403c, 97, 13588, No update data, 9g3qx2e31fbe
Bird, MEX, bc662e2f-2a1c-4b3e-ba04-9d7f48168aad, 100, 14062, No update data, 9g3qx27r77hx
Bird, MEX, 51fe277f-dde7-44f0-9fd3-375b9dec0056, 88, 12166, No update data, 9g3qx2tnq4p2
Bird, MEX, 2f6b0e2c-75af-4132-8146-84af69366874, 99, 13904, No update data, 9g3qx2tkcc0x
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 70, 9322, No update data, 9g3qx2gf5nq8
Bird, MEX, 0b614b84-c92a-442b-93ab-89c83b29851d, 98, 14529, No update data, 9g3qx27kwmu3
Bird, MEX, b0f3d837-d2e5-4137-adad-b94cf16625e4, 97, 14362, No update data, 9g3qx2t7q5c7
Bird, MEX, 7cfad983-6c6e-446c-8091-ab81782b9b88, 96, 14195, No update data, 9g3qx2t7xjhj
Bird, MEX, 71af20d4-ae11-43ed-9b22-297347f35569, 100, 14062, No update data, 9g3qx2t7p7rr
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 97, 13588, No update data, 9g3qx2t6z9u5
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 99, 13904, No update data, 9g3qx27kg4qq
Bird, MEX, b2f3eecd-87a6-4f22-b09d-ab4e0bb1a23a, 98, 14529, No update data, 9g3qx27m397e
Bird, MEX, 01fcc0bd-7a21-4ac2-84ac-51442e5ce70b, 98, 14529, No update data, 9g3qx27jrcfr
Bird, MEX, 8afc1e1b-9580-41b5-91df-01cde059e309, 99, 14696, No update data, 9g3qx27k9e7d
Bird, MEX, 3e84f037-6dff-40ea-9bcc-160006d1c792, 49, 6004, No update data, 9g3qx2geetcd
Bird, MEX, dde59b6d-fc71-4638-817a-3565f11e95f1, 100, 14062, No update data, 9g3qx26yx9hh
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 49, 6346, No update data, 9g3qx2tdw6sq
Bird, MEX, 8a763c77-a051-49a6-b521-aab12d1356fc, 97, 14362, No update data, 9g3qx2tsy4c2
Bird, MEX, 8a3932c9-c6e3-4dea-8ab7-fb64ba198716, 64, 8374, No update data, 9g3qx2uj0jbx
Bird, MEX, f33fdbbb-1959-403e-a3b0-3548d5fdaba6, 80, 10902, No update data, 9g3qx275uesq
Bird, MEX, d5f4bf5a-6224-40a3-a97c-c4ecf8b087ee, 88, 12859, No update data, 9g3qx2ttq2kq
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 98, 14529, No update data, 9g3qx2ttvrxz
Bird, MEX, c93a1da1-691d-40bd-8ee0-133d5d1f6cf6, 97, 14362, No update data, 9g3qx2ttne4t
Bird, MEX, dfa95489-d2c7-4dfc-b38e-bf6560efa249, 96, 14195, No update data, 9g3qx2tsxkz7
Bird, MEX, 918711a0-139b-4a6c-b897-6e34e57fb43f, 75, 10112, No update data, 9g3qx2hrqs4t
Bird, MEX, 0ecc8f6f-3c73-48cf-87d5-c9313c95846a, 57, 7682, No update data, 9g3qx2g1s68n
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 94, 13861, No update data, 9g3qx2v85wrb
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 96, 14195, No update data, 9g3qx2tvf9jp
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 99, 13904, No update data, 9g3qx2tz1cbt
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 56, 7110, No update data, 9g3qx2hzh051
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 56, 7515, No update data, 9g3qx2g5ge1e
Bird, MEX, ed432de5-1245-4d4c-862c-1c442d1de163, 60, 8183, No update data, 9g3qx25vx3rn
Bird, MEX, 3b7eb4a5-3646-4996-a072-f9250a6691a3, 100, 14863, No update data, 9g3qx2vc1v2e
Bird, MEX, 429e6f17-9093-40a1-9f51-9f1e9f4478e0, 28, 2839, No update data, 9g3qx26f6c77
Bird, MEX, 035cd50f-e02d-4335-8faf-eaeb79643a9a, 33, 3674, No update data, 9g3qx26f8qez
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 71, 9480, No update data, 9g3qx2fux17y
Bird, MEX, 497776c5-39e3-47b8-b52a-5987fd0e777f, 53, 6636, No update data, 9g3qx2hh6pgs
Bird, MEX, 5704481c-ce9c-4984-b3fe-3309b2bb35c6, 51, 6320, No update data, 9g3qx2y13gyg
Bird, MEX, 6d3395d6-2232-43c5-8b20-5acdee080a74, 89, 12324, No update data, 9g3qx2y0hyzs
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 93, 13694, No update data, 9g3qx2h52dwg
Bird, MEX, f64d3b10-d626-4d61-9a74-2631e24b0e13, 53, 6636, No update data, 9g3qx26km26y
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 76, 10270, No update data, 9g3qx25gp1uh
Bird, MEX, 35abfa33-04d2-49b9-9d7c-bf837caa1f01, 90, 12482, No update data, 9g3qx2wr8nmt
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 93, 13694, No update data, 9g3qx25g4tj0
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 96, 14195, No update data, 9g3qx25g1227
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 96, 14195, No update data, 9g3qx25ft7rc
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 98, 14529, No update data, 9g3qx25fdge7
Bird, MEX, 46daf5a8-0a70-4a6f-ae79-23b44704bc00, 91, 13360, No update data, 9g3qx2y29g8s
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 98, 13746, No update data, 9g3qx2y310zp
Bird, MEX, ba43ac1d-65cd-439d-96c6-13f7cfce677b, 98, 14529, No update data, 9g3qx2y25d9c
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 75, 10688, No update data, 9g3qx2y2e0b6
Bird, MEX, 7bd770db-68ee-4409-b445-65fa1d04e4df, 46, 5530, No update data, 9g3qx2y4zdu3
Bird, MEX, 63a0667b-d991-4556-a860-1c59fde65c46, 96, 14195, No update data, 9g3qx2wrt9y0
Bird, MEX, 78209f58-6a8f-4a26-a3b0-d66ab1420a36, 94, 13861, No update data, 9g3qx2y2s62h
Bird, MEX, 6444a382-c13b-47a2-94cc-806ee4c7f9ba, 100, 14062, No update data, 9g3qx26hqnxk
Bird, MEX, 33fa9623-81ec-4853-b4f1-b3d6c50058c8, 43, 5344, No update data, 9g3qx2j7v0us
Bird, MEX, 78c6fa08-c4a3-447f-b30a-ff4cc23c31e0, 37, 4342, No update data, 9g3qx2j7wj3r
Bird, MEX, 258f56c1-c66f-4330-849b-1de97c45b1c3, 91, 12640, No update data, 9g3qx26hgchy
Bird, MEX, 9b99e586-078b-41d9-9505-0df93a54c01a, 100, 14062, No update data, 9g3qx264rrr0
Bird, MEX, 69a55863-30b4-4862-802d-1a0b195bfa0d, 96, 14195, No update data, 9g3qx2y2yfjv
Bird, MEX, 9f61a028-c211-453d-a213-d3689ad3fe9b, 98, 14529, No update data, 9g3qx2yhygty
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 88, 12166, No update data, 9g3qx24rs454
Bird, MEX, 2510200f-d563-4079-b4ef-956f38651810, 97, 14362, No update data, 9g3qx2yk6tj5
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 51, 6320, No update data, 9g3qx24rdc7q
Bird, MEX, 37b69fba-9da6-4a14-9707-39492cabff07, 100, 14863, No update data, 9g3qx2647pw6
Bird, MEX, faa15d87-e0af-4ccc-9859-baeeeffc4653, 100, 14062, No update data, 9g3qx2ykcvwf
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 83, 11376, No update data, 9g3qx26220tx
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 96, 13430, No update data, 9g3qx349prx0
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 99, 13904, No update data, 9g3qx349rh7z
Bird, MEX, fcbd96a8-ae56-4698-add5-c4563c440a39, 99, 14696, No update data, 9g3qx2ykvkrf
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 94, 13114, No update data, 9g3qx349tfsn
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 96, 13430, No update data, 9g3qx349wrh3
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 96, 13430, No update data, 9g3qx349tkzu
Bird, MEX, 5f452180-93ff-41e8-8fdb-2ff54f5a18d2, 76, 10270, No update data, 9g3qx260b4mw
Bird, MEX, 841aa314-b90d-45b0-ba7d-1a003f283759, 100, 14062, No update data, 9g3qx23feguv
Bird, MEX, 450c9ec8-dd3b-415b-ac2b-305b1dd56a61, 100, 14062, No update data, 9g3qx23cezhc
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 99, 13904, No update data, 9g3qx23f0zgf
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 80, 10902, No update data, 9g3qx2nxtty1
Bird, MEX, 7a7a5026-b63b-47f7-b579-9a9eb71d3eec, 97, 14362, No update data, 9g3qx23euc92
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 85, 11692, No update data, 9g3qx340yf0v
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 45, 5678, No update data, 9g3qx341nyvv
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 75, 10112, No update data, 9g3qx21xvm6b
Bird, MEX, 2c03e0f5-34c4-4f22-8832-8a7d0c880d38, 97, 14362, No update data, 9g3qx21wxkpp
Bird, MEX, 504c9d6e-889a-4412-8654-a3f68a7cadc4, 98, 13746, No update data, 9g3qx21wybm8
Bird, MEX, dd2cca58-1aaf-480b-8093-25d10717e193, 93, 13694, No update data, 9g3qx21wnppq
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 98, 13746, No update data, 9g3qx21ws5gj
Bird, MEX, 68e5b7a9-f469-4320-bdfb-65ea9bb22f10, 99, 13904, No update data, 9g3qx21w7t1d
Bird, MEX, 0d2663c7-49cf-4138-9feb-5ed7b6143c8f, 76, 10855, No update data, 9g3qx3kd5k5e
Bird, MEX, 40c53d16-1d05-4b37-bc92-5a20d82b13cd, 46, 5530, No update data, 9g3qx233k471
