Bird, MEX, 7c972032-d848-4b97-ab78-083d452d24e6, 87, 12692, No update data, 9g3qx27qz1hn
Bird, MEX, c3a16680-82b7-4588-815e-c7c2418731b7, 48, 5846, No update data, 9g3qx2szy3u7
Bird, MEX, 6e231545-4e34-4a4f-acaa-03608f194847, 90, 13193, No update data, 9g3qx2szy9ze
Bird, MEX, ed8d1ef3-e475-4b32-b51f-f2c6f337bc6a, 97, 13588, No update data, 9g3qx2e39bnw
Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 72, 10187, No update data, 9g3qx2kgb8bu
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 57, 7268, No update data, 9g3qx27qt3pu
Bird, MEX, 36b2e499-7803-4a66-8c47-84130a166c99, 90, 12482, No update data, 9g3qx27mg087
Bird, MEX, 1e57c6f1-4b0e-48be-8093-24d41e3a1cf0, 94, 13114, No update data, 9g3qx27kvpkt
Bird, MEX, fdc52935-a7e8-4a66-ad09-f1d233075ba4, 84, 12191, No update data, 9g3qx27mhkwq
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 73, 10354, No update data, 9g3qx27mf71f
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 99, 14696, No update data, 9g3qx27kqtxx
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 98, 14529, No update data, 9g3qx27kuesq
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 17, 1002, No update data, 9g3qx27m5kxj
Bird, MEX, 98f1ced5-2fbf-4174-8fd3-f84185b6a1b1, 71, 10020, No update data, 9g3qx2kf3rt6
Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 94, 13861, No update data, 9g3qx27e8yez
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 100, 14062, No update data, 9g3qx2tr4smj
Bird, MEX, 315de1ca-d497-4f9a-88a0-898c72ffec54, 97, 13588, No update data, 9g3qx27nqwre
Bird, MEX, 3aa7a587-d55f-4a04-86d5-4ed3c49c2ef9, 89, 12324, No update data, 9g3qx27m8m5v
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 97, 14362, No update data, 9g3qx2tr6t05
Bird, MEX, f12b4e8b-e94a-4655-81b7-bdfb9f20ea13, 96, 14195, No update data, 9g3qx2tr6tj5
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 96, 14195, No update data, 9g3qx27kf23c
Bird, MEX, 56f1ff43-cd45-443e-9df6-3c3568753d9b, 96, 14195, No update data, 9g3qx2trdeth
Bird, MEX, 5bf9c28e-f11a-49f8-9005-3f44131b4025, 96, 14195, No update data, 9g3qx2e0f2cv
Bird, MEX, ad95aa44-c06b-4ffd-8b6e-79f1cf957d0c, 66, 9185, No update data, 9g3qx2e03kmr
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 87, 12692, No update data, 9g3qx2e018et
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 96, 14195, No update data, 9g3qx2tqxnsp
Bird, MEX, f17a1b0b-224c-4e99-8062-9faee4075473, 30, 3173, No update data, 9g3qx2twbmef
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 76, 10855, No update data, 9g3qx2kc5pyd
Bird, MEX, 4f058be0-47d0-409f-a1fe-a34b260c43f9, 91, 13360, No update data, 9g3qx2ttghqd
Bird, MEX, f364c6c4-f0d2-4105-9793-20d4c8c11abf, 30, 3173, No update data, 9g3qx2tttdqh
Bird, MEX, 80117cf9-3e72-425b-9bd0-c8c01fc68abb, 100, 14062, No update data, 9g3qx2ttw5xs
Bird, MEX, b4293943-e4df-4a9a-83ef-f9cc0977e80e, 42, 5177, No update data, 9g3qx2ttnfjz
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 94, 13861, No update data, 9g3qx2twjrxb
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 80, 10902, No update data, 9g3qx2ttp0up
Bird, MEX, e865d66f-57d1-4013-b493-580a950732ac, 72, 7198, No update data, 9g3qx2ttx6rk
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 78, 11189, No update data, 9g3qx2gvtq4u
Bird, MEX, dcd6b607-5629-4f0a-a90f-dde50b6d0ba2, 45, 5372, No update data, 9g3qx2g7umyk
Bird, MEX, c131379c-672b-4daf-9b99-249fe564fd93, 40, 4843, No update data, 9g3qx2tv8ckn
Bird, MEX, cd735747-27c7-4464-96d4-a96d876f6f42, 53, 7014, No update data, 9g3qx2tv36t7
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 33, 3674, No update data, 9g3qx2g44b7k
Bird, MEX, ad48c2df-32aa-439c-9610-e60e3ad16810, 66, 8690, No update data, 9g3qx2tv7dcv
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 96, 13430, No update data, 9g3qx26xqt6t
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 98, 13746, No update data, 9g3qx26xw5r6
Bird, MEX, 82bb97e6-207d-4444-9a0b-bc0d1d1a56e8, 54, 7181, No update data, 9g3qx2tze7es
Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 96, 14195, No update data, 9g3qx26whb13
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 33, 3674, No update data, 9g3qx26wehnr
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 46, 5530, No update data, 9g3qx2hj2dbv
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 67, 8848, No update data, 9g3qx25vmmdy
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 57, 7682, No update data, 9g3qx2hj28wz
Bird, MEX, 47bad6b7-df98-4bdb-bade-758faee0d967, 18, 1169, No update data, 9g3qx26tsp75
Bird, MEX, 630320b3-4db3-4e2e-8162-a758ec053c9c, 98, 13746, No update data, 9g3qx26w4xv4
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 52, 4838, No update data, 9g3qx25vjhsw
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 57, 7268, No update data, 9g3qx3h2rkrp
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 87, 12008, No update data, 9g3qx25q5p82
Bird, MEX, 1e8912d3-a4bd-49f8-98db-72459de02892, 97, 14362, No update data, 9g3qx2hhpg4k
Bird, MEX, 10f30ae3-ee9e-421d-bce2-ca702bc4dff7, 100, 14863, No update data, 9g3qx2h5yxrt
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 38, 4509, No update data, 9g3qx2h5vmzg
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 60, 8183, No update data, 9g3qx2h5g0bk
Bird, MEX, 7fd024c6-7511-43e8-b890-0ceae6c363fb, 99, 14696, No update data, 9g3qx2h5tzh3
Bird, MEX, 2c948a14-b884-4313-8d6d-b5738d1decde, 100, 14863, No update data, 9g3qx2h5sbc6
