Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 92, 13527, No update data, 9g3qx27khfc7
Bird, MEX, fdc52935-a7e8-4a66-ad09-f1d233075ba4, 83, 12024, No update data, 9g3qx277vpsx
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 83, 12024, No update data, 9g3qx2e095dh
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 74, 10521, No update data, 9g3qx2kcejqx
Bird, MEX, 315de1ca-d497-4f9a-88a0-898c72ffec54, 97, 13588, No update data, 9g3qx277s15h
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 72, 10187, No update data, 9g3qx277ecub
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 17, 1002, No update data, 9g3qx277ecs3
Bird, MEX, ad95aa44-c06b-4ffd-8b6e-79f1cf957d0c, 65, 9018, No update data, 9g3qx2e0835u
Bird, MEX, f364c6c4-f0d2-4105-9793-20d4c8c11abf, 29, 3006, No update data, 9g3qx2tt1u2t
Bird, MEX, 5bf9c28e-f11a-49f8-9005-3f44131b4025, 94, 13861, No update data, 9g3qx2dbxuf7
Bird, MEX, c131379c-672b-4daf-9b99-249fe564fd93, 39, 4676, No update data, 9g3qx2tthrb4
Bird, MEX, f17a1b0b-224c-4e99-8062-9faee4075473, 29, 3006, No update data, 9g3qx2ttkmn7
Bird, MEX, cd735747-27c7-4464-96d4-a96d876f6f42, 52, 6847, No update data, 9g3qx2ttjrzf
Bird, MEX, e865d66f-57d1-4013-b493-580a950732ac, 71, 7080, No update data, 9g3qx2tsyp9r
Bird, MEX, ad48c2df-32aa-439c-9610-e60e3ad16810, 66, 8690, No update data, 9g3qx2ttn0cr
Bird, MEX, 4d6b23ec-b3c9-43b5-8a3f-5aed0715bfac, 42, 4898, No update data, 9g3qx2g7tr4c
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 93, 13694, No update data, 9g3qx2ttxkr2
Bird, MEX, 98f1ced5-2fbf-4174-8fd3-f84185b6a1b1, 69, 9686, No update data, 9g3qx2m0dpgz
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 93, 13694, No update data, 9g3qx273devj
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 94, 13861, No update data, 9g3qx2tu6fgm
Bird, MEX, 4f058be0-47d0-409f-a1fe-a34b260c43f9, 88, 12859, No update data, 9g3qx2tvcmm2
Bird, MEX, 80117cf9-3e72-425b-9bd0-c8c01fc68abb, 99, 13904, No update data, 9g3qx2tvc8gt
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 100, 14062, No update data, 9g3qx2ty316h
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 96, 14195, No update data, 9g3qx2tv55y9
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 76, 10855, No update data, 9g3qx2gtz6z1
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 31, 3340, No update data, 9g3qx2g4dem4
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 96, 13430, No update data, 9g3qx26y2xbs
Bird, MEX, 56f1ff43-cd45-443e-9df6-3c3568753d9b, 94, 13861, No update data, 9g3qx2ty6w25
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 46, 5530, No update data, 9g3qx25yt8y4
Bird, MEX, 830dc278-a8c0-420d-8a73-f9fbe8d2f4d6, 88, 12859, No update data, 9g3qx2mdfxmj
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 97, 13588, No update data, 9g3qx26v8kec
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 52, 4838, No update data, 9g3qx25vepn9
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 56, 7110, No update data, 9g3qx2ux9w5s
Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 94, 13861, No update data, 9g3qx26expgz
Bird, MEX, 630320b3-4db3-4e2e-8162-a758ec053c9c, 97, 13588, No update data, 9g3qx26skryh
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 56, 7515, No update data, 9g3qx25v52em
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 66, 8690, No update data, 9g3qx25tr2xp
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 31, 3340, No update data, 9g3qx26eq7hr
Bird, MEX, 47bad6b7-df98-4bdb-bade-758faee0d967, 16, 835, No update data, 9g3qx26emhht
Bird, MEX, 8be5fd41-5102-44cf-8112-b2105dd2c2a5, 97, 14362, No update data, 9g3qx2hh5fhy
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 58, 7849, No update data, 9g3qx2h5cw5t
Bird, MEX, 1e8912d3-a4bd-49f8-98db-72459de02892, 96, 14195, No update data, 9g3qx25uj3fv
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 69, 9686, No update data, 9g3qx25gwgtg
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 37, 4342, No update data, 9g3qx25gg272
Bird, MEX, 7fd024c6-7511-43e8-b890-0ceae6c363fb, 97, 14362, No update data, 9g3qx25gsqn7
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 79, 8024, No update data, 9g3qx2y156ge
Bird, MEX, 211b1584-a5cb-439d-b24c-77633ec22ad0, 99, 14696, No update data, 9g3qx25gmrzu
Bird, MEX, 10f30ae3-ee9e-421d-bce2-ca702bc4dff7, 99, 14696, No update data, 9g3qx25ge5q9
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 69, 9686, No update data, 9g3qx25gdh5x
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 84, 12191, No update data, 9g3qx2fyxhgu
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 42, 5177, No update data, 9g3qx25jnmh2
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 82, 11218, No update data, 9g3qx2dr050t
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 79, 10744, No update data, 9g3qx25jh4e0
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 67, 8848, No update data, 9g3qx266qh3p
Bird, MEX, 36492f57-4509-4243-9869-ffa9bc263ba8, 74, 9954, No update data, 9g3qx24y9y8r
Bird, MEX, 7df1d82c-a271-4915-873c-73e0b45282cf, 46, 5530, No update data, 9g3qx268c9e8
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 49, 6004, No update data, 9g3qx257kneh
Bird, MEX, d5c92ecc-10ca-4b2d-9ef0-89657686a51b, 66, 9185, No update data, 9g3qx2dn5zhy
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 98, 14529, No update data, 9g3qx2y2hu9x
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 97, 13588, No update data, 9g3qx2yh7bub
Bird, MEX, 62442278-b68a-472b-b413-dfd6b89600a7, 54, 7181, No update data, 9g3qx2dn5nyk
Bird, MEX, c9813102-9ee2-43c1-9d27-c74163baa51a, 88, 12859, No update data, 9g3qx26ht0ud
Bird, MEX, b6c16e86-fc7a-4da1-bbe8-cebb9b5fd031, 89, 13026, No update data, 9g3qx26j680h
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 54, 7181, No update data, 9g3qx3j8tqry
Bird, MEX, 4755ed57-47d7-4697-ae2f-20de133c09a6, 79, 11356, No update data, 9g3qx29bqx68
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 87, 12008, No update data, 9g3qx2jvtyh7
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 61, 8350, No update data, 9g3qx2jvz3c4
