Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 99, 14696, No update data, 9g3qx2tuvsyn
Bird, MEX, 7b8e74ac-74f6-4e34-a049-34ba30abb3d3, 99, 14696, No update data, 9g3qx2tvnxpw
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 82, 11218, No update data, 9g3qx2gh9zqe
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 97, 13588, No update data, 9g3qx2dmy5xq
Bird, MEX, 439e90c5-769c-4396-8d23-419bf5019251, 96, 13430, No update data, 9g3qx26d1gqw
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 46, 5530, No update data, 9g3qx2dq8m5t
Bird, MEX, d0639104-ca83-4c41-a068-1d36fb5a1c88, 67, 8848, No update data, 9g3qx2wd85md
Bird, MEX, 6f15c284-1c18-446b-a5b8-8280bdc0c0a9, 100, 14062, No update data, 9g3qx26huup8
Bird, MEX, a8a395e8-9aa5-4be6-860c-d71d9e52131f, 99, 13904, No update data, 9g3qx26ht3fb
Bird, MEX, 76d3e90c-8802-45c6-97ca-785bd6a664e3, 78, 10586, No update data, 9g3qx265wg2c
Bird, MEX, dcf07f54-718b-43d2-ae66-88c28b7534e0, 100, 14062, No update data, 9g3qx26hupep
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 70, 9322, No update data, 9g3qx2660ggb
Bird, MEX, 5b93f1be-220c-44fe-a52d-f3048b36849d, 49, 6004, No update data, 9g3qx262edcx
Bird, MEX, 30c5acdf-4715-4142-a46c-f597e63fd110, 98, 14529, No update data, 9g3qx2ww48m5
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 100, 14863, No update data, 9g3qx2yk9w5s
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 97, 13588, No update data, 9g3qx2622u7z
Bird, MEX, 23aa320d-6add-4133-adcc-529659490f3b, 100, 14863, No update data, 9g3qx2ykcdg9
Bird, MEX, 3a48bae5-4a5c-4627-aca6-3bf534d27a56, 46, 5845, No update data, 9g3qx3jd2m7v
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 99, 14696, No update data, 9g3qx2wwtpst
Bird, MEX, 3d0eb1e0-af04-4000-a55b-51f7b43ea66a, 98, 14529, No update data, 9g3qx2ykdrdj
Bird, MEX, 1091710a-483f-4e51-bd07-1809f2afd5eb, 96, 14195, No update data, 9g3qx2ykcywb
Bird, MEX, 21d5fbec-0a8a-40f2-85ee-44608e7d6851, 99, 14696, No update data, 9g3qx2ym48mh
Bird, MEX, b43d51bb-fe9b-45a1-9510-434d1a8e5ce3, 44, 5511, No update data, 9g3qx261fw0j
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 90, 12482, No update data, 9g3qx34f50qk
Bird, MEX, 455f13cb-32a0-488b-8402-4c4e10e91ae8, 44, 5214, No update data, 9g3qx35kqmh7
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 53, 6636, No update data, 9g3qx2618nje
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 92, 12798, No update data, 9g3qx2fr4rcf
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 91, 12640, No update data, 9g3qx2fr9w5s
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 58, 7426, No update data, 9g3qx2rn914k
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 63, 8684, No update data, 9g3qx341q19n
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 84, 11534, No update data, 9g3qx341hg3r
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 69, 9164, No update data, 9g3qx35nb029
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 98, 13746, No update data, 9g3qx23d144p
Bird, MEX, e1aea749-c2f9-43ea-8560-645e443366e1, 100, 14062, No update data, 9g3qx2yvsn5h
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 39, 4676, No update data, 9g3qx21wzh5b
Bird, MEX, 2b8c7c97-68d2-4719-b1df-a3d7844a1e42, 99, 14696, No update data, 9g3qx2yvjze0
Bird, MEX, 728c9a5b-a63b-4184-8b6e-da82a1ea8ef0, 94, 13861, No update data, 9g3qx21wy7sq
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 45, 5372, No update data, 9g3qx21xjqzu
Bird, MEX, 0ce8a922-941d-4440-a15e-1f4cb38f85ba, 100, 14062, No update data, 9g3qx2yvvqzf
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 98, 13746, No update data, 9g3qx236nv0b
