Bird, MEX, 88e977d2-d2c5-4e77-a02a-483bbde956ce, 72, 9638, No update data, 9g3qx2zyq8z8
Bird, MEX, 50709b8a-8d1c-4f94-be44-47190d5b10c0, 78, 11189, No update data, 9g3qx8bhgs3f
Bird, MEX, c18697e4-4798-4c2e-9bd4-a884ebeb7e16, 44, 5511, No update data, 9g3qx2b2cfb3
Bird, MEX, dbca5134-e66f-4f59-b6f3-213f913abdb9, 51, 6320, No update data, 9g3qx2b23q27
Bird, MEX, ed962f08-bce0-4e03-9c47-70a44760abce, 75, 10688, No update data, 9g3qrrdr5fuf
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 85, 12358, No update data, 9g3qx280muhj
Bird, MEX, 359cc237-d2cc-4172-8088-5cafbb3c2fe1, 73, 9796, No update data, 9g3qx3dbpk8z
Bird, MEX, 9b1d4da5-4c91-474e-93fc-3f2b0a569e63, 84, 11534, No update data, 9g3qx3e3mzk1
Bird, MEX, ff233ac6-b243-4478-81a4-8686f1be7783, 47, 6012, No update data, 9g3qx31p7rk9
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 71, 10020, No update data, 9g3qrrdsygtv
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 30, 3173, No update data, 9g3qrrbythue
Bird, MEX, 257d0a26-c5c8-48a9-b6b2-2bb0e66d56a8, 58, 7849, No update data, 9g3qrrzz8csp
Bird, MEX, 129ed5f7-a076-4cbd-b907-980c2ddfca2d, 48, 5846, No update data, 9g3qx3tbspen
Bird, MEX, 86873c1a-6f02-49a3-a037-703874bd466b, 49, 6004, No update data, 9g3qrrdnd39z
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 79, 11356, No update data, 9g3qrrzz3t7s
Bird, MEX, c4fcdaf3-d59f-467f-abb0-b191b2356f8f, 39, 4424, No update data, 9g3qrrz1y43q
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 87, 12008, No update data, 9g3qx302d9b0
Bird, MEX, aae6452b-f630-47a5-891d-e52f1b56ec78, 88, 12859, No update data, 9g3qx206pmby
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrre9b5tt
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 83, 11376, No update data, 9g3qx30292jp
Bird, MEX, 582d3976-c8ff-4b46-a270-f5d77371a850, 24, 2171, No update data, 9g3qrrbwzdu0
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 91, 13360, No update data, 9g3qx20jrehp
Bird, MEX, a96f6f78-c63e-4574-beed-4e618ea75ed8, 91, 13360, No update data, 9g3qx203wy0e
Bird, MEX, 85ffc6e3-5a72-4643-9e2a-c1852749f066, 100, 14062, No update data, 9g3qrre985te
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 48, 5846, No update data, 9g3qrrc4qfte
Bird, MEX, 13673970-2381-46dd-8a2d-5172f7a26d8b, 91, 13360, No update data, 9g3qrre920mt
