Bird, MEX, 9bb845f6-a89f-4997-89ca-6297a5ad036b, 97, 13588, No update data, 9g3qx2fr8y7y
Bird, MEX, d7d83de7-acfb-4770-9e4b-76957bf1eb7c, 92, 13527, No update data, 9g3qx2fr800x
Bird, MEX, f3c80877-da11-4215-8d1e-fb97bc81891f, 34, 3634, No update data, 9g3qx2ycwsdd
Bird, MEX, ccc018bc-c9c3-4237-9f15-2b8b30c3fc8c, 58, 7426, No update data, 9g3qx21yv0us
Bird, MEX, a952f527-d0ae-4d22-a4d7-7bbc16845429, 80, 10902, No update data, 9g3qrrvq4920
Bird, MEX, 1b38a58b-5a6e-4662-896d-1fcd5523d758, 80, 10902, No update data, 9g3qx2z502gz
Bird, MEX, f7dd0509-1d5c-413f-80fe-1d4c922d2914, 90, 12482, No update data, 9g3qx239dr3g
Bird, MEX, 4e32cb22-ca9f-432d-997d-0a18d8c52a6b, 48, 5846, No update data, 9g3qrrvmvvhr
Bird, MEX, 9d080dda-e43c-46f6-9a97-5c15364b4a79, 94, 13114, No update data, 9g3qx21wv4kw
Bird, MEX, 10264b82-4c51-4dd5-b8ba-9e3dd3a4f28e, 85, 11692, No update data, 9g3qx2n24r6p
Bird, MEX, 3127c34f-297e-4752-9f99-8159c9cb56b8, 96, 13430, No update data, 9g3qx2z6dcg2
Bird, MEX, 940721d1-d326-44c8-a382-807f22450618, 49, 6004, No update data, 9g3qx2zk4tj1
Bird, MEX, 65a412e6-6e8f-44e1-862b-d97aba7e160b, 99, 13904, No update data, 9g3qx231qy2f
Bird, MEX, bd7e8e4e-c6f7-4beb-bfc3-14b76cba1376, 43, 5056, No update data, 9g3qx2xxcp6q
Bird, MEX, edb61149-cbc7-4bc2-8966-3c64c3f40951, 47, 5688, No update data, 9g3qx2z7pxhq
Bird, MEX, 83b7f59d-ea85-4e7f-bf84-33810010d090, 63, 8216, No update data, 9g3qx3nsrkz6
Bird, MEX, 2579a082-f904-433b-9864-db8ce9dcfcb9, 100, 14863, No update data, 9g3qx28c5819
Bird, MEX, 2843c7af-2a49-4e61-961f-7856954b5d3a, 90, 12482, No update data, 9g3qx230fwv1
Bird, MEX, 05ba9e7f-fc41-404a-a1e4-1b31a3b05d96, 94, 13114, No update data, 9g3qx21kg6kw
Bird, MEX, a8e1fef8-ce2c-4dca-b1a0-3677913292c3, 98, 13746, No update data, 9g3qx230f9b4
Bird, MEX, 29633c9d-10ad-4965-9e22-5ee0ff471df6, 82, 11218, No update data, 9g3qx23071wm
Bird, MEX, 3f86fb15-6bbe-4d63-866a-71cb5c44afb1, 67, 8848, No update data, 9g3qx2306jhg
Bird, MEX, 8f8af813-2124-43d9-bfa9-cc23f3f2f0cb, 99, 13904, No update data, 9g3qx2304t24
Bird, MEX, 7f1ef59c-87de-4eff-a884-a5a4b7d8b7c1, 100, 14863, No update data, 9g3qx28cbvef
Bird, MEX, 8a43a5bb-2c4d-4cf1-b482-e468fb3975e4, 80, 10902, No update data, 9g3qrrsrfx8p
Bird, MEX, 61f8da17-2aa8-4922-8fb6-ac42148aea0c, 74, 9954, No update data, 9g3qx2zbc7tq
Bird, MEX, 793e6f61-4322-460a-a485-d14350dc6eca, 57, 7682, No update data, 9g3qrryz7k7w
Bird, MEX, 5b804fee-3618-4bc0-945a-cc0a65acefbe, 83, 11376, No update data, 9g3qx20zrpef
Bird, MEX, f4ac696d-2fa7-49e6-8cd9-eaa16265f6ba, 90, 13193, No update data, 9g3qx215t5k9
Bird, MEX, 22cb30b7-5bc8-448f-b361-69e5943164fc, 57, 7268, No update data, 9g3qx22tesxc
Bird, MEX, c91a6749-08ea-4725-95a1-c88f5990f84b, 76, 10270, No update data, 9g3qx2ruyw4y
Bird, MEX, 2395af3e-ab82-422e-8148-dd20fa0ed50f, 45, 5372, No update data, 9g3qx3kycb8s
Bird, MEX, a5458a64-42fc-4419-a8de-1105dc98d604, 82, 11857, No update data, 9g3qx2zv7vmj
Bird, MEX, 7cb46d1b-ae0b-4c13-9d72-7a7d839492de, 61, 7900, No update data, 9g3qx82j5nq8
Bird, MEX, 3263de79-bea3-48e6-a678-1218e5d47a34, 52, 6478, No update data, 9g3qrrf2tzun
Bird, MEX, 35242060-894b-4d23-8a22-dc374b35a7e1, 24, 2171, No update data, 9g3qx2zvqtpe
Bird, MEX, 7378c974-5fb1-405e-9c74-b8d50c251cc5, 56, 7110, No update data, 9g3qx2zynumv
Bird, MEX, a90bded2-efa7-456f-8596-297afef1055b, 78, 10586, No update data, 9g3qx8bj6xt5
