Bird, MEX, ad6215af-7140-40f4-8705-87af2c4ea24e, 65, 8532, No update data, 9g3qrrz0czqv
Bird, MEX, 8f124ee6-592e-4a16-81a4-0f81b01d735c, 84, 11534, No update data, 9g3qx33yhy97
Bird, MEX, 3ec91c16-dbc8-4335-8e17-36ec7c3f0ac1, 39, 4424, No update data, 9g3qrrz0cyqz
Bird, MEX, ff253764-0512-44ba-84eb-299d2b6d5486, 87, 12008, No update data, 9g3qx88tt5su
Bird, MEX, 0ceb16f1-e641-4af9-89d8-fad372f58a1b, 72, 10187, No update data, 9g3qrrzy0xpj
Bird, MEX, 2cb62d98-bc56-4b8d-b42f-bd1e03bf4c50, 89, 12324, No update data, 9g3qrreckqq6
Bird, MEX, e6e9d376-0d85-41a0-9ea7-24bf4839d06e, 49, 6004, No update data, 9g3qx0rvttjv
Bird, MEX, 5ad35b71-5724-49c1-9ffb-f4ef2169bd5f, 61, 7900, No update data, 9g3qx88g53gt
Bird, MEX, 24f00068-067f-4c37-80cd-c8b6d8fd99d1, 61, 7900, No update data, 9g3qx88geg8h
Bird, MEX, 00da0f9b-64ce-4428-bfd9-397d09cdc39e, 87, 12692, No update data, 9g3qx88uh5g3
Bird, MEX, a0276a82-9eec-4e3d-8762-de0cbe51e17f, 29, 2844, No update data, 9g3qrr9rddvp
Bird, MEX, 347efaff-5e6a-4dd0-bcf8-e7c432707a76, 69, 9164, No update data, 9g3qx88zhu3t
Bird, MEX, 56a74912-733c-4441-9dd4-57c875b0dfc1, 76, 10270, No update data, 9g3qx8bwt25p
Bird, MEX, 3f9d17d7-f1e9-48b7-9391-36050a87a73f, 66, 8690, No update data, 9g3qrr9r3zwd
Bird, MEX, ba802777-72c1-4a90-b15c-46ea347ad581, 44, 5214, No update data, 9g3qx88ywcju
Bird, MEX, 4bc42c7b-1864-4f67-907e-f70c2b3bc993, 67, 8848, No update data, 9g3qx89j8xxj
Bird, MEX, 0f2b98d7-ba3c-4434-8923-4c43c28c2046, 65, 8532, No update data, 9g3qrr9t1wg7
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 80, 10902, No update data, 9g3qx0zdu82v
Bird, MEX, 7d22917c-d40f-4342-a4eb-daca6930f962, 54, 6794, No update data, 9g3qx0zd5gkx
Bird, MEX, 93bd0cd3-21f5-4720-a450-b9f11d98e8f6, 71, 10020, No update data, 9g3qrr9sf3cf
Bird, MEX, 939bbb67-69ae-4520-9472-a96d427c12ec, 75, 10112, No update data, 9g3qrr9mmkfb
Bird, MEX, db1181ad-fded-4c2e-a922-909d9d52beda, 47, 5688, No update data, 9g3qx3tn3mjk
Bird, MEX, 1e922d89-3ef6-458e-8c75-5a8ba2981876, 72, 9638, No update data, 9g3qrrky17mq
Bird, MEX, c0937207-3f1e-4e3b-8f91-a9e6edc27a1f, 51, 6320, No update data, 9g3qx8c55x9b
