Bird, MEX, 00da0f9b-64ce-4428-bfd9-397d09cdc39e, 87, 12692, No update data, 9g3qx88ujb75
Bird, MEX, a0276a82-9eec-4e3d-8762-de0cbe51e17f, 29, 2844, No update data, 9g3qrr9r9qtq
Bird, MEX, 3f9d17d7-f1e9-48b7-9391-36050a87a73f, 66, 8690, No update data, 9g3qrr9r3yyw
Bird, MEX, 7d22917c-d40f-4342-a4eb-daca6930f962, 54, 6794, No update data, 9g3qx0zd5bux
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 79, 10744, No update data, 9g3qx0zdu82v
Bird, MEX, 0f2b98d7-ba3c-4434-8923-4c43c28c2046, 65, 8532, No update data, 9g3qrr9t144n
Bird, MEX, db1181ad-fded-4c2e-a922-909d9d52beda, 47, 5688, No update data, 9g3qx3tn4r1z
Bird, MEX, 93bd0cd3-21f5-4720-a450-b9f11d98e8f6, 71, 10020, No update data, 9g3qrr9sby7z
Bird, MEX, 56a74912-733c-4441-9dd4-57c875b0dfc1, 76, 10270, No update data, 9g3qx90dh55j
Bird, MEX, 347efaff-5e6a-4dd0-bcf8-e7c432707a76, 69, 9164, No update data, 9g3qx89jdetk
Bird, MEX, 939bbb67-69ae-4520-9472-a96d427c12ec, 75, 10112, No update data, 9g3qrr9mmnuw
Bird, MEX, 4bc42c7b-1864-4f67-907e-f70c2b3bc993, 67, 8848, No update data, 9g3qx89j6ug3
Bird, MEX, ba802777-72c1-4a90-b15c-46ea347ad581, 44, 5214, No update data, 9g3qx89jhbrg
Bird, MEX, 1e922d89-3ef6-458e-8c75-5a8ba2981876, 74, 9954, No update data, 9g3qrrkvf9v1
Bird, MEX, 6a4caf95-892c-4778-9a9d-37ac40018f87, 40, 4582, No update data, 9g3qrr7vkycm
Bird, MEX, 5e1a46b2-1eb9-4a19-81d1-fba2e32ff70b, 70, 9322, No update data, 9g3qx90g3w7e
Bird, MEX, c0937207-3f1e-4e3b-8f91-a9e6edc27a1f, 51, 6320, No update data, 9g3qx8chj8wn
Bird, MEX, bda16c95-58b9-4693-ae77-01b51087607a, 76, 10270, No update data, 9g3qrr9d2p0x
Bird, MEX, d4ffbb54-d3eb-4811-91dc-9b98d61e8ca3, 78, 10586, No update data, 9g3qrr7u29qf
Bird, MEX, 2b6047ff-900f-4b79-92d5-d7d63149c230, 94, 13114, No update data, 9g3qx90gfy5q
Bird, MEX, 602f512f-30a2-4dd8-bf9a-80f233f1967e, 75, 10112, No update data, 9g3qx89rysrf
Bird, MEX, 90e167cc-a284-40f3-ab95-aa8b1a1a632e, 82, 11218, No update data, 9g3qrrkgngju
Bird, MEX, d03a9514-0e9e-4df7-96d3-35f3d7116f00, 78, 10586, No update data, 9g3qx0x18w8x
Bird, MEX, 9d314b86-06e0-43af-abff-d7cb11dcb7c2, 47, 5688, No update data, 9g3qx833nsxy
Bird, MEX, 8b04fc6d-d093-480c-8f6b-269e9d5d12b3, 30, 3002, No update data, 9g3qx39y7x3d
Bird, MEX, d7603a20-bdf5-4c56-8cd6-c1a15b8606fc, 58, 7426, No update data, 9g3qrr6fwjz2
Bird, MEX, a8b4e8fa-949a-44bb-a931-45aeeb79e9ab, 79, 11356, No update data, 9g3qx389ttjy
Bird, MEX, 92a7c024-b5e8-4eb2-ad50-d10dfb5da9d6, 45, 5372, No update data, 9g3qrr3w7jqk
Bird, MEX, 680a4e60-43b6-4323-858f-4af8e15b3b3e, 62, 8517, No update data, 9g3qx389svc6
Bird, MEX, 2875e10b-f1d7-46ae-9d02-a9df47893a79, 91, 12640, No update data, 9g3qrrk2f21z
Bird, MEX, 3a89692e-e82f-4164-abb9-42d1fadca724, 79, 10744, No update data, 9g3qrrxf7w9u
Bird, MEX, 6b0025d4-8011-4190-a878-6ea62ec6ce1a, 64, 8374, No update data, 9g3qrrk2ek5q
Bird, MEX, 9f6f21e0-d30f-4847-b54c-4e1de6e59391, 47, 6012, No update data, 9g3qx83yhngk
Bird, MEX, cdf1a39f-7ec0-4b16-be6b-7b0c364f09c4, 45, 5372, No update data, 9g3qrrk21g2t
Bird, MEX, 9f4b80fd-e297-4781-ac82-695840ea2af4, 34, 3634, No update data, 9g3qx1p18ymn
Bird, MEX, b90c1638-fa3f-4517-83e4-1a54102cea86, 87, 12008, No update data, 9g3qrrhrbq5u
Bird, MEX, adf6fe80-3821-46ff-a65a-886991c1695c, 80, 10902, No update data, 9g3qrr666ye7
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 67, 8848, No update data, 9g3qx3f7n6s6
Bird, MEX, 2640b6ff-78e0-44eb-bc71-4980ed10610d, 89, 12324, No update data, 9g3qrrhrsu92
Bird, MEX, 2decf237-4f7d-4944-8d89-3939fbef0fd9, 82, 11218, No update data, 9g3qrrhp0pv9
Bird, MEX, 7c906dcf-51d2-45d5-91fd-c0c9ccda7a7b, 63, 8216, No update data, 9g3qrrhnczww
Bird, MEX, a962e32f-1896-4870-ace0-48bae169446f, 71, 9480, No update data, 9g3qrrhn8z5b
Bird, MEX, 32261fab-970d-48bf-9815-542af9468f29, 82, 11218, No update data, 9g3qrrqgn196
Bird, MEX, 959aaa7d-07f6-4d55-ad45-c44b9987c957, 47, 5688, No update data, 9g3qrr5num80
Bird, MEX, 52a290a1-5c11-4e43-a503-c41eb43248bc, 45, 5372, No update data, 9g3qx8djn1r9
Bird, MEX, d6c3969d-fd00-4ed5-a276-b423f443d07d, 51, 6320, No update data, 9g3qrr3j43cu
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 63, 8216, No update data, 9g3qrrqfqtfx
Bird, MEX, 2d8e803d-27e4-4d51-b2ee-7a081954ceac, 28, 2686, No update data, 9g3qrr2x4fgd
Bird, MEX, 8ed54e8f-d062-4ad6-b978-e50b3b9823cf, 52, 6478, No update data, 9g3qrrrkprz3
Bird, MEX, 5757cb9e-c12a-45e5-b582-769465856fe1, 80, 10902, No update data, 9g3qrr826wm4
Bird, MEX, a832c3a3-648d-4169-a2ca-9e2267e9779b, 53, 6636, No update data, 9g3qrr4v7jn3
Bird, MEX, 7e603b4d-03ab-428e-9779-963c1277a9bf, 44, 5214, No update data, 9g3qx0wpkshm
Bird, MEX, 9c8c59b6-a5c0-46ef-91b3-6c5e76041990, 73, 9796, No update data, 9g3qrr4ugfkv
Bird, MEX, a9848a78-4d3a-4ed0-88c9-c9038a64be2d, 46, 5530, No update data, 9g3qx8fksk86
Bird, MEX, 12acc1cc-36b8-4652-b88a-69d672758c2e, 21, 1580, No update data, 9g3qx1xuync5
Bird, MEX, fa8545fd-8e56-49d1-bee6-68f252914e46, 42, 4898, No update data, 9g3qrprzv1kx
Bird, MEX, f5b148fc-11ff-48a7-99fc-c6c63a8b44d3, 58, 7426, No update data, 9g3qx9b134r7
Bird, MEX, 7e3772cd-373c-4896-aad1-e19dc9a1c5eb, 70, 9322, No update data, 9g3qrrh40p0s
Bird, MEX, d93fe58b-091c-4157-913f-415a62fe7b15, 58, 7426, No update data, 9g3qrx94u2yk
Bird, MEX, eb0a0c60-a150-44a5-9b70-8424fc44270c, 46, 5530, No update data, 9g3qx8d8y9zf
Bird, MEX, 5f527278-2a4c-403b-968a-9749149a89ea, 73, 10354, No update data, 9g3qx98wpsu2
Bird, MEX, c13c1639-b829-4204-9339-064748d54588, 89, 12324, No update data, 9g3qrprz2gv4
Bird, MEX, 4875b0e8-20eb-4f8a-ac6c-ae78d93be97f, 48, 5846, No update data, 9g3qrr1ptdjc
Bird, MEX, d3c72a91-a20a-4f51-8654-bce7e73dabb7, 96, 13430, No update data, 9g3qrprz292d
Bird, MEX, c98f7f21-3f96-4123-ab06-e30cf61e24f0, 93, 12956, No update data, 9g3qrprxr7z4
Bird, MEX, 0531e298-8d5f-47d9-b496-99d7fe665e9a, 46, 5530, No update data, 9g3qrr1updu1
Bird, MEX, 44b3f687-3522-4fde-9b44-40d840a6e61c, 67, 8848, No update data, 9g3qrr297drb
Bird, MEX, f59dcbf5-5cd5-4546-a2aa-35f2570c8c1f, 54, 7181, No update data, 9g3qx0vufdhv
Bird, MEX, ecb0b02f-506d-46ed-868f-e6cd45f62fe1, 71, 9480, No update data, 9g3qrr294v71
Bird, MEX, 3d3d2d16-b263-49cc-b584-6d57ee169a2a, 52, 6478, No update data, 9g3qx99jhn73
Bird, MEX, 0ceae40a-2c94-4360-a251-e002e3347c36, 56, 7110, No update data, 9g3qrrhbkh55
Bird, MEX, f9c55a55-ede5-4130-8cbb-efb65c98a921, 93, 12956, No update data, 9g3qrrh8p6pj
Bird, MEX, 4368843b-82b6-4d6c-944e-cf63b26565c4, 75, 10112, No update data, 9g3qrrn1vq4u
Bird, MEX, 7b0c8401-14e0-4330-9a9e-131cb49609e3, 69, 9164, No update data, 9g3qx1xmk0fc
Bird, MEX, fe00a8b3-8c42-4d94-a671-e00646388b71, 61, 7900, No update data, 9g3qx6jsqgtg
Bird, MEX, 169ce11f-2574-46c5-a883-bbecbab77511, 31, 3160, No update data, 9g3qx6jsx3pq
Bird, MEX, 0183fdae-bd6e-4850-ae9d-647a88c78078, 84, 11534, No update data, 9g3qx65jnnxk
Bird, MEX, 58df12d9-09c8-476d-9b0e-4050fae7ff25, 81, 11060, No update data, 9g3qx65jkkw3
Bird, MEX, 991c36de-36a1-4e97-930a-22f29dcc391c, 72, 9638, No update data, 9g3qrr1cwu8b
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 70, 9322, No update data, 9g3qrqgp73ss
Bird, MEX, 2a8b474e-8c05-4184-9143-1bc314f90178, 85, 11692, No update data, 9g3qrqgmfe25
Bird, MEX, c724bb63-1df9-414e-99cb-e16545366c4d, 46, 5530, No update data, 9g3qrr13u05p
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 34, 3634, No update data, 9g3qx969ynpw
Bird, MEX, 7ddebdbe-5700-484b-a175-223446fd85c5, 71, 9480, No update data, 9g3qrrp01d7x
Bird, MEX, b23a5dd2-4c01-4c59-94da-1595e0a62f33, 44, 5214, No update data, 9g3qrr0n1sem
Bird, MEX, cc247f4d-4cf9-40e3-8069-ca1c1e7af023, 40, 4582, No update data, 9g3qrqyq5fhv
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 63, 8216, No update data, 9g3qrquezeh1
Bird, MEX, 901dcac6-0966-430c-b1a2-293623ae26c7, 46, 5530, No update data, 9g3qrqymz291
Bird, MEX, 4af58471-1aee-4dd0-a650-c72109101201, 61, 7900, No update data, 9g3qx1z77jqq
Bird, MEX, fa63dc3e-e96f-404d-a2e0-6bf295e471db, 92, 12798, No update data, 9g3qx9d2y1r8
Bird, MEX, 0ccc456b-def5-4c6b-93c0-dbdac4dbcafb, 87, 12008, No update data, 9g3qx9d2yhre
Bird, MEX, de05ba13-f89b-4ac8-b51c-efcf4070371b, 84, 11534, No update data, 9g3qx9d2ysxv
Bird, MEX, 2adb12fb-aae4-4a46-90ef-119c6b4e0c18, 85, 11692, No update data, 9g3qrqcr8ht2
Bird, MEX, c07616df-18ea-4029-b721-8013ed7b6206, 81, 11060, No update data, 9g3qrqfeuy1k
Bird, MEX, 643a6993-af4e-4c94-9105-f049d8ad6d2e, 45, 5372, No update data, 9g3qrqcr2htr
Bird, MEX, fe719244-67b9-4ede-aa8d-d977d423d6c4, 83, 11376, No update data, 9g3qrqfeb35t
Bird, MEX, c0544952-e404-4fa7-9b18-7094569f4845, 46, 5845, No update data, 9g3qrqf7du5q
Bird, MEX, 71d4b8c0-310e-428d-9a31-0132a26d21fc, 75, 10112, No update data, 9g3qrqbzs7w4
Bird, MEX, b90794eb-6196-450f-aaaf-49dccc979004, 85, 11692, No update data, 9g3qrqy1ur2h
Bird, MEX, acaee680-ab8a-4d18-aa9e-674c746202ea, 87, 12008, No update data, 9g3qrqy1g9rz
Bird, MEX, ce59040d-59ed-416a-acac-73ffdbb950cf, 89, 12324, No update data, 9g3qrqy1u0e1
Bird, MEX, 62b26a52-d698-45f6-8034-32d23c107a28, 79, 10744, No update data, 9g3qrpq9p57v
Bird, MEX, 659027f9-9477-4019-862c-034bc17badae, 80, 10902, No update data, 9g3qrppk7t3e
Bird, MEX, 64878573-a8b2-4b76-9889-52d1411bbce1, 84, 11534, No update data, 9g3qrx3chb3d
Bird, MEX, f5e40aa5-e9d5-4bdf-8527-614e4bd1e14b, 40, 4582, No update data, 9g3qrqz7umy6
Bird, MEX, 5a99ed8d-fd9f-4eab-9c8d-6279e617727f, 48, 5846, No update data, 9g3qrqcd8gef
Bird, MEX, b41093af-3634-4254-a11b-49182b6668e8, 76, 10855, No update data, 9g3qrptq8gsg
Bird, MEX, e54e71e0-b3e3-4953-85b2-4fd3068bc69c, 63, 8216, No update data, 9g3qrqsnwcmu
Bird, MEX, 6b994417-3972-456c-b266-066efcb70ae3, 87, 12008, No update data, 9g3qrptm2syb
Bird, MEX, fa493f5a-39dd-46b8-9791-69d6df7e9b2b, 58, 7426, No update data, 9g3qrx63f9mr
Bird, MEX, 1dc14678-8d51-4960-a4af-de338fc02278, 65, 8532, No update data, 9g3qrx6sts80
Bird, MEX, 1d8bd0d2-cb13-4e6d-b986-4955fde74a48, 96, 13430, No update data, 9g3qrxun8vkp
Bird, MEX, fee1a7bc-b4af-4033-9d30-71438279a940, 82, 11218, No update data, 9g3qrx63yzwn
Bird, MEX, acb95401-dade-4d7f-9b73-527cb48c42e8, 57, 7268, No update data, 9g3qrx6d04jy
Bird, MEX, a5c7ff1a-9778-4944-8dbd-841df81f5864, 45, 5678, No update data, 9g3qrpnpyddr
Bird, MEX, 1ca207c0-6ad8-4474-af60-24480ac46941, 48, 5846, No update data, 9g3qrqe7ff7k
Bird, MEX, df47190a-3db5-4859-bb05-382c9de9a7f9, 44, 5214, No update data, 9g3qrqwt8wr5
Bird, MEX, 84828a7c-cd51-4eb3-be91-9254733d2aff, 58, 7426, No update data, 9g3qrqdunkh3
Bird, MEX, a6856924-59d9-4541-b679-474c40e01766, 31, 3340, No update data, 9g3qrqdujgkj
Bird, MEX, 0b956cb0-8571-4bba-9f1b-e9b8620d90b0, 48, 5846, No update data, 9g3qrqds9eed
Bird, MEX, 58591e56-e3a4-4138-8fbf-8f0aedf093c1, 58, 7426, No update data, 9g3qrx1gyddz
Bird, MEX, d8dfaa99-7b51-47f5-803c-b488760aca9b, 80, 10902, No update data, 9g3qrqwkcvbd
Bird, MEX, 55c878ad-601b-4c85-b924-c2ab40a6907f, 48, 5846, No update data, 9g3qrqds1ubq
Bird, MEX, 4f45d79b-2e81-4704-8e0c-491cb1a69059, 49, 6004, No update data, 9g3qrqwsbvhn
Bird, MEX, 3db354ea-80df-45b7-99c2-797aaefc1970, 92, 12798, No update data, 9g3qrnzpp70g
Bird, MEX, b8a351ac-7ecc-4c31-a15b-cb1bd9dbd890, 66, 8690, No update data, 9g3qrx6gp6x2
Bird, MEX, 31558ca0-2e43-47d0-8160-1c14fb6dc66a, 100, 14062, No update data, 9g3qx8sgfg7s
Bird, MEX, 463e7cd3-adfc-484b-a176-edf88a29f41f, 49, 6004, No update data, 9g3qrpn6zr8y
Bird, MEX, 5f54ebd0-d65e-4f3a-95eb-4b1c153fb85c, 99, 13904, No update data, 9g3qx8sgusgw
Bird, MEX, aaa5200b-f8d0-4d1e-883e-20bd57b0db28, 88, 12166, No update data, 9g3qrpn8zthn
Bird, MEX, 3d4ad807-bbeb-405f-9674-715408733b22, 74, 9954, No update data, 9g3qrpnb95d4
Bird, MEX, a6dbbfa9-aac9-4ca6-a1c4-ae131ca613ff, 94, 13114, No update data, 9g3qrqddeyuz
Bird, MEX, 15fe048b-ca41-4184-a519-7bd3b7692496, 65, 8532, No update data, 9g3qx9k3euvh
Bird, MEX, 1a3bc416-5d23-4e41-94d3-9cb3143dd60c, 70, 9322, No update data, 9g3qrwcqr630
Bird, MEX, 602832bb-685a-4fea-9670-33629841e249, 62, 8058, No update data, 9g3qx9k3u15r
Bird, MEX, 66816b0a-9cf9-4743-a89f-382a0131c14b, 46, 5530, No update data, 9g3qrnzejkdt
Bird, MEX, 50edefc2-acd5-436d-887d-ad5e38336cd0, 76, 10270, No update data, 9g3qrwcztf74
Bird, MEX, 03c9eb3c-a3cb-4d0b-9612-3bd6847e8074, 52, 6478, No update data, 9g3qrnyvmxbg
Bird, MEX, 2c03009e-3e46-4036-8109-7c2d1d1b9e32, 89, 13026, No update data, 9g3qrnyvkzx9
Bird, MEX, c4ec487a-0cf5-4494-a22e-3a28888ca571, 55, 7348, No update data, 9g3qrnyvg501
Bird, MEX, fcddab9e-4f8f-4b25-95a2-05ae74baa953, 93, 12956, No update data, 9g3qrnyvs8u3
Bird, MEX, 89715691-480f-4a73-8e79-066f342879a2, 56, 7110, No update data, 9g3qrnyvkurt
Bird, MEX, 1c0b2ef6-2bc2-489e-be07-9a888f425e50, 91, 12640, No update data, 9g3qrqkr8hjt
