Bird, MEX, c8708da8-2cc3-4530-9c12-3423b26218c8, 97, 13588, No update data, 9g3qx2exnsrt
Bird, MEX, ec2bebaf-c88d-4f91-b49c-a6ee11b228a4, 99, 13904, No update data, 9g3qx27q5t9s
Bird, MEX, 03c18aad-f9f8-4d1b-9845-307e2aa71ed3, 96, 13430, No update data, 9g3qx27mg8ct
Bird, MEX, be636c52-fafa-4a06-9521-bc1e797d5580, 99, 13904, No update data, 9g3qx27kses7
Bird, MEX, 3c0289ef-3664-4691-8fa1-f83841310725, 97, 13588, No update data, 9g3qx2tskg1x
Bird, MEX, c3b044ce-bfe5-43be-854d-5185a9833ee1, 82, 11218, No update data, 9g3qx2tstbhq
Bird, MEX, 0403b121-5c9e-4a64-a436-a67e6beba657, 62, 8058, No update data, 9g3qx2ttrdh0
Bird, MEX, 3488e279-5a9e-43fa-988b-90f6a2973467, 97, 13588, No update data, 9g3qx2tu3ndj
Bird, MEX, 54ebd34d-9d2b-410a-8d33-3c10309f504b, 64, 8851, No update data, 9g3qx2tgccwc
Bird, MEX, 513bcb5a-b1d6-4ea9-839d-ee69b16effaf, 87, 12008, No update data, 9g3qx2tv1j40
Bird, MEX, a137e80b-cb29-4cbc-bd62-52f28bc8b04f, 61, 7900, No update data, 9g3qx2gyr4un
Bird, MEX, 6dd80bb2-d47d-468e-849d-20cdfd98e95f, 97, 13588, No update data, 9g3qx2tut3ry
Bird, MEX, e8a62c6f-e04d-4037-80b6-6f8af696ed0b, 57, 7268, No update data, 9g3qx2hmbp8x
Bird, MEX, ac2def65-3bdf-4b75-8c9b-52d19f0e959c, 54, 6794, No update data, 9g3qx2tzcfb8
Bird, MEX, f146e0b7-112f-44d6-863d-758aa947e455, 62, 8058, No update data, 9g3qx2tvn5pt
Bird, MEX, a8d06d92-6299-45aa-8e05-215712678baa, 54, 6794, No update data, 9g3qx2gxtsyh
Bird, MEX, 54fb0727-eb10-4512-aced-e5f34094a838, 93, 12956, No update data, 9g3qx2muwgvv
Bird, MEX, 3e6ca4f1-a0e4-4e93-bd80-a14763b3b0b2, 52, 6478, No update data, 9g3qx2furxs5
Bird, MEX, 96498229-a4b2-462c-8d3a-a7e561550002, 91, 12640, No update data, 9g3qx2fuxkx4
Bird, MEX, 215801c0-ba4d-45de-a52b-e89b1d3c6971, 80, 10902, No update data, 9g3qx2fuzq8b
Bird, MEX, c1443551-73e1-4887-834c-d83512afa255, 85, 11692, No update data, 9g3qx2gr7s3x
Bird, MEX, d1fbccac-3c78-474c-9fad-23ec218fc5fd, 98, 13746, No update data, 9g3qx2h5gtpz
Bird, MEX, 4bee9def-3615-43eb-a922-3a8e48da83e7, 87, 12008, No update data, 9g3qx2h5esxc
Bird, MEX, 53378801-bcf3-45c0-84d4-db338ba76ead, 100, 14062, No update data, 9g3qx2h5w9z8
Bird, MEX, bc8ad7eb-d7da-4147-9225-7ca0ecf0baa2, 98, 13746, No update data, 9g3qx2h5j7zb
Bird, MEX, dd749cda-d782-44eb-9d18-faeced51a62c, 51, 6320, No update data, 9g3qx2wmdevn
Bird, MEX, 11735259-6907-447a-b819-678f38731c8f, 82, 11218, No update data, 9g3qx2wr6bg2
Bird, MEX, 15c0dcb6-588b-4d75-ba9f-8072e7b867ab, 48, 5846, No update data, 9g3qx2j5w9z8
Bird, MEX, 3a2cd630-99de-426b-b93a-7e6a114c9eee, 91, 12640, No update data, 9g3qx263tzup
Bird, MEX, fa503f0c-b85d-4bc2-894c-238ef1f956a6, 71, 9480, No update data, 9g3qx2wqtyh7
Bird, MEX, bda33f20-3bee-419b-8f62-4885e22df3ac, 60, 7742, No update data, 9g3qx263sbpw
Bird, MEX, 94b41684-0323-4515-82bf-3b218215d42c, 53, 6636, No update data, 9g3qx2wrtfsq
Bird, MEX, ee14f90d-0080-48f2-b773-18f3dfdcf7b7, 20, 1422, No update data, 9g3qx2wrqwxt
Bird, MEX, 85e76542-ee00-4502-80b0-ba7ce8ac35b2, 87, 12008, No update data, 9g3qx2jeb9pn
Bird, MEX, b4c4a4e6-038d-40c1-8c79-0d833c3c41d3, 58, 7426, No update data, 9g3qx2wx8wxp
Bird, MEX, f7828c64-d669-42d0-88a0-7c8002341969, 21, 1580, No update data, 9g3qx2y82uu1
Bird, MEX, 2000a04a-e434-41e6-acc4-666ac1d7584e, 56, 7110, No update data, 9g3qx2jvqtpd
Bird, MEX, bbabfb3a-d6c5-436c-8da2-5b0fd152082e, 49, 6004, No update data, 9g3qx3jduq80
Bird, MEX, 4cdeafe0-1dc0-41fc-bc77-993bf00a37dd, 42, 4898, No update data, 9g3qx342qbvb
Bird, MEX, a38d4ad9-b1cb-4836-a58a-4b1fbf80484b, 84, 11534, No update data, 9g3qx3je783w
Bird, MEX, dec587da-8192-4c28-abb7-e8d178cd2d12, 98, 13746, No update data, 9g3qx2fr3vwx
Bird, MEX, d7d83de7-acfb-4770-9e4b-76957bf1eb7c, 96, 14195, No update data, 9g3qx2fr2b5u
