Bird, MEX, 4bee9def-3615-43eb-a922-3a8e48da83e7, 88, 12166, No update data, 9g3qx25gj7pu
Bird, MEX, d1fbccac-3c78-474c-9fad-23ec218fc5fd, 99, 13904, No update data, 9g3qx25fcmt3
Bird, MEX, dd749cda-d782-44eb-9d18-faeced51a62c, 51, 6320, No update data, 9g3qx2wr50wt
Bird, MEX, 11735259-6907-447a-b819-678f38731c8f, 82, 11218, No update data, 9g3qx2wrh57p
Bird, MEX, 3a2cd630-99de-426b-b93a-7e6a114c9eee, 92, 12798, No update data, 9g3qx263vttf
Bird, MEX, d5fa8533-e0ff-4dd9-b6f0-57deb243d23f, 97, 13588, No update data, 9g3qx2wrkbzb
Bird, MEX, 3a7133b5-7234-4696-a98f-ae6c36bd13cf, 98, 13746, No update data, 9g3qx25d1c29
Bird, MEX, e2978b59-29eb-40f2-8b57-cd324a5b8ed6, 81, 11060, No update data, 9g3qx24r7pq2
Bird, MEX, b4c4a4e6-038d-40c1-8c79-0d833c3c41d3, 58, 7426, No update data, 9g3qx2wxgxry
Bird, MEX, e3cad605-91ee-4bb7-99e3-3ee80dd22c63, 92, 12798, No update data, 9g3qx2nj3m06
Bird, MEX, f7dd0509-1d5c-413f-80fe-1d4c922d2914, 93, 12956, No update data, 9g3qx23yehnr
Bird, MEX, 16d38e6f-4353-4750-a08b-75a9fd4c887a, 100, 14062, No update data, 9g3qx2fr4qcu
Bird, MEX, d7d83de7-acfb-4770-9e4b-76957bf1eb7c, 97, 14362, No update data, 9g3qx2fr0z5y
Bird, MEX, a38d4ad9-b1cb-4836-a58a-4b1fbf80484b, 85, 11692, No update data, 9g3qx3jekz39
Bird, MEX, 9bb845f6-a89f-4997-89ca-6297a5ad036b, 100, 14062, No update data, 9g3qx2fr9k86
Bird, MEX, dec587da-8192-4c28-abb7-e8d178cd2d12, 99, 13904, No update data, 9g3qx2fr2qet
Bird, MEX, 4e32cb22-ca9f-432d-997d-0a18d8c52a6b, 48, 5846, No update data, 9g3qrrvr4wm0
Bird, MEX, 57603942-baae-488a-8408-a7509cbb9ad5, 49, 6004, No update data, 9g3qx2xhcb8e
Bird, MEX, 0ca0dd92-b75c-4187-9413-fe7c89a861c9, 97, 13588, No update data, 9g3qx29qw6h6
Bird, MEX, 45bb899b-9ac7-45ee-9496-bd8c8cc82a22, 40, 4843, No update data, 9g3qx2qbs604
Bird, MEX, d00608e7-d16d-4e05-b33d-dbf5858742ce, 52, 6478, No update data, 9g3qx2ygpxu6
Bird, MEX, 3f2424d1-0cb7-4038-94d0-281c78180e5a, 55, 6952, No update data, 9g3qx2z54m41
Bird, MEX, 1b38a58b-5a6e-4662-896d-1fcd5523d758, 82, 11218, No update data, 9g3qx2z54mfn
Bird, MEX, 398929df-b8db-43d2-9e81-c6624e67cfd2, 64, 8374, No update data, 9g3qx233wrur
Bird, MEX, 7e0a430c-a723-4fdc-9666-07e53cdc6e95, 99, 13904, No update data, 9g3qx21x5ery
Bird, MEX, a952f527-d0ae-4d22-a4d7-7bbc16845429, 80, 10902, No update data, 9g3qrrvkug3s
Bird, MEX, 0fe30f27-3f39-44a9-aa7f-f4b27706c589, 98, 13746, No update data, 9g3qx21x58pc
Bird, MEX, ea96b78c-8772-4e09-86ba-34ac162e084a, 42, 4898, No update data, 9g3qx233jvk4
Bird, MEX, aec5ff38-707c-4925-998a-92bc10257e76, 99, 13904, No update data, 9g3qx21x1y22
Bird, MEX, 9d080dda-e43c-46f6-9a97-5c15364b4a79, 98, 13746, No update data, 9g3qx21w6wvn
Bird, MEX, 2a8f73b5-ffb3-462c-b7b0-17d394cd5e93, 100, 14062, No update data, 9g3qx2zn5006
